act_id,struct_id,target_id,target_name,target_class,accession,gene,swissprot,act_value,act_type,act_comment,act_source,relation,moa,moa_source,act_source_url,moa_source_url,action_type,first_in_class,tdl,act_ref_id,moa_ref_id,organism
182804,3927,325,Aromatase,Enzyme,P11511,CYP19A1,CP19A_HUMAN,6.66,Ki,Competitive inhibition of binding to human placental Cytochrome P450 19A1,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
222012,5062,2068,Tyrosine-protein kinase BTK,Kinase,Q06187,BTK,BTK_HUMAN,6.28,Kd,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
187356,2581,94,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,4.4,IC50,Inhibition of human ERG by patch-clamp assay,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
162782,2253,127,Glucocorticoid receptor,Nuclear hormone receptor,P04150,NR3C1,GCR_HUMAN,8.0,EC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL635,AGONIST,,Tclin,,,Homo sapiens
218644,5341,542,Vascular endothelial growth factor receptor 2,Kinase,P35968,KDR,VGFR2_HUMAN,7.06,Kd,Binding affinity to VEGFR2,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
222306,5280,742,Serine/threonine-protein kinase MARK2,Kinase,Q7KZI7,MARK2,MARK2_HUMAN,6.55,Kd,Binding constant for MARK2 kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
163959,2666,424,Tyrosine-protein phosphatase non-receptor type 1,Enzyme,P18031,PTPN1,PTN1_HUMAN,,,,WOMBAT-PK,,,,,,,,Tchem,,,Homo sapiens
185001,1045,2276,"Interferon-induced, double-stranded RNA-activated protein kinase",Kinase,P19525,EIF2AK2,E2AK2_HUMAN,5.89,Kd,Binding constant for PRKR kinase domain,CHEMBL,=,,,,,,,Tbio,,,Homo sapiens
26581,3643,113,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,4.8,Kd,,IUPHAR,=,,,,,ALLOSTERIC MODULATOR,,Tclin,,,Homo sapiens
187505,4134,118,Aldehyde oxidase,Enzyme,Q06278,AOX1,AOXA_HUMAN,4.52,Ki,Tested for its ability to inhibit rabbit liver aldehyde oxidase catalyzed oxidation of N-methyl-nicotinamide (NMN),CHEMBL,=,,,,,,,Tbio,,,Homo sapiens
