id,drug_class1,drug_class2,ddi_ref_id,ddi_risk,description,source_id
2766,methadone,phenelzine,2,Critical,METHADONE/PHENELZINE [VA Drug Interaction],C56^4057^
3741,citalopram,sertindole,2,Critical,CITALOPRAM/SERTINDOLE [VA Drug Interaction],C56^5614^
4527,ticagrelor,mifepristone,2,Critical,MIFEPRISTONE/TICAGRELOR [VA Drug Interaction],C56^6958^
1940,norelgestromin,phenytoin,2,Significant,NORELGESTROMIN/PHENYTOIN [VA Drug Interaction],C23307709527607
3035,saquinavir,asenapine,2,Significant,ASENAPINE/SAQUINAVIR [VA Drug Interaction],C56^4503^
6525,carbamazepine,levomethadyl acetate,2,Critical,CARBAMAZEPINE/LEVOMETHADYL [VA Drug Interaction],C23306141931446
1197,gemfibrozil,warfarin,2,Significant,GEMFIBROZIL/WARFARIN [VA Drug Interaction],C23304739045046
1447,cidofovir,pentamidine,2,Critical,CIDOFOVIR/PENTAMIDINE [VA Drug Interaction],C23305586032302
6027,itraconazole,rifampicin,2,Significant,ITRACONAZOLE/RIFAMPIN [VA Drug Interaction],C23303268253367
3360,metoclopramide,desvenlafaxine,2,Significant,DESVENLAFAXINE/METOCLOPRAMIDE [VA Drug Interaction],C56^4999^
2918,pramlintide,gatifloxacin,2,Significant,GATIFLOXACIN/PRAMLINTIDE [VA Drug Interaction],C56^4303^
4590,cobicistat,lapatinib,2,Significant,COBICISTAT/LAPATINIB [VA Drug Interaction],C56^7037^
3084,saquinavir,paliperidone,2,Significant,PALIPERIDONE/SAQUINAVIR [VA Drug Interaction],C56^4562^
5081,lomitapide,itraconazole,2,Critical,ITRACONAZOLE/LOMITAPIDE [VA Drug Interaction],C56^7750^
5913,metharbital,ciclosporin,2,Significant,CYCLOSPORINE/METHARBITAL [VA Drug Interaction],C56^7377^
5958,glibenclamide,metoprolol,2,Significant,GLYBURIDE/METOPROLOL [VA Drug Interaction],C23302991114792
3074,saquinavir,domperidone,2,Significant,DOMPERIDONE/SAQUINAVIR [VA Drug Interaction],C56^4548^
5333,tamoxifen,cimetidine,2,Significant,CIMETIDINE/TAMOXIFEN [VA Drug Interaction],C56^8816^
5233,bedaquiline,saquinavir,2,Significant,BEDAQUILINE/SAQUINAVIR [VA Drug Interaction],C56^8093^
6382,ergotamine,indinavir,2,Critical,ERGOTAMINE TARTRATE/INDINAVIR SULFATE [VA Drug Interaction],C23305076857254
2112,erythromycin,verapamil,2,Critical,ERYTHROMYCIN/VERAPAMIL [VA Drug Interaction],C56.3125
4620,enzalutamide,rivaroxaban,2,Significant,ENZALUTAMIDE/RIVAROXABAN [VA Drug Interaction],C56^7072^
729,amitriptyline,fluoxetine,2,Significant,AMITRIPTYLINE/FLUOXETINE [VA Drug Interaction],C23303508386959
2384,paroxetine,protriptyline,2,Significant,PAROXETINE/PROTRIPTYLINE [VA Drug Interaction],C56.3515
6468,amiodarone,sildenafil,2,Significant,AMIODARONE/SILDENAFIL CITRATE [VA Drug Interaction],C23305530324664
4393,colchicine,felodipine,2,Significant,COLCHICINE/FELODIPINE [VA Drug Interaction],C56^6609^
942,anisindione,phenobarbital,2,Critical,ANISINDIONE/PHENOBARBITAL [VA Drug Interaction],C23303924607736
6486,lopinavir,rifampicin,2,Critical,LOPINAVIR/RIFAMPIN [VA Drug Interaction],C23305745306177
6600,atorvastatin,telithromycin,2,Critical,ATORVASTATIN CALCIUM/TELITHROMYCIN [VA Drug Interaction],C23307115278617
