id,doid,source,xref
551884,DOID:8566,NCI,C155871
557390,DOID:0110173,ORDO,397735
558036,DOID:2451,NCI,C99026
569719,DOID:1485,ORDO,586
555692,DOID:0070161,UMLS_CUI,C0020072
543187,DOID:0111595,NCI,C129865
570566,DOID:13444,UMLS_CUI,C0017589
545342,DOID:0110287,OMIM,615356
570296,DOID:0050678,OMIM,186580
576172,DOID:1439,MESH,D011776
565418,DOID:4297,MESH,D012587
559903,DOID:0060884,ORDO,34527
565511,DOID:2661,UMLS_CUI,C0027070
564671,DOID:0110636,MESH,C537384
575869,DOID:6458,GARD,10642
548065,DOID:0110443,OMIM,600884
570175,DOID:0110543,ICD10CM,H90.3
567177,DOID:8736,ICD9CM,050
546065,DOID:1074,ICD10CM,N19
572592,DOID:7007,MESH,D001254
547812,DOID:3113,SNOMEDCT_US_2019_09_01,25910003
545795,DOID:1713,SNOMEDCT_US_2019_09_01,446995005
552293,DOID:9446,UMLS_CUI,C0008311
576392,DOID:10020,ICD9CM,156.2
554430,DOID:10034,ICD10CM,H52.5
545948,DOID:0070243,ORDO,280406
562249,DOID:5276,NCI,C5334
561935,DOID:403,UMLS_CUI,C0026636
559413,DOID:0111117,OMIM,613159
575080,DOID:1392,UMLS_CUI,C0155300
552033,DOID:0060416,OMIM,612345
550369,DOID:5350,NCI,C8107
568853,DOID:0111568,SNOMEDCT_US_2019_09_01,205082007
546515,DOID:3055,NCI,C34896
570870,DOID:8389,UMLS_CUI,C1334437
546747,DOID:5940,UMLS_CUI,C0751690
569919,DOID:8446,NCI,C113484
553146,DOID:0050628,ORDO,164736
544250,DOID:2785,SNOMEDCT_US_2019_09_01,14447001
546391,DOID:0111063,OMIM,211900
576726,DOID:2530,SNOMEDCT_US_2019_09_01,82053000
575998,DOID:0080043,GARD,2882
573981,DOID:234,NCI,C4349
554675,DOID:13473,ICD9CM,372.43
553940,DOID:2089,UMLS_CUI,C0009806
573341,DOID:2780,UMLS_CUI,C0345873
543858,DOID:11836,OMIM,119800
557439,DOID:0050565,ORDO,90636
550134,DOID:5271,NCI,C7085
566971,DOID:874,NCI,C26704
561539,DOID:2373,SNOMEDCT_US_2019_09_01,191169008
572851,DOID:0080515,OMIM,613804
573834,DOID:0060266,OMIM,614678
555483,DOID:10824,UMLS_CUI,C0020540
553038,DOID:9220,OMIM,207720
552291,DOID:9446,ICD9CM,576.1
548684,DOID:10459,NCI,C78599
576907,DOID:9937,ICD10CM,H04.41
554875,DOID:0111608,MESH,C537737
553998,DOID:6524,SNOMEDCT_US_2019_09_01,255015006
552406,DOID:2870,NCI,C6290
544861,DOID:0110383,OMIM,608133
576436,DOID:4372,SNOMEDCT_US_2019_09_01,75543006
558057,DOID:6118,UMLS_CUI,C1335751
555810,DOID:0090117,MESH,C536510
551378,DOID:3633,NCI,C84596
568079,DOID:5223,NCI,C3836
573715,DOID:0050776,OMIM,300716
571792,DOID:5041,SNOMEDCT_US_2019_09_01,126817006
573569,DOID:7983,UMLS_CUI,C1334565
564429,DOID:2843,SNOMEDCT_US_2019_09_01,9651007
567529,DOID:6457,GARD,6202
562100,DOID:0050894,GARD,5747
542923,DOID:0080478,OMIM,614859
576039,DOID:0111038,OMIM,614300
553120,DOID:3486,MESH,D009335
543191,DOID:866,ICD10CM,I82
543425,DOID:0110432,ICD10CM,I42.0
568031,DOID:14449,NCI,C120199
559229,DOID:10400,SNOMEDCT_US_2019_09_01,301990003
548853,DOID:11720,NCI,C84675
562419,DOID:0110355,OMIM,609913
549642,DOID:5330,MESH,D003788
556092,DOID:11853,UMLS_CUI,C0152206
554806,DOID:10591,OMIM,614592
571184,DOID:0050591,OMIM,610926
560903,DOID:11077,ICD10CM,A23
545108,DOID:0111158,SNOMEDCT_US_2019_09_01,699870002
559553,DOID:14448,OMIM,PS400044
553994,DOID:10149,ICD10CM,C40.2
557890,DOID:5655,SNOMEDCT_US_2019_09_01,70476006
554072,DOID:0060675,OMIM,604772
556593,DOID:1245,SNOMEDCT_US_2019_09_01,363367000
551116,DOID:10871,ICD9CM,362.50
