id,struct_id,meddra_name,meddra_code,level,llr,llr_threshold,drug_ae,drug_no_ae,no_drug_ae,no_drug_no_ae
13619231,2352,Therapeutic product effect incomplete,10082200,PT,36.459,14.975,11,37200,201453,111074563
13315102,1536,Cytomegalovirus infection,10011831,PT,12.154,10.395,24,110252,57353,111145598
13501793,916,Lupus-like syndrome,10050551,PT,15.372,10.328,137,1123998,20907,110168185
13488326,1209,Fibromyalgia,10048439,PT,32.946,9.573,101,236330,96803,110979993
13537558,1230,Antipsychotic drug level above therapeutic,10060144,PT,35.076,16.543,13,14474,2526,111296214
13292097,1255,Bone cancer,10005949,PT,18.73,15.281,16,66395,3469,111243347
13432077,1567,Pneumonia aspiration,10035669,PT,59.013,13.534,90,28927,84127,111200083
13588284,4909,Band sensation,10070714,PT,81.623,12.488,30,74870,1077,111237250
13606852,4190,Primary myelofibrosis,10077161,PT,96.184,13.345,27,86132,341,111226727
13520376,824,Affect lability,10054196,PT,24.332,10.056,42,709358,16385,110587442
13521761,2525,Facet joint syndrome,10054813,PT,98.77,13.709,210,472982,15350,110824685
13461726,4461,Spina bifida,10041524,PT,31.143,9.931,69,798958,3044,110511156
13316639,1142,Dehydration,10012174,PT,85.718,14.406,263,35563,322138,110955263
13350100,489,Gastroenteritis viral,10017918,PT,15.297,10.189,16,162041,33846,111117324
13350567,1751,Gastrointestinal haemorrhage,10017955,PT,604.184,11.642,991,1503803,185335,109623098
13372979,375,Hypomania,10021030,PT,268.542,11.973,112,45210,9425,111258480
13288220,4968,Blood parathyroid hormone decreased,10005702,PT,128.795,18.942,192,384748,13071,110915216
13505369,1176,Electrocardiogram QRS complex shortened,10051158,PT,28.035,13.05,10,31770,789,111280658
13541268,1832,Cardiac disorder,10061024,PT,101.627,10.528,302,124888,103663,111084374
13425069,836,Paranoia,10033864,PT,57.954,27.179,27,5216,25823,111282161
13319674,4072,Developmental delay,10012559,PT,18.092,10.185,96,978811,5414,110328906
13277854,2808,Ascites,10003445,PT,29.906,14.393,11,66633,99282,111147301
13277581,1171,Arthroscopy,10003411,PT,29.801,10.276,15,90281,969,111221962
13495065,2302,Red blood cell sedimentation rate increased,10049187,PT,38.494,14.136,3,88501,62778,111161945
13415891,4244,Oedema,10030095,PT,13.759,10.843,78,94027,158285,111060837
13583270,2834,Syringe issue,10069218,PT,16.187,9.944,33,808132,10608,110494454
13558462,5089,Sinus disorder,10062244,PT,32.89,18.95,67,515670,33795,110763695
13408061,391,Nasal abscess,10028720,PT,33.629,12.156,13,175399,222,111137593
13578760,2389,Skin plaque,10067723,PT,15.127,11.103,5,225506,14259,111073457
13448099,5368,Respiratory failure,10038695,PT,72.415,19.223,75,113903,226501,110972748
13420054,4205,Overdose,10033295,PT,21.61,9.616,1250,684041,241876,110386060
13610176,1005,Contraindicated product administered,10078504,PT,96.801,9.304,132,137273,292842,110882980
13553425,1482,Disease recurrence,10061819,PT,115.525,17.711,188,90754,59091,111163194
13613131,1258,Sedation complication,10079741,PT,156.32,10.382,433,951565,18399,110342830
13395848,4235,Malaise,10025482,PT,41.187,11.074,819,97418,663931,110551059
13554561,2684,Obstructive airways disorder,10061877,PT,16.612,13.391,40,37895,40093,111235199
13488740,704,Brief psychotic disorder with marked stressors,10048549,PT,17.307,9.817,8,118887,323,111194009
13469683,1329,Tachypnoea,10043089,PT,27.753,14.746,51,41483,38708,111232985
13348465,1575,Gallbladder disorder,10017626,PT,12.886,12.694,23,25594,27688,111259922
13569912,1164,Infusion site coldness,10065456,PT,55.057,9.902,22,281784,248,111031173
13419708,701,Otorrhoea,10033101,PT,20.329,14.888,10,22780,2466,111287971
13538613,4245,Hepatic enzyme increased,10060795,PT,46.562,23.313,58,4624,279414,111029131
13516590,939,Tonsillar disorder,10053477,PT,53.281,12.944,33,158942,1798,111152454
13446902,1385,Renovascular hypertension,10038562,PT,16.551,9.433,7,398981,63,110914176
13271428,197,Angioedema,10002424,PT,14.864,13.485,16,57865,93538,111161808
13419122,112,Osteomyelitis acute,10031253,PT,34.94,10.54,28,525196,678,110787325
13365458,2803,Hydrocephalus,10020508,PT,34.493,10.139,90,287881,12404,111012852
13355157,183,Haematoma,10018852,PT,13.825,9.937,630,857589,65143,110389865
13607279,2553,Multiple organ dysfunction syndrome,10077361,PT,29.709,12.404,107,156558,147388,111009174
13450937,1751,Rheumatoid factor,10039079,PT,39.944,11.642,41,1504753,455,109807978
13376576,1575,Impaired healing,10021519,PT,13.885,12.694,7,25610,136324,111151286
13427270,1137,Pericarditis,10034484,PT,48.842,13.673,13,56093,171442,111085679
13452714,2806,Schizophrenia,10039626,PT,13.752,9.422,12,221574,20224,111071417
13385057,1579,Irritable bowel syndrome,10023003,PT,32.257,9.331,65,165730,102514,111044918
13291625,1845,Blood uric acid increased,10005861,PT,10.751,9.452,28,391504,17078,110904617
13537466,4483,Light chain analysis increased,10060084,PT,170.721,17.833,60,47992,2979,111262196
13426970,4809,Pericardial effusion,10034474,PT,207.473,14.785,387,208089,58887,111045864
13511990,183,Diastolic dysfunction,10052337,PT,55.007,9.937,234,857985,13766,110441242
13418080,1559,Orchidectomy,10031060,PT,13.306,12.608,4,82813,68,111230342
13310309,1539,Congenital anomaly,10010356,PT,140.711,12.303,92,97812,9006,111206317
13428786,5682,Personality disorder,10034721,PT,9.864,9.276,4,296939,7634,111008650
13434467,1482,Portal vein thrombosis,10036206,PT,44.619,17.711,42,90900,7534,111214751
