id,struct_id,meddra_name,meddra_code,level,llr,llr_threshold,drug_ae,drug_no_ae,no_drug_ae,no_drug_no_ae
6014684,2152,Bradycardia,10006093,PT,16.515,11.541,93,41542,73134,63374253
6210199,87,Inappropriate schedule of product administration,10081572,PT,109.523,34.4,64,2755,103901,63382302
6131687,396,Visual acuity reduced transiently,10047532,PT,29.356,21.578,6,6234,163,63482619
6010455,726,Blood cholesterol increased,10005425,PT,24.433,13.187,9,32794,94023,63362196
6198497,4239,Exposure during pregnancy,10073513,PT,74.787,11.231,2990,964736,152557,62368739
6126655,105,Total lung capacity abnormal,10044098,PT,11.764,10.059,7,420328,71,63068616
6108907,4164,Renal failure,10038435,PT,23.598,14.581,92,21954,117560,63349416
6048275,659,Fracture,10017076,PT,11.269,9.675,14,129479,19570,63339959
6107160,4277,Rash,10037844,PT,19.798,10.0,533,77693,560338,62850458
6159894,4157,Toxic skin eruption,10057970,PT,47.236,16.858,35,18276,12850,63457861
6141061,4133,Metastases to pancreas,10049721,PT,18.307,13.319,10,134682,286,63354044
6045484,4227,Fatigue,10016256,PT,46.718,36.886,118,2891,887910,62598103
6208410,56,Joint space narrowing,10079942,PT,24.662,17.063,7,8235,585,63480195
6043035,668,Erythema,10015150,PT,98.575,11.399,353,54078,175398,63259193
5997481,882,Acute myocardial infarction,10000891,PT,19.259,11.175,92,87992,32032,63368906
6099119,2048,Plasma cell myeloma,10035226,PT,168.832,18.264,97,11810,35808,63441307
6151146,1258,Sight disability,10053154,PT,17.494,10.566,12,501150,131,62987729
6187881,2478,Pregnancy on contraceptive,10067667,PT,77.5,36.635,17,3494,1175,63484336
6120864,568,Suicide attempt,10042464,PT,72.93,10.112,59,214124,60859,63213980
6155966,1164,Colon cancer metastatic,10055114,PT,10.563,10.223,13,142851,1138,63345020
6124384,4742,Teratoma,10043276,PT,126.639,27.009,21,7556,135,63481310
6164307,1613,Antipsychotic drug level above therapeutic,10060144,PT,49.149,37.297,12,4494,1031,63483485
6090427,4941,Oedema,10030095,PT,57.848,17.163,78,139613,97544,63251787
6193657,1932,Skin sensitisation,10070835,PT,18.451,16.165,8,21747,881,63466386
6180443,1859,Epstein-Barr virus test positive,10064545,PT,39.362,10.811,21,127850,604,63360547
6117849,2583,Sneezing,10041232,PT,11.229,10.617,33,44198,18185,63426606
6067090,2001,Influenza,10022000,PT,174.382,14.822,190,19309,108532,63360991
6094912,1395,Pancreatitis,10033645,PT,77.608,11.712,168,497838,48887,62942129
6098469,2807,Petechiae,10034754,PT,16.478,11.717,45,75804,13852,63399321
6023388,52,Coagulation factor X level decreased,10009775,PT,15.796,11.189,12,964283,75,62524652
6169342,4240,Neck deformity,10061307,PT,41.651,10.364,66,497319,2055,62989582
6116709,1751,Skin necrosis,10040893,PT,49.635,11.949,380,988941,13570,62486131
6130671,616,Ventricular extrasystoles,10047289,PT,13.794,10.472,35,67113,11652,63410222
6096399,2406,Parosmia,10034018,PT,22.586,9.592,53,182282,6153,63300534
6114299,5224,Sepsis,10040047,PT,216.329,25.448,42,143690,153081,63192209
6172310,4162,Deformity,10061619,PT,25.113,13.43,34,40391,11650,63436947
6112598,4855,Rotator cuff syndrome,10039227,PT,81.392,10.701,93,80570,13409,63394950
6109381,136,Respiratory acidosis,10038661,PT,48.064,9.713,90,244580,6625,63237727
6154535,960,Enterococcal sepsis,10054221,PT,38.149,12.779,26,108353,1392,63379251
6082790,2683,Multiple sclerosis,10028245,PT,204.454,10.717,167,53069,24205,63411581
6181587,4207,Chronic kidney disease,10064848,PT,53.226,13.055,116,51881,45282,63391743
5998033,1845,Adiposis dolorosa,10001294,PT,11.284,9.567,9,215740,304,63272969
6063045,824,Hypoglycaemia,10020993,PT,67.7,10.382,128,325507,59937,63103450
6108624,1585,Renal disorder,10038428,PT,204.164,14.918,114,14321,32860,63441727
6123289,2108,Systemic lupus erythematosus,10042945,PT,132.832,10.937,12,53736,208906,63226368
6085548,4956,Nail discolouration,10028692,PT,15.653,13.591,23,125194,2727,63361078
6069921,1767,Intentional overdose,10022523,PT,154.85,11.337,218,42208,73934,63372662
6104161,4235,Psoriasis,10037153,PT,35.646,11.558,19,60227,86938,63341838
6171837,348,Pulmonary valve disease,10061541,PT,21.216,13.98,4,19385,20,63469613
6052346,463,Glycosylated haemoglobin increased,10018484,PT,14.631,9.888,31,366440,12367,63110184
6019314,786,Cardiomyopathy,10007636,PT,26.123,25.154,23,11220,17561,63460218
6090522,2253,Oedema peripheral,10030124,PT,97.304,11.411,1941,876165,187570,62423346
6017423,4975,Campylobacter gastroenteritis,10007048,PT,18.608,11.887,20,456971,459,63031572
6006066,939,Aspartate aminotransferase increased,10003481,PT,25.484,14.341,222,92581,90055,63306164
6071955,2377,Jaundice,10023126,PT,195.318,15.759,119,19816,29132,63439955
