id,struct_id,meddra_name,meddra_code,level,llr,llr_threshold,drug_ae,drug_no_ae,no_drug_ae,no_drug_no_ae
6497802,2436,Fall,10016173,PT,52.459,10.473,954,114902,201931,34639144
6501865,4758,Glomerular filtration rate decreased,10018358,PT,187.458,19.957,94,13334,12867,34930636
6501638,2552,Giardiasis,10018262,PT,12.27,11.088,11,171225,300,34785395
6534254,180,Poisoning deliberate,10036000,PT,81.574,11.679,74,46330,7770,34902757
6520640,198,Microtia,10027555,PT,16.128,16.074,5,9095,280,34947551
6523762,4461,Nail pitting,10028702,PT,11.658,10.174,11,180392,304,34776224
6542707,1982,Selective mutism,10039917,PT,13.598,12.115,6,108116,71,34848738
6496972,722,Euphoric mood,10015535,PT,93.223,14.944,117,147256,5524,34804034
6540095,1513,Respiratory disorder,10038683,PT,19.674,14.556,32,14921,19232,34922746
6504529,785,Headache,10019211,PT,153.063,15.623,349,19837,200286,34736459
6604548,977,Discoloured vomit,10079120,PT,24.266,23.747,6,2574,522,34953829
6597906,85,Postural tremor,10073211,PT,15.881,10.955,12,134381,329,34822209
6598816,85,Autoimmune haemolytic anaemia,10073785,PT,17.303,10.955,47,134346,4449,34818089
6572846,2245,Cytomegalovirus infection reactivation,10058666,PT,192.551,10.576,190,202450,4928,34749363
6557725,1539,Peripheral swelling,10048959,PT,85.649,12.369,5,48317,76536,34832073
6512406,1906,Injection site bruising,10022052,PT,10.68,10.183,80,183354,8583,34764914
6595685,2868,Metastases to pelvis,10070913,PT,16.174,13.34,8,45236,309,34911378
6494153,962,Dyspnoea exertional,10013971,PT,20.751,10.24,130,175818,43149,34737834
6514481,728,Intestinal stenosis,10022699,PT,24.167,23.764,7,1316,2179,34953429
6563240,1751,Malignant neoplasm progression,10051398,PT,217.297,11.207,307,328735,87739,34540150
6538936,4461,Red blood cell count decreased,10038153,PT,10.957,10.174,211,180192,28879,34747649
6570543,192,Infective exacerbation of chronic obstructive airways disease,10056971,PT,23.971,10.152,23,65520,1828,34889560
6527584,2706,Oesophageal atresia,10030146,PT,26.574,13.166,12,34252,501,34922166
6484804,4968,Constipation,10010774,PT,45.512,19.526,31,30021,136951,34789928
6511156,419,Hypoventilation,10021133,PT,21.097,10.672,27,57260,3387,34896257
6512398,5140,Injection site atrophy,10022048,PT,25.223,23.3,5,7159,53,34949714
6517411,5089,Localised infection,10024774,PT,116.467,23.759,123,41244,17464,34898100
6522210,4307,Muscular weakness,10028372,PT,30.504,10.44,230,62613,72667,34821421
6594465,1992,Klebsiella test positive,10070091,PT,10.817,10.64,13,129739,668,34826511
6607283,2825,Lung opacity,10081792,PT,20.341,14.121,28,92168,2331,34862404
6609496,5158,Product dose omission issue,10084406,PT,14.747,14.562,63,33915,119648,34803305
6544860,663,Slow response to stimuli,10041045,PT,16.179,10.741,15,92435,805,34863676
6544975,4975,Small intestinal perforation,10041103,PT,21.751,11.799,39,174654,2132,34780106
6545220,1679,Somnolence,10041349,PT,104.15,15.397,175,14437,110941,34831378
6573988,4196,Juvenile idiopathic arthritis,10059176,PT,11.898,10.643,34,237156,1863,34717878
6597681,1536,Hepatic cancer,10073069,PT,14.378,11.028,33,46186,8242,34902470
6479241,4392,Cardiac failure congestive,10007559,PT,90.716,13.274,46,86181,83224,34787480
6602846,4307,Multiple organ dysfunction syndrome,10077361,PT,18.38,10.44,73,62770,76493,34817595
6463664,2843,Abdominal distension,10000060,PT,219.369,14.916,179,12954,58313,34885485
6492460,4210,Drug level increased,10013722,PT,45.583,15.098,3,90842,22093,34843993
6523968,2445,Nasopharyngitis,10028810,PT,61.874,11.253,267,245509,69701,34641454
