id,struct_id,meddra_name,meddra_code,level,llr,llr_threshold,drug_ae,drug_no_ae,no_drug_ae,no_drug_no_ae
201,198,Abdominal distension,10000060,PT,28.021,19.918,16,853,98,88825
202,52,Accidental overdose,10000381,PT,30.994,13.824,17,894,90,88791
203,2436,Agitation neonatal,10001500,PT,35.468,18.757,60,2171,588,86973
204,2861,Aspartate aminotransferase increased,10003481,PT,38.473,33.208,18,1010,54,88710
205,2646,Atrial septal defect,10003664,PT,19.507,17.651,141,2171,2978,84502
206,4265,Blister,10005191,PT,28.007,27.043,7,605,0,89180
207,2861,Blood creatine phosphokinase increased,10005470,PT,33.768,33.208,14,1014,28,88736
208,2861,Blood lactic acid increased,10005635,PT,56.426,33.208,27,1001,87,88677
209,1028,Cardiac arrest neonatal,10007516,PT,31.307,29.152,10,151,84,89547
210,176,Cardiac arrest neonatal,10007516,PT,41.275,40.056,11,86,83,89612
211,1992,Cardiac failure,10007554,PT,45.062,35.516,15,340,57,89380
212,2803,Cardiomegaly,10007632,PT,29.117,22.916,8,872,0,88912
213,4198,Circulatory collapse,10009192,PT,30.07,25.922,10,292,46,89444
214,663,Cryptorchism,10011498,PT,34.983,29.558,38,1433,371,87950
215,74,Cyst,10011732,PT,21.209,17.518,9,1077,18,88688
216,2865,Dacryostenosis congenital,10011850,PT,39.353,29.742,8,117,8,89659
217,1540,Dehydration,10012174,PT,23.307,20.055,41,2221,408,87122
218,2803,Developmental delay,10012559,PT,28.092,22.916,14,866,61,88851
219,197,Drug ineffective,10013709,PT,61.119,52.084,32,141,1020,88599
220,1187,Drug ineffective,10013709,PT,55.146,29.939,34,210,1018,88530
221,1563,Drug ineffective,10013709,PT,41.533,25.29,63,1265,989,87475
222,2134,Drug ineffective,10013709,PT,124.352,34.468,62,244,990,88496
223,1802,Drug ineffective,10013709,PT,61.123,27.943,31,127,1021,88613
224,198,Drug ineffective,10013709,PT,45.704,19.918,53,816,999,87924
225,2807,Drug ineffective,10013709,PT,50.521,26.562,41,401,1011,88339
226,4265,Drug ineffective,10013709,PT,42.278,27.043,43,569,1009,88171
227,434,Drug withdrawal syndrome neonatal,10013756,PT,58.634,35.088,43,167,2076,87506
228,1728,Drug withdrawal syndrome neonatal,10013756,PT,1033.476,86.42,509,839,1610,86834
229,1802,Epilepsy,10015037,PT,34.62,27.943,11,147,93,89541
230,1209,Feeling jittery,10016338,PT,45.631,22.913,18,774,44,88956
231,1982,Fever neonatal,10016562,PT,26.708,24.962,8,555,9,89220
232,2436,Fever neonatal,10016562,PT,18.97,18.757,9,2222,8,87553
233,1563,Gastrooesophageal reflux disease,10017885,PT,28.457,25.29,12,1316,17,88447
234,2475,Generalised tonic-clonic seizure,10018100,PT,29.914,24.016,9,73,131,89579
235,945,Generalised tonic-clonic seizure,10018100,PT,47.218,24.384,9,7,131,89645
236,198,Haematochezia,10018836,PT,23.833,19.918,9,860,16,88907
237,197,Hepatotoxicity,10019851,PT,66.535,52.084,19,154,98,89521
238,1388,Hepatotoxicity,10019851,PT,41.099,37.891,14,207,103,89468
239,4213,Hepatotoxicity,10019851,PT,41.756,40.649,14,197,103,89478
240,1053,Human herpesvirus 6 infection,10020431,PT,34.797,32.065,15,835,45,88897
241,1992,Human herpesvirus 6 infection,10020431,PT,47.751,35.516,15,340,45,89392
242,2436,Human herpesvirus 6 infection,10020431,PT,21.163,18.757,15,2216,45,87516
243,2279,Human herpesvirus 6 infection,10020431,PT,46.805,37.711,15,363,45,89369
244,269,Hydrops foetalis,10020529,PT,56.726,35.009,17,200,80,89495
245,845,Hyperglycaemia,10020635,PT,34.074,26.809,13,305,90,89384
246,2861,Hypertriglyceridaemia,10020869,PT,38.236,33.208,18,1010,55,88709
247,2422,Hypertriglyceridaemia,10020869,PT,35.683,35.032,7,16,66,89703
248,2813,Hypotonia neonatal,10021119,PT,28.541,25.541,59,2070,717,86946
249,1606,Hypotonia neonatal,10021119,PT,41.365,25.347,34,466,742,88550
250,1314,Insulin resistance,10022489,PT,24.06,8.842,3,4,3,89782
251,1407,Intestinal perforation,10022694,PT,53.575,22.063,22,728,67,88975
252,1407,Intraventricular haemorrhage,10022840,PT,30.753,22.063,18,732,138,88904
