id,category,title,effective_date,assigned_entity,pdf_url
47762f8f-30e2-445d-aaa1-e04479f8dd5b,HUMAN OTC DRUG LABEL,ThyroSafe,2022-03-22,BTG International Inc.,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=47762f8f-30e2-445d-aaa1-e04479f8dd5b
1a190488-3444-43b0-b9c8-45c1eb371aad,HUMAN PRESCRIPTION DRUG LABEL,Oxycodone Hydrochloride,2021-12-28,Bryant Ranch Prepack,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1a190488-3444-43b0-b9c8-45c1eb371aad
40ec029d-8af0-4f8f-bea1-1d38779ec232,HUMAN PRESCRIPTION DRUG LABEL,Lotrisone,2021-09-07,Merck Sharp & Dohme Corp.,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=40ec029d-8af0-4f8f-bea1-1d38779ec232
e52c3942-d6e0-4db0-955b-a39bfc6be97f,HUMAN OTC DRUG LABEL,Mucinex FreeFrom Cold and Flu Daytime,2022-01-10,RB Health (US) LLC,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e52c3942-d6e0-4db0-955b-a39bfc6be97f
96f19af4-de8f-4fd7-90d8-55fe6ebdd81d,HUMAN PRESCRIPTION DRUG LABEL,Meclofenamate Sodium,2021-05-15,Mylan Pharmaceuticals Inc.,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=96f19af4-de8f-4fd7-90d8-55fe6ebdd81d
61f00cb4-ea53-4ba6-a890-78586095d2f6,HUMAN PRESCRIPTION DRUG LABEL,Choline C 11,2017-12-19,The University of Texas MD Anderson Cancer Center,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=61f00cb4-ea53-4ba6-a890-78586095d2f6
e3348b90-8c16-4788-ab61-e354aea5d0a8,HUMAN PRESCRIPTION DRUG LABEL,Fluocinonide,2022-12-27,"Cosette Pharmaceuticals, Inc.",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e3348b90-8c16-4788-ab61-e354aea5d0a8
a7bd3e3c-26e9-07e7-e053-2995a90a9ca5,HUMAN PRESCRIPTION DRUG LABEL,ESZOPICLONE,2020-06-12,DIRECT RX,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a7bd3e3c-26e9-07e7-e053-2995a90a9ca5
bc0157d6-2639-b4c0-e053-2a95a90ad737,HUMAN OTC DRUG LABEL,Sanitelle Moisturizing Hand Sanitizer,2021-02-25,"BENTUS LABORATORII, OOO",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=bc0157d6-2639-b4c0-e053-2a95a90ad737
700f9b72-2ceb-8fa2-e053-2991aa0a0026,HUMAN OTC DRUG LABEL,GLOBAL CARE 15OZ GOLD ANTIBACTERIAL HAND,2018-05-01,"Ningbo Liyuan Daily Chemical Products Co., Ltd",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=700f9b72-2ceb-8fa2-e053-2991aa0a0026
a0a19cd1-eb8a-4773-be00-78de90d2a3c3,HUMAN OTC DRUG LABEL,Aspirin,2021-10-14,"WinCo Foods, LLC",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a0a19cd1-eb8a-4773-be00-78de90d2a3c3
f34e6823-1ef0-49ff-9379-8c818d6d57d6,HUMAN OTC DRUG LABEL,Hand Sanitizer,2020-05-07,General Organics Inc.,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f34e6823-1ef0-49ff-9379-8c818d6d57d6
f882d34f-6b9f-4d9d-8a3e-3054ba91c506,HUMAN PRESCRIPTION DRUG LABEL,Liothyronine Sodium,2019-10-01,Proficient Rx LP,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f882d34f-6b9f-4d9d-8a3e-3054ba91c506
b9bbbddf-b876-4780-e053-2a95a90afbba,HUMAN OTC DRUG LABEL,Spatherapy Antibacterial Citrus,2021-01-25,Shalom International Corp,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b9bbbddf-b876-4780-e053-2a95a90afbba
b5b8e2c2-88ac-429f-9194-482f5c3e7d90,HUMAN OTC DRUG LABEL,Oil-Free Astringent,2021-04-23,"Vi-Jon, LLC",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b5b8e2c2-88ac-429f-9194-482f5c3e7d90
f2ab3c2e-2a6e-4698-afad-260bdf0d259e,HUMAN PRESCRIPTION DRUG LABEL,Potassium Citrate,2022-02-08,Bryant Ranch Prepack,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f2ab3c2e-2a6e-4698-afad-260bdf0d259e
d60f90a5-10ea-442b-9ec5-2f2a69ec6441,HUMAN OTC DRUG LABEL,Nicotine Polacrilexcoated mint,2019-10-21,Roman Health Ventures Inc.,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d60f90a5-10ea-442b-9ec5-2f2a69ec6441
859bb02c-a4bc-46fa-9fc9-def1219b5dfb,HUMAN PRESCRIPTION DRUG LABEL,Azithromycin,2019-05-24,Bionpharma Inc.,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=859bb02c-a4bc-46fa-9fc9-def1219b5dfb
6671b7ec-9d37-4f59-b580-beae029ee91a,HUMAN OTC DRUG LABEL,CBD Pain Patches,2022-01-24,"Global Widget, LLC",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6671b7ec-9d37-4f59-b580-beae029ee91a
274650ff-90b2-4a2c-86a7-906c71b49280,HUMAN PRESCRIPTION DRUG LABEL,Quinine Sulfate,2021-07-30,American Health Packaging,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=274650ff-90b2-4a2c-86a7-906c71b49280
7fb3d350-baff-46d0-8fd4-6d9fecfbd63b,HUMAN OTC DRUG LABEL,SUDAFED PE Pressure PLUS Pain PLUS Mucus,2021-10-14,"Johnson & Johnson Consumer Inc., McNeil Consumer Healthcare Division",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7fb3d350-baff-46d0-8fd4-6d9fecfbd63b
9e516204-8f39-43c9-9f7e-d9777586f321,HUMAN PRESCRIPTION DRUG LABEL,Topiramate,2021-10-14,"PD-Rx Pharmaceuticals, Inc.",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9e516204-8f39-43c9-9f7e-d9777586f321
313dcdb8-afed-4b97-891e-e14bfa5e5b1f,HUMAN OTC DRUG LABEL,BALLVIC SEBO,2016-03-21,"INNOGENE CO.,LTD",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=313dcdb8-afed-4b97-891e-e14bfa5e5b1f
7c5397ef-23d5-4fd3-8efc-09a7837db74f,HUMAN OTC DRUG LABEL,Dr PEPSTORY HAND SANITIZER,2020-04-06,"Kiposs Co.,ltd",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7c5397ef-23d5-4fd3-8efc-09a7837db74f
19603dd4-2099-479d-9e6e-14c5d1c49928,HUMAN OTC DRUG LABEL,Minoxidil (for Women),2021-01-12,"SCIENTIFIC HAIR RESEARCH, LLC",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=19603dd4-2099-479d-9e6e-14c5d1c49928
cf10de09-6ed5-4a66-84fa-2da4f668bbe6,HUMAN PRESCRIPTION DRUG LABEL,PRENATE Enhance,2021-01-07,"Avion Pharmaceuticals, LLC",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cf10de09-6ed5-4a66-84fa-2da4f668bbe6
daecd85f-98c8-4482-94ea-676e93c301e3,HUMAN OTC DRUG LABEL,Paw Patrol HAND SANITIZER,2020-06-25,"Ashtel Studios, Inc",https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=daecd85f-98c8-4482-94ea-676e93c301e3
