id,appl_type,appl_no,product_no,exclusivity_code,exclusivity_date
25731,A,209690,002,PC,2023-09-08
25054,N,215446,001,NP,2025-05-12
25056,N,216986,006,NCE,2027-09-21
25969,N,206111,001,PED,2026-12-20
24942,N,210868,001,NCE,2023-11-02
25945,N,202192,002,PED,2026-06-19
24454,N,204447,004,M-187,2024-01-22
24575,N,208558,002,ODE-180,2024-08-17
24420,N,202192,004,ODE-373,2028-09-22
25444,N,211635,002,ODE-279,2027-01-10
25715,N,214187,002,ODE-376,2028-06-10
24437,N,202276,001,M-282,2025-10-18
25757,N,212608,003,ODE-366,2027-01-09
25871,N,201281,001,PED,2026-12-20
24819,N,207981,002,ODE-229,2026-02-22
25282,N,212819,001,NCE,2024-07-16
26028,N,214358,003,PED,2024-12-21
24871,N,207924,003,NCE,2023-05-31
25784,N,215206,002,I-909,2026-04-17
24966,N,208658,004,M-296,2026-06-20
25370,N,214965,001,ODE-358,2028-06-23
25947,N,202192,002,PED,2025-03-22
25553,A,215338,001,CGT,2023-12-20
24104,N,021366,005,ODE-118,2023-05-27
24444,N,205832,002,ODE-261,2026-09-06
24691,N,209521,002,NCE,2023-10-01
25520,N,214662,001,ODE-379,2028-09-29
24893,N,206494,001,NPP,2025-12-20
24888,N,206947,001,M-269,2024-07-21
26026,N,214358,005,PED,2024-12-21
24745,A,209549,001,PC,2023-09-08
26029,N,214358,001,PED,2024-12-21
25373,N,214358,006,NP,2024-06-21
24761,N,211651,001,NCE,2023-10-16
25003,N,209376,002,NCE,2024-04-30
25101,N,213137,001,NCE,2024-11-25
25674,N,213246,002,ODE-409,2029-09-21
24135,N,021880,004,ODE-245,2026-05-28
24722,N,208611,001,NCE,2022-06-19
24159,N,022253,002,I-878,2023-11-16
25752,N,212608,001,ODE-434,2030-05-22
24909,N,207925,001,ODE-435,2030-05-03
25388,N,214200,001,NCE,2026-02-12
24234,N,201281,001,M-252,2023-03-30
24434,N,202270,001,M-187,2023-12-04
25068,N,215014,001,ODE-351,2028-05-14
25043,N,208232,001,NP,2023-06-26
25627,N,213871,001,NPP,2026-02-09
24095,N,021283,004,NPP,2024-04-19
25288,N,215498,004,ODE-436,2030-06-13
25337,N,212888,001,D-184,2025-01-31
25249,N,216718,001,ODE-427,2030-02-28
25396,N,209500,001,I-882,2024-12-17
25092,N,214907,001,NCE,2026-11-29
25214,N,214787,001,D-183,2025-01-21
25651,N,211230,001,ODE-254,2026-06-17
25193,N,217469,001,NP,2026-05-30
26003,N,208026,001,PED,2026-12-20
25896,N,204026,004,PED,2027-11-14
24156,N,022253,004,NPP,2024-10-14
24584,N,208558,001,ODE-180,2024-08-17
25063,N,212099,001,NCE,2024-07-30
24899,N,207925,003,ODE-190,2024-05-17
25210,N,212576,001,NCE,2025-07-07
24242,N,203565,003,NS,2024-04-28
25814,N,021986,005,PED,2025-05-09
25689,N,213535,001,ODE-400,2029-05-27
24229,N,201280,001,M-295,2026-06-20
24964,N,210922,001,NCE,2023-08-10
25033,A,209668,002,PC,2023-09-08
24785,N,207078,001,NCE,2023-05-18
24462,N,209115,003,I-830,2023-05-15
26049,N,021883,001,GAIN,2024-05-23
25924,N,201292,001,PED,2025-07-12
24323,N,204026,004,ODE-297,2027-05-14
25797,N,217759,001,NCE,2028-03-24
25995,N,208798,007,PED,2025-01-09
25220,N,215341,002,NCE,2026-07-09
24168,N,022291,005,ODE-210,2025-11-16
24814,N,208030,001,I-859,2024-04-30
25416,N,214103,001,NCE,2025-11-23
25057,N,216986,005,NCE,2027-09-21
24451,N,203255,001,ODE-268,2025-06-29
25137,N,212690,001,I-870,2024-08-12
24582,N,208558,002,I-914,2026-05-31
26034,N,215309,001,PED,2026-01-18
25929,N,205552,001,PED,2026-02-24
24872,N,207924,001,NCE,2023-05-31
