code,description
ODE-367,PEDIATRIC PATIENTS AGED 6 MONTHS AND OLDER FOR THE TREATMENT OF C. DIFFICILE-ASSOCIATED DIARRHEA (CDAD)
I-642,TREATMENT OF ERECTILE DYSFUNCTION (ED) AND THE SIGNS AND SYMPTOMS OF BENIGN PROSTATIC HYPERPLASIA (BPH)
I-185,PREVENTION OF OSTEOPOROSIS IN POSTMENOPAUSAL WOMEN
PC,PATENT CHALLENGE
ODE-170,FOR THE DIAGNOSIS OF ADULT GROWTH HORMONE DEFICIENCY (AGHD)
M-287,LABELING REGARDING NEW DOSING REGIMEN IN ADULTS WITH PULMONARY ARTERIAL HYPERTENSION (PAH) AND TREATMENT OF PAH IN PEDIATRIC PATIENTS (AGES 1-17)
ODE-426,FOR USE IN PATIENTS 18 YEARS OF AGE OR OLDER WHO HAVE LIMITED OR NO ALTERNATIVE OPTIONS FOR THE TREATMENT OF CANDIDEMIA AND INVASIVE CANDIDIASIS
I-165,"MANAGEMENT OF ADULTS WITH ACTIVE, CLASSIC AND DEFINITIVE RHEUMATOID ARTHRITIS WHO HAVE HAD INSUFFICIENT THERAPEUTIC RESPONSE TO OR ARE INTOLERANT OF AN ADEQUATE TRIAL OF FULL DOSES OF ONE OR MORE NON-STEROIDAL ANTI-INFLAMMATORY DRUGS"
ODE-131,"TREATMENT OF MULTIPLE MYELOMA (MM), AS MAINTENANCE FOLLOWING AUTOLOGOUS HEMATOPOIETIC STEM CELL TRANSPLANTATION (AUTO-HSCT)"
I-201,EMPIRICAL THERAPY FOR FEBRILE NEUTROPENIC PATIENTS
D-139,ADDITIONAL INFORMATION ADDED TO THE DOSING AND ADMINISTRATION SECTION OF THE LABELING REGARDING THE ADMINISTRATION OF BRAVELLE AND MENOPUR IN THE SAME SYRINGE TO OVULATORY WOMEN AS PART OF AN ART CYCLE
I-719,EXPANDED INDICATION TO INCLUDE THE TREATMENT OF SUBJECTS WITH GENOTYPE 5 CHRONIC HEPATITIS C VIRUS INFECTION BASED ON THE RESULTS FROM STUDY GS-US-337-119.
ODE-98,TREATMENT OF HEREDITARY OROTIC ACIDURIA
ODE-223,TREATMENT OF LAMBERT-EATON MYASTHENIC SYNDROME (LEMS)
