struct_id,strength,trade_name,applicant,appl_type,appl_no,approval_date,type,dose_form,route,exclusivity_date,description
144,EQ 137MG BASE,GOCOVRI,ADAMAS OPERATIONS,N,208944,2017-08-24,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2024-08-24,TREATMENT OF DYSKINESIA IN PATIENTS WITH PARKINSONS DISEASE RECEIVING LEVODOPA-BASED THERAPY WITH OR WITHOUT CONCOMITANT DOPAMINERGIC MEDICATIONS
4188,100MG/ML,FERRIPROX,CHIESI,N,208030,2015-09-09,RX,SOLUTION,ORAL,2028-04-30,TREATMENT OF TRANSFUSIONAL IRON OVERLOAD IN ADULT AND PEDIATRIC PATIENTS 3 YEARS OF AGE AND OLDER WITH SICKLE CELL DISEASE OR OTHER ANEMIAS
5461,120MG,LUMAKRAS,AMGEN INC,N,214665,2021-05-28,RX,TABLET,ORAL,2026-05-28,NEW CHEMICAL ENTITY
5372,"50MG,37.5MG,25MG; 75MG",TRIKAFTA (COPACKAGED),VERTEX PHARMS INC,N,212273,2021-06-08,RX,TABLET,ORAL,2024-06-08,NEW PATIENT POPULATION
4716,EQ 10MG BASE,ICLUSIG,TAKEDA PHARMS USA,N,203469,2020-12-18,RX,TABLET,ORAL,2023-12-18,CHRONIC PHASE (CP) CHRONIC MYELOID LEUKEMIA (CML) WITH RESISTANCE OR INTOLERANCE TO AT LEAST TWO PRIOR KINASE INHIBITORS
5301,80MG,XOFLUZA,GENENTECH INC,N,210854,2021-03-18,RX,TABLET,ORAL,2023-10-24,NEW CHEMICAL ENTITY
4302,0.16MG/INH;0.0048MG/INH;0.009MG/INH,BREZTRI AEROSPHERE,ASTRAZENECA AB,N,212122,2020-07-23,RX,"AEROSOL, METERED",INHALATION,2023-07-23,NEW COMBINATION
5334,300MG,NUBEQA,BAYER HEALTHCARE,N,212099,2019-07-30,RX,TABLET,ORAL,2024-07-30,NEW CHEMICAL ENTITY
5400,EQ 20MG BASE/VIAL,BYFAVO,ACACIA,N,212295,2020-10-06,RX,POWDER,INTRAVENOUS,2025-10-06,NEW CHEMICAL ENTITY
5243,100MG;40MG,MAVYRET,ABBVIE,N,209394,2017-08-03,RX,TABLET,ORAL,2026-10-30,PEDIATRIC EXCLUSIVITY
1539,EQ 50MG BASE;300MG,DOVATO,VIIV HLTHCARE,N,211994,2019-04-08,RX,TABLET,ORAL,2023-08-06,TO REPLACE THE CURRENT ANTIRETROVIRAL REGIMEN IN THOSE WHO ARE VIROLOGICALLY SUPRESSED (HIV-1 RNA LESS THAN 50 COPIES PER ML) ON A STABLE ANTIRETROVIRAL REGIMEN WITH NO HISTORY OF TREATMENT FAILURE
4810,140MG,IMBRUVICA,PHARMACYCLICS LLC,N,210563,2018-02-16,RX,TABLET,ORAL,2026-02-24,PEDIATRIC EXCLUSIVITY
4228,150MG,KALYDECO,VERTEX PHARMS,N,203188,2012-01-31,RX,TABLET,ORAL,2027-12-21,"FOR THE TREATMENT OF CYSTIC FIBROSIS (CF) IN PATIENTS AGE 4 MONTHS AND OLDER WHO HAVE ONE OF THE ADDITIONAL MUTATIONS IN THE CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR (CFTR) GENE THAT HAVE BEEN IDENTIFIED AS RESPONSIVE TO IVACAFTOR POTENTIATION BASED ON IN VITRO DATA AND IDENTIFIED IN THE APPROVAL ON DECEMBER 21, 2020"
5133,50MG,VENCLEXTA,ABBVIE,N,208573,2016-04-11,RX,TABLET,ORAL,2026-05-15,TREATMENT OF PREVIOUSLY UNTREATED ADULT PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) OR SMALL LYMPHOCYTIC LYMPHOMA (SLL)
3128,360MG,JADENU,NOVARTIS PHARMS CORP,N,206910,2015-03-30,RX,TABLET,ORAL,2023-07-23,REVISIONS TO THE LABELING TO INCLUDE RESULTS FROM CLINICAL STUDY ICL670E2419 (THETIS TRIAL) TO SUPPORT PMR 3342-2 AND 3342-3
392,32MG,TRACLEER,ACTELION,N,209279,2017-09-05,RX,"TABLET, FOR SUSPENSION",ORAL,2024-09-05,"TREATMENT OF PULMONARY ARTERIAL HYPERTENSION (PAH) (WHO GROUP 1) IN PEDIATRIC PATIENTS AGED 3 YRS AND OLDER WITH IDIOPATHIC OR CONGENITAL PAH TO IMPROVE PULMONARY VASCULAR RESISTANCE (PVR), WHICH IS EXPECTED TO RESULT IN AN IMPROVEMENT IN EXERCISE ABILITY"
5046,EQ 20MG BASE,COTELLIC,GENENTECH INC,N,206192,2015-11-10,RX,TABLET,ORAL,2026-01-28,PEDIATRIC EXCLUSIVITY
4801,EQ 50MG BASE,TAFINLAR,NOVARTIS,N,202806,2013-05-29,RX,CAPSULE,ORAL,2030-03-16,TREATMENT OF PEDIATRIC PATIENTS 1 YEAR OF AGE AND OLDER WITH LOW-GRADE GLIOMA (LGG) WITH A BRAF V600E MUTATION WHO REQUIRE SYSTEMIC THERAPY
2140,EQ 11.25MG BASE;69MG,QSYMIA,VIVUS,N,022580,2012-07-17,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2025-06-24,NEW PATIENT POPULATION
768,EQ 25MG BASE,PROCYSBI,HORIZON,N,203389,2013-04-30,RX,"CAPSULE, DELAYED RELEASE",ORAL,2025-06-22,PEDIATRIC EXCLUSIVITY
5352,EQ 1GM BASE/VIAL,FETROJA,SHIONOGI INC,N,209445,2019-11-14,RX,POWDER,INTRAVENOUS,2024-11-14,NEW CHEMICAL ENTITY
5262,240MG/12ML (20MG/ML),PREVYMIS,MERCK SHARP DOHME,N,209940,2017-11-08,RX,SOLUTION,INTRAVENOUS,2030-06-05,FOR PROPHYLAXIS OF CYTOMEGALOVIRUS (CMV) DISEASE IN ADULT KIDNEY TRANSPLANT RECIPIENTS AT HIGH RISK (DONOR CMV SEROPOSITIVE/RECIPIENT CMV SERONEGATIVE [D+/R-])
4746,1MG,POMALYST,BRISTOL,N,204026,2013-02-08,RX,CAPSULE,ORAL,2027-05-14,INDICATED FOR THE TREATMENT OF ADULT PATIENTS WITH AIDS-RELATED KAPOSI SARCOMA (KS) AFTER FAILURE OF HIGHLY ACTIVE ANTIRETROVIRAL THERAPY (HAART)
4801,EQ 75MG BASE,TAFINLAR,NOVARTIS,N,202806,2013-05-29,RX,CAPSULE,ORAL,2024-12-22,PEDIATRIC EXCLUSIVITY
768,EQ 75MG BASE,PROCYSBI,HORIZON,N,203389,2013-04-30,RX,"CAPSULE, DELAYED RELEASE",ORAL,2023-02-14,PEDIATRIC EXCLUSIVITY
4634,14MG,AUBAGIO,SANOFI AVENTIS US,N,202992,2012-09-12,RX,TABLET,ORAL,2024-04-30,REVISIONS TO LABELING BASED ON DATA SUBMITTED IN RESPONSE TO PEDIATRIC WRITTEN REQUEST
5447,EQ 0.6MG BASE/0.6ML (EQ 0.6MG BASE/0.6ML),ZEGALOGUE (AUTOINJECTOR),ZEALAND PHARMA,N,214231,2021-03-22,RX,SOLUTION,SUBCUTANEOUS,2026-03-22,NEW CHEMICAL ENTITY
2446,100MG/VIAL,FYARRO,AADI,N,213312,2021-11-22,RX,POWDER,INTRAVENOUS,2024-11-22,NEW PRODUCT
4802,EQ 1MG,MEKINIST,NOVARTIS,N,204114,2013-05-29,DISCN,TABLET,ORAL,2024-06-22,"TRAMETINIB IN COMBINATION WITH DABRAFENIB, FOR THE TX. OF PTS WITH METASTATIC NON-SMALL CELL LUNG CANCER  WITH BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST"
2706,EQ 7.5MG BASE;46MG,QSYMIA,VIVUS,N,022580,2012-07-17,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2025-06-24,NEW PATIENT POPULATION
1225,0.055MG/INH;EQ 0.014MG BASE/INH,AIRDUO DIGIHALER,TEVA PHARM,N,208799,2019-07-12,RX,POWDER,INHALATION,2025-01-09,PEDIATRIC EXCLUSIVITY
25,300MG,ONUREG,BRISTOL,N,214120,2020-09-01,RX,TABLET,ORAL,2023-09-01,NEW PRODUCT
5344,200MG,PRETOMANID,MYLAN IRELAND LTD,N,212862,2019-08-14,RX,TABLET,ORAL,2024-08-14,NEW CHEMICAL ENTITY
3483,100MG,NOXAFIL,MERCK SHARP DOHME,N,205053,2013-11-25,RX,"TABLET, DELAYED RELEASE",ORAL,2024-06-17,FOR THE TREATMENT OF INVASIVE ASPERGILLOSIS IN PATIENTS 13 YEARS OF AGE AND OLDER
5202,1MG,OLUMIANT,ELI LILLY AND CO,N,207924,2019-10-08,RX,TABLET,ORAL,2025-06-13,TREATMENT OF ADULT PATIENTS WITH SEVERE ALOPECIA AREATA
4801,EQ 50MG BASE,TAFINLAR,NOVARTIS,N,202806,2013-05-29,RX,CAPSULE,ORAL,2025-06-22,"DABRAFENIB IS INDICATED IN COMBINATION WITH TRAMETINIB, FOR THE TREATMENT OF ADULT AND PEDIATRIC PATIENTS 6 YEARS OF AGE AND OLDER WITH UNRESECTABLE OR METASTATIC SOLID TUMORS WITH BRAF V600E MUTATION WHO HAVE PROGRESSED FOLLOWING PRIOR TREATMENT AND HAVE NO SATISFACTORY ALTERNATIVE TREATMENT OPTIONS"
3317,5MG,REVLIMID,CELGENE,N,021880,2005-12-27,RX,CAPSULE,ORAL,2026-05-28,INDICATED IN COMBINATION WITH A RITUXIMAB PRODUCT FOR THE TREATMENT OF ADULT PATIENTS WITH PREVIOUSLY TREATED MARGINAL ZONE LYMPHOMA (MZL)
4801,EQ 50MG BASE,TAFINLAR,NOVARTIS,N,202806,2013-05-29,RX,CAPSULE,ORAL,2025-10-30,PEDIATRIC EXCLUSIVITY
4802,EQ 2MG,MEKINIST,NOVARTIS,N,204114,2013-05-29,RX,TABLET,ORAL,2030-03-16,TREATMENT OF PEDIATRIC PATIENTS 1 YEAR OF AGE AND OLDER WITH LOW-GRADE GLIOMA (LGG) WITH A BRAF V600E MUTATION WHO REQUIRE SYSTEMIC THERAPY
5014,2MG,REXULTI,OTSUKA,N,205422,2015-07-10,RX,TABLET,ORAL,2026-05-10,TREATMENT OF AGITATION ASSOCIATED WITH DEMENTIA DUE TO ALZHEIMER’S DISEASE
5446,2MG,PONVORY,JANSSEN PHARMS,N,213498,2021-03-18,RX,TABLET,ORAL,2026-03-18,NEW CHEMICAL ENTITY
322,12.5MG,BENZNIDAZOLE,CHEMO RESEARCH SL,N,209570,2017-08-29,RX,TABLET,ORAL,2024-08-29,FOR USE IN CHILDREN AGES 2 TO 12 YEARS OLD WITH CHAGAS DISEASE
4550,0.42-8.33mCi/ML,FLUORODOPA F18,FEINSTEIN,N,200655,2019-10-10,RX,SOLUTION,INTRAVENOUS,2024-10-10,EXCLUSIVITY ON THIS APPLICATION EXPIRING ON THIS DATE HAS BEEN WAIVED BY SPONSOR - SEE SECTION 1.8 OF ORANGE BOOK PREFACE WAIVED EXCLUSIVITY
4811,150MG/PACKET,SOVALDI,GILEAD SCIENCES INC,N,212480,2019-08-28,RX,PELLETS,ORAL,2024-10-07,PEDIATRIC EXCLUSIVITY
5351,EQ 100MG BASE,REYVOW,ELI LILLY AND CO,N,211280,2020-01-31,RX,TABLET,ORAL,2025-01-31,NEW CHEMICAL ENTITY
5506,EQ 20MG BASE,PYRUKYND,AGIOS PHARMS INC,N,216196,2022-02-17,RX,TABLET,ORAL,2029-02-17,TREATMENT OF HEMOLYTIC ANEMIA IN ADULTS WITH PYRUVATE KINASE (PK) DEFICIENCY
4715,EQ 20MG BASE,CABOMETYX,EXELIXIS INC,N,208692,2016-04-25,RX,TABLET,ORAL,2028-09-17,THE TREATMENT OF ADULT AND PEDIATRIC PATIENTS 12 YEARS OF AGE AND OLDER WITH LOCALLY ADVANCED OR METASTATIC DIFFERENTIATED THYROID CANCER (DTC) THAT HAS PROGRESSED FOLLOWING PRIOR VEGFR-TARGETED THERAPY AND WHO ARE RADIOACTIVE IODINE-REFRACTORY OR INELIGIBLE
5244,100MG;40MG,MAVYRET,ABBVIE,N,209394,2017-08-03,RX,TABLET,ORAL,2023-02-03,PEDIATRIC EXCLUSIVITY
3317,25MG,REVLIMID,CELGENE,N,021880,2006-06-29,RX,CAPSULE,ORAL,2024-02-22,"TREATMENT OF MULTIPLE MYELOMA (MM), AS MAINTENANCE FOLLOWING AUTOLOGOUS HEMATOPOIETIC STEM CELL TRANSPLANTATION (AUTO-HSCT)"
3317,5MG,REVLIMID,CELGENE,N,021880,2005-12-27,RX,CAPSULE,ORAL,2024-02-22,"TREATMENT OF MULTIPLE MYELOMA (MM), AS MAINTENANCE FOLLOWING AUTOLOGOUS HEMATOPOIETIC STEM CELL TRANSPLANTATION (AUTO-HSCT)"
2820,EQ 100MG BASE,QELBREE,SUPERNUS PHARMS,N,211964,2021-04-02,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2026-04-02,NEW CHEMICAL ENTITY
432,200MG/7ML (29.25MG/ML);6MG/7ML (0.88MG/ML),ZYNRELEF KIT,HERON THERAPS INC,N,211988,2021-05-12,RX,"SOLUTION, EXTENDED RELEASE",PERIARTICULAR,2024-05-12,NEW PRODUCT
4802,EQ 2MG,MEKINIST,NOVARTIS,N,204114,2013-05-29,RX,TABLET,ORAL,2025-05-04,"TRAMETINIB AND DABRAFENIB IN COMBINATION, FOR THE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC ANAPLASTIC THYROID CANCER (ATC) WITH BRAF V600E MUTATION AND WITH NO SATISFACTORY LOCOREGIONAL TREATMENT OPTIONS"
247,110MG/VIAL,ARTESUNATE,AMIVAS,N,213036,2020-05-26,RX,POWDER,INTRAVENOUS,2027-05-26,INDICATED FOR THE INITIAL TREATMENT OF SEVERE MALARIA IN ADULT AND PEDIATRIC PATIENTS TO ALWAYS BE FOLLOWED BY A COMPLETE TREATMENT COURSE OF AN APPROPRIATE ORAL ANTIMALARIAL REGIMEN
776,EQ 150MG BASE/PACKET,PRADAXA,BOEHRINGER INGELHEIM,N,214358,2021-06-21,RX,PELLETS,ORAL,2024-06-21,NEW PRODUCT
1845,10MG/5ML,MORPHINE SULFATE,HIKMA,N,022195,2008-03-17,RX,SOLUTION,ORAL,2024-06-02,NEW PATIENT POPULATION
2706,EQ 3.75MG BASE;23MG,QSYMIA,VIVUS,N,022580,2012-07-17,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2025-06-24,NEW PATIENT POPULATION
4188,100MG/ML,FERRIPROX,CHIESI,N,208030,2015-09-09,RX,SOLUTION,ORAL,2024-04-30,TREATMENT OF PATIENTS WITH TRANSFUSIONAL IRON OVERLOAD DUE TO SICKLE CELL DISEASE OR OTHER ANEMIAS
4228,25MG/PACKET,KALYDECO,VERTEX PHARMS INC,N,207925,2019-04-29,RX,GRANULE,ORAL,2026-04-29,TREATMENT OF CYSTIC FIBROSIS (CF) IN PATIENTS AGE 6 MONTHS TO LESS THAN 12 MONTHS WHO HAVE ONE MUTATION IN THE CFTR GENE THAT IS RESPONSIVE TO IVACAFTOR POTENTIATION BASED ON CLINICAL AND/OR IN VITRO ASSAY DATA
