id,appl_type,appl_no,product_no,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag
218653,N,201922,003,7790705,2025-06-24,,,U-124,
221242,N,022496,001,11452691,2041-01-22,,Y,U-3439,
221168,N,207925,005,10272046,2033-02-27,,Y,U-3605,
223094,N,208051,001,9265784,2029-08-04,,,U-3047,
217790,N,205422,001,9839637,2026-04-12,,Y,U-1529,
223768,N,207620,002,9388134,2026-11-08,,,U-1723,
224374,N,204275,003,11116721,2029-02-26,,Y,U-3623,
218183,N,209091,001,8501698,2027-06-20,,Y,U-1976,
228899,N,202810,001,9855278,2027-04-13,,Y,,
217417,N,021777,001,9375410,2023-11-14,,,U-1088,
232001,N,212099,001,10711013,2030-10-27,Y,Y,,
217198,N,208780,001,8318780,2030-01-08,,,U-2081,
228494,N,208799,001,8714149,2032-02-25,,Y,,
216341,N,022426,004,8173663,2025-03-15,,,U-1338,
227730,N,022445,001,8252304,2024-09-28,,Y,,
222247,N,212849,002,10406161,2032-04-10,,Y,U-3513,
230170,N,205422,001,10307419,2032-10-12,,Y,,
227045,N,211651,003,8012976,2029-10-19,Y,Y,,
226560,N,022107,001,8618172,2028-07-13,,Y,,
229472,N,209816,001,7326696,2023-09-24,Y,,,
229970,N,205637,001,8703177,2032-08-20,,Y,,
216877,N,202992,001,9186346,2034-02-04,,,U-1786,
226569,N,213491,002,9233077,2034-06-17,,Y,,
231283,N,208692,003,11298349,2032-02-10,,Y,,
218719,N,021840,001,7320969,2024-01-30,,,U-828,
227731,N,202714,002,7232818,2025-04-14,Y,Y,,
221224,N,213491,002,10328037,2036-08-16,,,U-1399,
227292,N,205060,001,9050309,2033-01-04,Y,,,
216757,N,021977,005,7678771,2023-02-24,,Y,U-842,
229024,N,212614,002,7713938,2027-04-15,Y,Y,,
228060,N,210874,001,9616028,2030-11-12,,Y,,
227421,N,207202,006,11464423,2030-09-15,,Y,,
230374,N,210493,001,10717721,2032-05-23,Y,,,
223728,N,217514,001,8703781,2030-10-15,Y,Y,U-3565,
230749,N,207202,001,9060708,2029-03-05,,Y,,
227873,N,019034,001,9731082,2032-04-23,,Y,,
231684,N,201739,001,9056170,2024-11-23,,Y,,
216634,N,202788,007,8835460,2027-01-25,,Y,U-55,
217856,N,200603,005,9827242,2031-05-23,,,U-2199,
224769,N,207947,008,10821108,2036-12-01,,Y,U-2992,
232082,N,208686,001,11173141,2036-03-25,,Y,,
226348,N,211675,002,8962629,2031-01-15,Y,,U-3341,
221180,N,203565,004,11478502,2027-01-08,,,U-3472,
234302,N,208341,002,9085573*PED,2028-09-21,,,,
229846,N,206947,001,10407393,2035-08-26,Y,,,
233760,N,210563,002,10010507*PED,2036-09-03,,,,
218656,N,203858,003,8618135,2025-03-07,,,U-1316,
230139,N,202429,001,9447089,2032-06-06,,Y,,
228248,N,202860,001,10926054,2029-08-13,,Y,,
219675,N,209210,001,9884092,2026-08-18,,,U-2590,
226806,N,211988,003,9744163,2034-03-13,,Y,,
218680,N,022328,001,7682628,2025-02-16,,,U-1194,
234230,N,209210,001,7456254*PED,2025-12-30,,,,
216238,N,022352,001,7820681,2029-02-17,,,U-1020,
220777,N,021777,001,8877245,2023-11-14,,,U-979,
230892,N,215457,001,7947017,2028-03-12,,Y,,
217568,N,209819,001,9272044,2031-06-06,,,U-2176,
224789,N,213378,001,8778960,2032-02-13,,,U-3137,
234031,N,208799,003,10765820*PED,2025-11-19,,,,
231482,N,205836,002,10729653,2030-04-09,,Y,,
224568,N,210136,007,11110084,2032-07-26,,Y,U-3616,
225493,N,214846,001,11033551,2037-09-29,,,U-3129,
228395,N,210854,002,10392406,2036-04-27,Y,,,
231018,N,211651,003,10189837,2031-10-20,Y,Y,,
216994,N,203312,002,8557283,2028-12-26,,Y,U-1645,
234261,N,207620,001,8101659*PED,2025-07-15,,,,
224185,N,200063,001,11278544,2024-04-21,,,U-1583,
231522,N,206627,003,9775809,2027-08-24,,Y,,
229809,N,205552,002,9725455,2033-06-03,Y,,,
221678,N,214755,002,11000498,2037-07-21,,Y,U-3580,
216403,N,202020,002,8394407,2024-04-23,,Y,U-1362,
