code,description
U-1201,FOR THE TREATMENT OF INTERMEDIATE OR HIGH-RISK MYELOFIBROSIS
U-1769,TREATMENT OF PAIN BY TRANSMUCOSAL DELIVERY OF BUPRENORPHINE
U-2874,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETIS BY ORALLY ADMINISTERING A DOSAGE FORM COMPRISING MICRONIZED BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 7 AND 8
U-2785,A METHOD OF TREATING A CANCER CHARACTERIZED BY AN IDH1 MUTATION WHERE THE CANCER IS NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA (AML) AND WHERE THE MUTANT IDH1 HAS THE ABILITY TO CONVERT ALPHA-KETOGLUTARATE INTO 2-HYDROXYGLUTARATE (2-HG)
U-2098,INCREASING PRODUCTION OF FUNCTIONAL DYSTROPHIN PROTEIN IN DMD PATIENTS HAVING A MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING
U-1550,METHOD OF TREATING METASTATIC PAPILLARY RENAL CELL CARCINOMA WITH TEMSIROLIMUS.
U-1074,USE OF EXENATIDE MAY RESULT IN REDUCTION IN BODY WEIGHT
U-773,PATHOLOGICAL HYPERSECRETORY CONDITIONS
U-873,METHOD OF TREATING CONSTIPATION IN A PATIENT WITH IRRITABLE BOWEL SYNDROME BY OPENING CHLORIDE CHANNELS (CIC)
U-1242,PREVENTION OF RESPIRATORY DISTRESS (RDS) IN PREMATURE INFANTS
U-2696,"USE OF VASCEPA AS AN ADJUNCT TO STATIN THERAPY TO REDUCE THE RISK OF CARDIOVASCULAR DEATH, CORONARY REVASCULARIZATION, AND UNSTABLE ANGINA IN AN ADULT PATIENT WITH ELEVATED TRIGLYCERIDE LEVELS (TG >= 150 MG/DL TO ABOUT 500 MG/DL)"
U-95,SHORT TERM MANAGEMENT OF MODERATE PRURITIS IN ADULTS WITH ATOPIC DERMATITIS AND LICHEN SIMPLEX CHRONICUS
U-1960,USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF SCHIZOPHRENIA IN ADULTS
U-1773,LONG-TERM MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-2381,"TREATMENT IN COMBINATION WITH A GNRH AGONIST OF NON-METASTATIC, CASTRATION-RESISTANT PROSTATE CANCER (NM-CRPC)"
U-2803,"BRAFTOVI IS A KINASE INHIBITOR INDICATED IN COMBINATION WITH BINIMETINIB, FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH A BRAF V600E OR V600K MUTATION, AS DETECTED BY AN FDA- APPROVED TEST"
U-80,METHOD OF TREATING OCULAR BACTERIAL INFECTIONS
U-109,ADJUNCT DIET IN THE TX OF ELEVATED TOTAL CHOLESTEROL AND LDL-C LEVELS IN PTS W/PRIMARY HYPERCHOLESTEROLEMIA WHOSE RESPONSE TO DIETARY RESTRICTION OF SAT FAT AND CHOLESTEROL AND OTHER NONPHARMACOLOGICAL MEASURES HAS NOT BEEN ADEQUATE
U-3020,TREATMENT OF ADULT PATIENTS WITH ADVANCED PROSTATE CANCER
U-1726,REDUCTION IN RISK OF HOSPITALIZATION IN PATIENTS WITH CORONARY HEART DISEASE AND A HISTORY OF PAROXYSMAL OR PERSISTENT AF AND WITH ONE OR MORE RISK FACTORS BY ADMINISTRATION TWICE A DAY WITH MORNING AND EVENING MEALS
U-3679,A METHOD FOR REDUCING THE INCIDENCE OF CHEMOTHERAPY-INDUCED MYELOSUPPRESSION IN ADULT PATIENTS WHEN ADMINISTERED PRIOR TO A TOPOTECAN-CONTAINING REGIMEN FOR EXTENSIVE-STAGE SMALL CELL LUNG CANCER
U-3153,"TREATMENT OF ADVANCED GASTROINTESTINAL STROMAL TUMOR IN PATIENTS HAVING PROGRESSED FROM A FIRST LINE ADMINISTRATION OF IMATINIB, A SECOND LINE ADMINISTRATION OF SUNITINIB, AND A THIRD LINE ADMINISTRATION OF REGORAFENIB"
