struct_id,strength,patent_no,description,trade_name,applicant,appl_type,appl_no,type,dose_form,route,approval_date,patent_expire_date
5241,80MG,8557852,PROPHYLAXIS OF VENOUS THROMBOSIS,BEVYXXA,PORTOLA PHARMS INC,N,208383,DISCN,CAPSULE,ORAL,2017-06-23,2028-09-08
4913,EQ 200MG BASE;8.33MG;50MG;33.33MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,8680106,"TREATMENT OF HCV INFECTION USING PARITAPREVIR, OMBITASVIR, RITONAVIR, AND DASABUVIR WITH RIBAVIRIN.",VIEKIRA XR,ABBVIE,N,208624,DISCN,"TABLET, EXTENDED RELEASE",ORAL,2016-07-22,2032-09-04
5227,EQ 60MG BASE,11026931,TREATMENT OF TARDIVE DYSKINESIA,INGREZZA,NEUROCRINE,N,209241,RX,CAPSULE,ORAL,2021-04-23,2039-08-14
435,105MG;45MG,11273133,DEXTROMETHORPHAN AND BUPROPION IN COMBINATION TO TREAT MAJOR DEPRESSIVE DISORDER,AUVELITY,AXSOME,N,215430,RX,"TABLET, EXTENDED RELEASE",ORAL,2022-08-18,2034-11-05
1123,2MG/0.85ML (2MG/0.85ML),8461105,IMPROVING GLYCEMIC CONTROL IN PATIENTS 10 YEARS OF AGE AND OLDER WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING A SUSTAINED-RELEASE EXENATIDE FORMULATION AS AN ADJUNCT TO DIET AND EXERCISE,BYDUREON BCISE,ASTRAZENECA AB,N,209210,RX,"SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS,2017-10-20,2025-04-13
2389,150MG/0.42ML (150MG/0.42ML),8741327,TREATMENT OF SCHIZOPHRENIA,UZEDY,TEVA,N,213586,RX,"SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS,2023-04-28,2027-11-12
1709,1GM/VIAL;1GM/VIAL,9694025,TREATMENT OF PATIENTS 18 YEARS OF AGE AND OLDER WITH COMPLICATED URINARY TRACT INFECTIONS CAUSED BY SUSCEPTIBLE MICROORGANISMS,VABOMERE,REMPEX,N,209776,RX,POWDER,INTRAVENOUS,2017-08-29,2031-08-08
403,EQ 0.8MG BASE,10688094,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETIS BY ORALLY ADMINISTERING A DOSAGE FORM COMPRISING MICRONIZED BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 28 AND 29,CYCLOSET,VEROSCIENCE,N,020866,RX,TABLET,ORAL,2009-05-05,2032-04-30
5384,EQ 1MG BASE,10709691,CUSHINGS DISEASE,ISTURISA,RECORDATI RARE,N,212801,RX,TABLET,ORAL,2020-03-06,2035-10-12
4190,EQ 20MG BASE,8822481,FOR TREATMENT OF POLYCYTHEMIA VERA (PV) IN PATIENTS WHO HAVE HAD AN INADEQUATE RESPONSE TO OR ARE INTOLERANT OF HYDROXYUREA,JAKAFI,INCYTE CORP,N,202192,RX,TABLET,ORAL,2011-11-16,2028-06-12
