id,ingredient,trade_name,applicant,strength,appl_type,appl_no,te_code,approval_date,rld,type,applicant_full_name,dose_form,route,product_no
679732,CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,RINGERS IN PLASTIC CONTAINER,ABBOTT,33MG/100ML;30MG/100ML;860MG/100ML,N,018462,,,0,DISCN,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,SOLUTION,IRRIGATION,001
660087,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,GLAND PHARMA LTD,EQ 2MG BASE/ML,A,090648,AP,2012-06-15,0,RX,GLAND PHARMA LTD,INJECTABLE,INJECTION,001
688997,LENACAPAVIR SODIUM,SUNLENCA,GILEAD SCIENCES INC,EQ 300MG BASE,N,215974,,2022-12-22,1,RX,GILEAD SCIENCES INC,TABLET,ORAL,001
671349,ACYCLOVIR,ACYCLOVIR,YILING,800MG,A,210401,AB,2018-03-07,0,RX,YILING PHARMACEUTICAL LTD,TABLET,ORAL,002
643922,OXAZEPAM,OXAZEPAM,IVAX SUB TEVA PHARMS,15MG,A,070944,,1987-08-03,0,DISCN,IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA,CAPSULE,ORAL,001
674581,BACLOFEN,BACLOFEN,BEXIMCO PHARMS USA,20MG,A,214114,AB,2021-07-16,0,RX,BEXIMCO PHARMACEUTICALS USA INC,TABLET,ORAL,002
646931,ETODOLAC,ETODOLAC,ANI PHARMS,300MG,A,075126,AB,1999-09-16,0,RX,ANI PHARMACEUTICALS INC,CAPSULE,ORAL,002
685383,DOCETAXEL,DOCETAXEL,HOSPIRA INC,80MG/4ML (20MG/ML),N,022234,,2016-06-23,1,RX,HOSPIRA INC,INJECTABLE,INJECTION,005
647206,CROMOLYN SODIUM,CROMOLYN SODIUM,WOCKHARDT BIO AG,10MG/ML,A,075346,AN,1999-10-25,0,RX,WOCKHARDT BIO AG,SOLUTION,INHALATION,001
648619,CLONIDINE,CLONIDINE,MYLAN TECHNOLOGIES,0.3MG/24HR,A,076166,AB,2010-07-16,0,RX,MYLAN TECHNOLOGIES INC,SYSTEM,TRANSDERMAL,003
677666,ISOSORBIDE DINITRATE,ISORDIL,WYETH AYERST,40MG,N,012882,,1988-07-29,0,DISCN,WYETH AYERST LABORATORIES,"CAPSULE, EXTENDED RELEASE",ORAL,002
666723,EPTIFIBATIDE,EPTIFIBATIDE,AMNEAL PHARMS,75MG/100ML,A,205581,,2016-12-08,0,DISCN,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,INJECTABLE,INJECTION,002
653272,LEVETIRACETAM,LEVETIRACETAM,MYLAN,250MG,A,078731,,2009-02-10,0,DISCN,MYLAN PHARMACEUTICALS INC,TABLET,ORAL,001
683561,MICONAZOLE NITRATE; WHITE PETROLATUM; ZINC OXIDE,VUSION,MYLAN,0.25%;81.35%;15%,N,021026,,2006-02-16,1,RX,MYLAN PHARMACEUTICALS INC,OINTMENT,TOPICAL,001
652530,OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,RISING,20MG,A,078276,,2016-10-26,0,DISCN,RISING PHARMA HOLDING INC,TABLET,ORAL,002
644742,DROPERIDOL; FENTANYL CITRATE,FENTANYL CITRATE AND DROPERIDOL,ASTRAZENECA,2.5MG/ML;EQ 0.05MG BASE/ML,A,072026,,1989-04-13,0,DISCN,ASTRAZENECA LP,INJECTABLE,INJECTION,001
678174,ISOPROTERENOL HYDROCHLORIDE,NORISODRINE AEROTROL,ABBOTT,0.25%,N,016814,,,0,DISCN,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,DISC,INHALATION,001
664432,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,AUROBINDO PHARMA,20MG,A,203367,AB,2017-02-02,0,RX,AUROBINDO PHARMA LTD,TABLET,ORAL,002
650991,ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,COSETTE,EQ 2MG BASE,A,077460,,2008-05-05,0,DISCN,COSETTE PHARMACEUTICALS INC,TABLET,ORAL,004
678125,QUINESTROL,ESTROVIS,PARKE DAVIS,0.1MG,N,016768,,,0,DISCN,PARKE DAVIS DIV WARNER LAMBERT CO,TABLET,ORAL,002
666511,PREGABALIN,PREGABALIN,AUROBINDO PHARMA,75MG,A,205321,AB,2023-03-29,0,RX,AUROBINDO PHARMA LTD,CAPSULE,ORAL,003
648824,DIGOXIN,DIGOXIN,STEVENS J,0.25MG,A,076268,AB,2002-07-26,0,RX,JEROME STEVENS PHARMACEUTICALS INC,TABLET,ORAL,002
662116,SIMVASTATIN,SIMVASTATIN,HETERO LABS LTD III,5MG,A,200895,AB,2014-11-25,0,RX,HETERO LABS LTD UNIT III,TABLET,ORAL,001
645752,GLIPIZIDE,GLIPIZIDE,AUROBINDO PHARMA USA,10MG,A,074226,AB,1994-05-10,0,RX,AUROBINDO PHARMA USA INC,TABLET,ORAL,002
