id,struct_id,concept_id,relationship_name,concept_name,umls_cui,snomed_full_name,cui_semantic_type,snomed_conceptid
136880,2253,21001907,indication,Löffler's syndrome,C0242459,Löffler's syndrome,T047,64936001.0
143985,1402,21001992,contraindication,Peptic reflux disease,C0014869,Peptic reflux disease,T047,57643001.0
168931,734,21001374,off-label use,Otitis Externa Eczema,,,,
170105,270,21003119,contraindication,Skin irritation,C0152030,Skin irritation,T184,367466007.0
152368,2274,21001054,contraindication,Parkinsonism,C0242422,Parkinsonism,T047,32798002.0
170887,2742,21001105,contraindication,Epilepsy,C0014544,Epilepsy,T047,84757009.0
168606,1549,21002267,contraindication,Renal tubular acidosis,C0001126,Renal tubular acidosis,T047,1776003.0
157651,4271,21013586,contraindication,Colostomy,C0009410,Colostomy,T061,398740003.0
168425,660,21001913,contraindication,Respiratory insufficiency,C0035229,Respiratory insufficiency,T046,409623005.0
175074,4964,21013985,indication,CD30-positive peripheral T-cell lymphoma,C0079774,Peripheral T-cell lymphoma,T191,109977009.0
160743,1903,21001395,contraindication,Tinnitus,C0040264,Tinnitus,T033,60862001.0
155966,2620,21000578,contraindication,Goiter,C0018021,Goiter,T047,3716002.0
146710,593,21001572,contraindication,Conduction disorder of the heart,C0264886,Conduction disorder of the heart,T047,44808001.0
173086,5043,40249249,indication,Sucrase-isomaltase deficiency,C1283620,Sucrase-isomaltase deficiency,T047,78373000.0
142645,802,21002320,indication,Urinary tract infectious disease,C0042029,Urinary tract infectious disease,T047,68566005.0
160431,725,21001001,contraindication,Dependent drug abuse,C1510472,Dependent drug abuse,T048,6525002.0
160204,2428,21001913,contraindication,Respiratory insufficiency,C0035229,Respiratory insufficiency,T046,409623005.0
156157,1539,21000740,contraindication,Lactic acidosis,C0001125,Lactic acidosis,T047,91273001.0
146118,1768,4342132,indication,Hodgkin's disease,C0019829,Hodgkin's disease,T191,118599009.0
134277,3356,21000528,contraindication,Family history of malignant neoplasm of breast,C1261325,Family history of malignant neoplasm of breast,T033,429740004.0
132815,1987,40249129,indication,Acute heart failure,C0264714,Acute heart failure,T047,56675007.0
137842,2489,21001157,contraindication,Duchenne muscular dystrophy,C0013264,Duchenne muscular dystrophy,T047,76670001.0
132496,4830,40249309,reduce risk,Cardiovascular event,C1320716,Cardiovascular event,T033,405617006.0
142354,380,21000604,contraindication,Diabetes mellitus,C0011849,Diabetes mellitus,T047,73211009.0
159467,1612,21001448,indication,Myocardial Reinfarction Prevention,,,,
153185,4296,21013690,contraindication,Multiple organ failure,C0026766,Multiple organ failure,T046,57653000.0
137725,439,21001432,contraindication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0
149101,2097,21000863,contraindication,Blood coagulation disorder,C0005779,Blood coagulation disorder,T047,64779008.0
146293,26,21000441,indication,Superficial basal cell carcinoma,C0862889,Superficial basal cell carcinoma,T191,403914000.0
160770,2598,21001432,contraindication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0
158727,722,21002104,contraindication,Paralytic ileus,C0030446,Paralytic ileus,T047,55525008.0
139469,547,21000818,contraindication,Hemolytic anemia,C0002878,Hemolytic anemia,T047,61261009.0
143955,2813,21000950,contraindication,Mania,C0338831,Mania,T048,231494001.0
155831,329,21003446,contraindication,"Pregnancy, function",C0032961,"Pregnancy, function",T040,289908002.0
171988,1663,21002048,contraindication,Gastrointestinal ulcer,C0237938,Gastrointestinal ulcer,T047,40845000.0
169852,1358,21001653,indication,Peripheral arterial embolism,C0564750,Peripheral arterial embolism,T046,286959000.0
147289,2100,21001714,contraindication,Bleeding,C0019080,Bleeding,T046,131148009.0
159371,4168,21000897,contraindication,Neutropenic disorder,C0027947,Neutropenic disorder,T047,303011007.0
137364,1059,21002213,contraindication,Disorder of gallbladder,C0016977,Disorder of gallbladder,T047,39621005.0
172299,4196,21006763,indication,Vitamin Deficiency Prevention,,,,
133031,2027,21001432,indication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0
175253,4182,40249636,indication,Prevention of atherothrombotic events after an acute coronary syndrome,C0948089,Acute coronary syndrome,T047,394659003.0
133962,1336,21002098,contraindication,Inflammatory bowel disease,C0021390,Inflammatory bowel disease,T047,24526004.0
161408,4357,21011370,indication,Intra-Abdominal Candida Abscess,,,,
134701,1962,21001507,contraindication,Heart valve disorder,C0018824,Heart valve disorder,T047,368009.0
138546,2794,21001204,indication,Ocular hypertension,C0028840,Ocular hypertension,T047,4210003.0
170340,2725,21001354,contraindication,Viral eye infection,C0015407,Viral eye infection,T047,312132001.0
136511,3534,21001095,off-label use,Absence seizure,C0014553,Absence seizure,T047,79631006.0
151020,4513,21002109,contraindication,Gastrointestinal obstruction,C0236124,Gastrointestinal obstruction,T046,126765001.0
134212,2148,21001563,contraindication,Bradycardia,C0428977,Bradycardia,T046,48867003.0
175669,5567,40249812,indication,Demodex blepharitis,C1274557,Demodectic blepharitis,T047,403152000.0
162403,2179,21003247,contraindication,Severe diarrhea,C1443924,Severe diarrhea,T184,409587002.0
151397,2415,21002114,contraindication,Constipation,C0009806,Constipation,T184,14760008.0
156428,1767,21013458,off-label use,Cognitive Impairment following Traumatic Brain Injury,,,,
140230,136,21001002,contraindication,Alcohol intoxication,C0001969,Alcohol intoxication,T048,25702006.0
133458,2308,21013960,contraindication,Necrotizing vasculitis,C1318520,Necrotizing vasculitis,T047,11791001.0
171939,2026,21003199,contraindication,Dyspnea,C0013404,Dyspnea,T184,267036007.0
160597,868,21003068,contraindication,Sleep apnea,C0037315,Sleep apnea,T047,73430006.0
149486,2056,21001564,contraindication,Sinus tachycardia,C0039239,Sinus tachycardia,T047,11092001.0
144025,2172,21001211,contraindication,Glaucoma,C0017601,Glaucoma,T047,23986001.0
173199,458,40249211,indication,Gastric spasm,C0581358,Gastric spasm,T184,196754001.0
155938,546,21002879,indication,Streptococcus Osteomyelitis,,,,
153169,2279,21003146,contraindication,Weight gain finding,C0043094,Weight gain finding,T033,8943002.0
146866,2095,21000695,contraindication,Hyperammonemia,C0220994,Hyperammonemia,T046,9360008.0
156413,4260,21003118,contraindication,Eruption of skin,C0015230,Eruption of skin,T047,271807003.0
168346,593,21003300,contraindication,Hypoxia,C0242184,Hypoxia,T046,389086002.0
136471,192,21011858,off-label use,Cat bite - wound,C0561644,Cat bite - wound,T037,283782004.0
150865,158,21002195,contraindication,Hepatic coma,C0019147,Hepatic coma,T047,72836002.0
149730,2422,21000703,contraindication,Hypertriglyceridemia,C0020557,Hypertriglyceridemia,T033,302870006.0
173387,1127,21000672,indication,Rickets,C0035579,Rickets,T047,41345002.0
144884,618,21001572,contraindication,Conduction disorder of the heart,C0264886,Conduction disorder of the heart,T047,44808001.0
172098,1751,21000842,contraindication,Anemia,C0002871,Anemia,T047,271737000.0
144800,2279,21001469,contraindication,Disorder of coronary artery,C1956346,Disorder of coronary artery,T047,414024009.0
152702,1816,21001629,contraindication,Cerebrovascular accident,C0038454,Cerebrovascular accident,T047,230690007.0
142374,439,21003071,contraindication,Fever greater than 100.4 Fahrenheit,C1959900,Fever greater than 100.4 Fahrenheit,T033,426000000.0
141606,4261,21001640,contraindication,Arteriosclerosis obliterans,C0003851,Arteriosclerosis obliterans,T047,361133006.0
158586,875,21003452,contraindication,Breastfeeding (mother),C1623040,Breastfeeding (mother),T033,413712001.0
156789,4271,21004654,contraindication,Seizure due to Abrupt Benzodiazepine Withdrawal,,,,
134410,475,21000609,contraindication,Hyperparathyroidism,C0020502,Hyperparathyroidism,T047,66999008.0
151784,4510,21001204,contraindication,Ocular hypertension,C0028840,Ocular hypertension,T047,4210003.0
174355,93,21000967,indication,Anxiety,C0003467,Anxiety,T041,48694002.0
157528,404,21003302,contraindication,Central nervous system depression,C0151559,Central nervous system depression,T047,418072004.0
164878,1164,21004428,contraindication,Sepsis syndrome,C0242966,Sepsis syndrome,T047,238150007.0
156617,1024,21005429,indication,Seasonal allergic rhinitis,C0018621,Seasonal allergic rhinitis,T047,367498001.0
138816,3487,21001386,contraindication,Fungal ear infection,C0729545,Fungal ear infection,T047,312148000.0
161411,4459,21000252,indication,Primary genital syphilis,C0017418,Primary genital syphilis,T047,186847001.0
171477,770,21002048,contraindication,Gastrointestinal ulcer,C0237938,Gastrointestinal ulcer,T047,40845000.0
172217,4381,40249071,indication,Premature ejaculation,C0033038,Premature ejaculation,T048,44001008.0
140322,2377,21004065,off-label use,Paucibacillary leprosy,C1562908,Paucibacillary leprosy,T047,416483009.0
172911,4334,21002508,indication,Menopausal flushing,C0600142,Menopausal flushing,T184,198436008.0
139847,1986,21001770,indication,Allergic rhinitis,C2607914,Allergic rhinitis,T047,61582004.0
157856,2134,21001077,contraindication,Disorder of autonomic nervous system,C1145628,Disorder of autonomic nervous system,T047,15241006.0
151005,4348,21000404,contraindication,Sarcoidosis,C0036202,Sarcoidosis,T047,31541009.0
155395,349,21000635,indication,Severe adrenal insufficiency,C0151467,Severe adrenal insufficiency,T047,24867002.0
166070,659,21001368,indication,Otitis externa,C0029878,Otitis externa,T047,3135009.0
133535,1797,21001432,indication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0
153957,1356,21002202,contraindication,Disease of liver,C0023895,Disease of liver,T047,235856003.0
139528,1982,21000624,contraindication,Syndrome of inappropriate vasopressin secretion,C0021141,Syndrome of inappropriate vasopressin secretion,T046,55004003.0
140053,2336,21002202,contraindication,Disease of liver,C0023895,Disease of liver,T047,235856003.0
162999,1140,21001101,indication,Simple partial seizure,C0234974,Simple partial seizure,T047,117891000119100.0
136860,2067,21001406,contraindication,Hearing loss,C1384666,Hearing loss,T033,15188001.0
147144,1264,21003081,off-label use,Acute postoperative pain,C2215257,Acute postoperative pain,T184,107401000119105.0
135335,1996,21003292,contraindication,Liver function tests abnormal,C0151766,Liver function tests abnormal,T033,166603001.0
140232,144,21001058,indication,Arteriosclerotic Parkinsonism,,,,
147631,1500,21001990,contraindication,Achalasia of esophagus,C0014848,Achalasia of esophagus,T047,45564002.0
142051,2245,21002691,indication,Pruritus of genital organs,C0033777,Pruritus of genital organs,T184,267802000.0
143409,633,21001860,indication,Asthma,C0004096,Asthma,T047,195967001.0
164261,542,21000082,indication,Streptococcus pyogenes infection,C0554628,Streptococcus pyogenes infection,T047,302809008.0
157649,4265,21002793,indication,Pseudomonas Aeruginosa Joint Infection,,,,
156805,4348,21003351,contraindication,Poisoning by digitalis glycoside,C0274726,Poisoning by digitalis glycoside,T037,12876009.0
175821,4310,40249847,indication,Idiopathic generalized epilepsy,C0270850,Idiopathic generalized epilepsy,T047,36803009.0
165853,1768,21002084,indication,Crohn's disease,C0010346,Crohn's disease,T047,34000006.0
155446,3667,21000756,contraindication,Hypokalemia,C0020621,Hypokalemia,T033,43339004.0
154194,1240,21003452,contraindication,Breastfeeding (mother),C1623040,Breastfeeding (mother),T033,413712001.0
136069,2534,21002292,contraindication,Kidney disease,C0022658,Kidney disease,T047,90708001.0
140773,2152,21000897,contraindication,Neutropenic disorder,C0027947,Neutropenic disorder,T047,303011007.0
166932,4261,21002202,contraindication,Disease of liver,C0023895,Disease of liver,T047,235856003.0
150723,1779,21001860,contraindication,Asthma,C0004096,Asthma,T047,195967001.0
167059,4337,21000842,contraindication,Anemia,C0002871,Anemia,T047,271737000.0
161515,2041,21001768,indication,Sinusitis,C0037199,Sinusitis,T047,36971009.0
167144,4647,21000179,contraindication,Herpes simplex dendritic keratitis,C0022570,Herpes simplex dendritic keratitis,T047,29943008.0
134799,2811,21002180,contraindication,Cirrhosis of liver,C0023890,Cirrhosis of liver,T047,19943007.0
136515,4206,21000404,contraindication,Sarcoidosis,C0036202,Sarcoidosis,T047,31541009.0
164532,2798,21000165,indication,Varicella,C0008049,Varicella,T047,38907003.0
172455,2128,21001770,indication,Allergic rhinitis,C2607914,Allergic rhinitis,T047,61582004.0
171085,4127,21001206,off-label use,Angle-closure glaucoma,C0017605,Angle-closure glaucoma,T047,392291006.0
153396,576,21002597,indication,Infection due to Staphylococcus aureus,C1318973,Infection due to Staphylococcus aureus,T047,406602003.0
160678,2331,21002310,contraindication,Bladder outflow obstruction,C0403654,Bladder outflow obstruction,T020,236645006.0
137205,3333,21000624,off-label use,Syndrome of inappropriate vasopressin secretion,C0021141,Syndrome of inappropriate vasopressin secretion,T046,55004003.0
140406,349,21000042,contraindication,Inactive tuberculosis,C0275966,Inactive tuberculosis,T047,11999007.0
154593,1981,21001802,indication,Haemophilus Parainfluenzae Pneumonia,,,,
142233,594,21001002,contraindication,Alcohol intoxication,C0001969,Alcohol intoxication,T048,25702006.0
137269,1028,21002196,contraindication,Hepatic failure,C0085605,Hepatic failure,T047,59927004.0
159425,2073,21000842,contraindication,Anemia,C0002871,Anemia,T047,271737000.0
136232,2666,21000679,contraindication,Vitamin D deficiency,C0042870,Vitamin D deficiency,T047,34713006.0
136876,2187,21002347,indication,Enterococcus Complicated UTI,,,,
166676,4523,21000237,contraindication,Black water fever,C0005681,Black water fever,T047,56625005.0
142506,874,21001105,contraindication,Epilepsy,C0014544,Epilepsy,T047,84757009.0
135470,4253,21001158,contraindication,"Congenital myotonia, autosomal dominant form",C2936781,"Congenital myotonia, autosomal dominant form",T047,57938005.0
137957,1388,21001374,off-label use,Otitis Externa Eczema,,,,
169970,1704,21001053,contraindication,Reye's syndrome,C0035400,Reye's syndrome,T047,74351001.0
160726,1790,21002894,indication,Infection of bone,C2242472,Infection of bone,T047,111253001.0
139308,2245,21009332,contraindication,Exposure to varicella,C2732622,Exposure to varicella,T037,444453009.0
170680,4411,21001130,contraindication,Brain damage,C0270611,Brain damage,T037,2470005.0
134599,2356,21001433,off-label use,Hypertension due to Scleroderma,,,,
164024,1967,21000267,indication,Acute gonococcal cervicitis,C0153195,Acute gonococcal cervicitis,T047,20943002.0
160031,2048,21000422,contraindication,Thyroid Surgery,,,,
138611,962,21001447,contraindication,Myocardial infarction,C0027051,Myocardial infarction,T047,22298006.0
