id,struct_id,concept_id,relationship_name,concept_name,umls_cui,snomed_full_name,cui_semantic_type,snomed_conceptid,doid
138800,995,21004118,contraindication,Coronary artery spasm,C0010073,Coronary artery spasm,T047,23687008.0,DOID:11840
170117,2105,21003452,contraindication,Breastfeeding (mother),C1623040,Breastfeeding (mother),T033,413712001.0,
169084,886,21001447,contraindication,Myocardial infarction,C0027051,Myocardial infarction,T047,22298006.0,DOID:5844
145731,2253,21013454,contraindication,Pathological fracture,C0016663,Pathological fracture,T046,268029009.0,
140442,2552,21000824,contraindication,Constitutional aplastic anemia,C0702159,Constitutional aplastic anemia,T047,28975000.0,DOID:1342
144042,2803,21000985,contraindication,Suicidal thoughts,C0424000,Suicidal thoughts,T033,6471006.0,
141474,4433,21002259,contraindication,End stage renal disease,C0022661,End stage renal disease,T047,46177005.0,DOID:784
169254,1087,21000908,contraindication,Disease of blood AND/OR blood-forming organ,C0018939,Disease of blood AND/OR blood-forming organ,T047,191124002.0,DOID:74
149685,824,21006272,contraindication,Measles,C0025007,Measles,T047,14189004.0,DOID:8622
152289,2661,21002623,indication,Complicated Skin and Skin Structure Infection,,,,,
132516,5174,21001319,indication,Tear film insufficiency,C0013238,Tear film insufficiency,T047,46152009.0,
156687,180,21002865,off-label use,Fibromyalgia,C0016053,Fibromyalgia,T047,203082005.0,DOID:631
164186,2148,21003253,contraindication,Retention of urine,C0080274,Retention of urine,T033,267064002.0,
169163,2391,21001473,contraindication,Myocardial ischemia,C0151744,Myocardial ischemia,T047,414795007.0,DOID:3393
164680,2699,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004.0,DOID:7148
154685,2029,21001005,contraindication,Substance abuse,C0740858,Substance abuse,T048,66214007.0,
173253,296,21000533,indication,Malignant tumor of ovary,C1140680,Malignant tumor of ovary,T191,363443007.0,DOID:2394
158532,494,21001471,contraindication,Coronary arteriosclerosis,C0010054,Coronary arteriosclerosis,T047,53741008.0,DOID:3393
145013,1230,21001105,contraindication,Epilepsy,C0014544,Epilepsy,T047,84757009.0,DOID:1826
148717,982,21001105,contraindication,Epilepsy,C0014544,Epilepsy,T047,84757009.0,DOID:1826
135848,2134,21000985,contraindication,Suicidal thoughts,C0424000,Suicidal thoughts,T033,6471006.0,
152681,4253,21004731,contraindication,Eye infection,C0015403,Eye infection,T047,128351009.0,
151956,2149,21001005,contraindication,Substance abuse,C0740858,Substance abuse,T048,66214007.0,
167705,711,21002202,contraindication,Disease of liver,C0023895,Disease of liver,T047,235856003.0,DOID:409
149933,2806,21000733,contraindication,Hypercalcemia,C0020437,Hypercalcemia,T047,66931009.0,DOID:12678
171606,1711,21000463,contraindication,Bone Metastases,,,,,
149110,669,21002454,indication,Klebsiella Endometritis,,,,,
159681,1963,21001686,contraindication,Deep venous thrombosis,C0149871,Deep venous thrombosis,T047,128053003.0,
171645,4201,21000753,indication,Hyperkalemia,C0020461,Hyperkalemia,T033,14140009.0,
152695,1790,21002884,indication,Bacteroides Osteomyelitis,,,,,
146260,1225,21000039,contraindication,Acute tuberculosis,C0275959,Acute tuberculosis,T047,25629007.0,
170287,2481,21000038,indication,Pulmonary tuberculosis,C0041327,Pulmonary tuberculosis,T047,154283005.0,DOID:2957
153916,867,21001714,contraindication,Bleeding,C0019080,Bleeding,T046,131148009.0,
171224,2446,21013422,contraindication,Interstitial lung disease,C0206062,Interstitial lung disease,T047,233703007.0,DOID:3082
144783,509,21001109,contraindication,Lowered convulsive threshold,C0234976,Lowered convulsive threshold,T033,19260006.0,
163307,878,21002091,contraindication,Toxic megacolon,C0025162,Toxic megacolon,T047,28536002.0,DOID:1770
144853,3487,21000178,contraindication,Ophthalmic herpes simplex,C0019357,Ophthalmic herpes simplex,T047,186542001.0,
171500,1375,21000595,contraindication,Diabetes mellitus type 1,C0011854,Diabetes mellitus type 1,T047,46635009.0,DOID:9744
170593,1236,21001686,indication,Deep venous thrombosis,C0149871,Deep venous thrombosis,T047,128053003.0,
137350,2755,21013495,off-label use,Toxoplasmosis associated with acquired immunodeficiency syndrome,C1720498,Toxoplasmosis associated with acquired immunodeficiency syndrome,T047,421666009.0,
174219,5393,40249449,indication,Metastasis from malignant tumor of thyroid,C1282509,Metastasis from malignant tumor of thyroid,T191,315007008.0,
145465,4487,21001933,contraindication,Operation on gastrointestinal tract,C0399610,Operation on gastrointestinal tract,T061,386621005.0,
134771,2279,21002508,indication,Menopausal flushing,C0600142,Menopausal flushing,T184,198436008.0,
147849,1336,21003053,contraindication,Seizure disorder,C0014544,Seizure disorder,T047,128613002.0,
165334,119,21000701,contraindication,Hypercholesterolemia,C0020443,Hypercholesterolemia,T047,13644009.0,
153168,2274,21001966,contraindication,Disturbance of salivary secretion,C0012765,Disturbance of salivary secretion,T046,78948009.0,
138689,2446,21000413,contraindication,Acute infectious disease,C0275518,Acute infectious disease,T047,63171007.0,
136123,669,21002301,indication,Klebsiella cystitis,C0520775,Klebsiella cystitis,T047,60867007.0,
167131,1279,21011261,indication,Prevention of Luteinizing Hormone Surge when undergoing Controlled Ovarian Hyperstimulation,,,,,
154038,3142,21000047,contraindication,Tuberculosis of eye,C0041322,Tuberculosis of eye,T047,49107007.0,
160670,2276,21002104,contraindication,Paralytic ileus,C0030446,Paralytic ileus,T047,55525008.0,DOID:8442
175571,5718,40249770,indication,Alpha-mannosidosis,C0024748,Mannosidosis,T047,65524005.0,
135715,865,21001447,contraindication,Myocardial infarction,C0027051,Myocardial infarction,T047,22298006.0,DOID:5844
169248,2620,21001868,indication,Acute exacerbation of asthma,C0347950,Acute exacerbation of asthma,T047,708038006.0,
139427,4522,21002114,contraindication,Constipation,C0009806,Constipation,T184,14760008.0,DOID:2089
158305,691,21000154,contraindication,Bacterial infectious disease,C0004623,Bacterial infectious disease,T047,87628006.0,
146003,3356,21000775,contraindication,Hepatic porphyria,C0162533,Hepatic porphyria,T047,55056006.0,DOID:3133
152000,3135,21001432,contraindication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0,DOID:10763
133916,1028,21003376,indication,Anaphylaxis,C0002792,Anaphylaxis,T046,39579001.0,
161475,1379,21001935,indication,Incomplete passage of stool,C0426639,Incomplete passage of stool,T184,249515001.0,
145972,859,21001149,contraindication,Myasthenia gravis,C0026896,Myasthenia gravis,T047,91637004.0,DOID:437
148285,158,21002775,contraindication,Systemic lupus erythematosus,C0024141,Systemic lupus erythematosus,T047,55464009.0,DOID:9074
146108,1690,21003053,contraindication,Seizure disorder,C0014544,Seizure disorder,T047,128613002.0,
166639,616,21003253,contraindication,Retention of urine,C0080274,Retention of urine,T033,267064002.0,
172341,2316,21003003,indication,Diagnostic Test for Thyroid Dysfunction,,,,,
138920,1582,21002196,contraindication,Hepatic failure,C0085605,Hepatic failure,T047,59927004.0,
