id,struct_id,pka_level,value,pka_type
8077,4913,pKa1,4.23,a
148,96,pKa3,7.19,b
6365,3572,pKa1,8.05,a
7964,4858,pKa30,10.93,b
5754,3165,pKa2,9.43,a
6124,3416,pKa1,10.0,b
1433,799,pKa2,11.02,a
8637,5274,pKa2,12.47,a
6961,4164,pKa20,13.56,a
2699,1517,pKa1,3.56,b
2053,1149,pKa1,9.01,b
3962,2214,pKa3,13.99,a
5324,2876,pKa1,1.37,b
8685,5294,pKa8,8.88,b
6806,4072,pKa2,9.62,a
4601,2520,pKa3,0.73,b
4064,2267,pKa1,13.99,a
5054,2733,pKa1,7.05,a
5019,2708,pKa2,6.98,b
7179,4340,pKa1,9.4,b
2948,1640,pKa1,12.93,a
3634,2025,pKa2,3.55,b
3650,2037,pKa1,10.07,a
2935,1633,pKa2,12.73,a
1588,889,pKa2,8.86,b
7225,4380,pKa2,9.33,b
3418,1902,pKa1,5.7,b
1716,976,pKa3,1.66,b
3383,1896,pKa7,6.59,b
4426,2441,pKa2,7.72,b
3804,2124,pKa1,2.79,a
643,385,pKa4,4.04,a
3601,2002,pKa1,3.67,a
7427,4514,pKa28,10.81,b
6766,4006,pKa1,2.23,a
5865,3249,pKa2,7.44,a
7551,4622,pKa12,13.98,a
6909,4141,pKa5,2.65,b
2902,1617,pKa1,12.94,a
2731,1532,pKa1,2.23,b
7747,4741,pKa2,8.89,b
2561,1438,pKa1,11.87,a
7604,4655,pKa2,7.78,b
6232,3487,pKa1,7.65,b
7769,4803,pKa1,8.78,b
7043,4213,pKa1,12.94,a
2419,1353,pKa1,8.36,b
4537,2498,pKa1,6.14,a
5713,3133,pKa6,6.87,b
7263,4411,pKa1,9.47,b
3485,1928,pKa3,2.04,b
7274,4419,pKa6,0.47,b
2802,1567,pKa4,10.01,b
1511,846,pKa2,6.63,a
2022,1123,pKa29,10.31,b
5482,2989,pKa17,13.68,a
2571,1444,pKa1,13.21,a
4237,2368,pKa3,12.44,a
1822,1010,pKa33,13.78,a
4707,2561,pKa1,8.61,b
8405,5198,pKa3,4.37,a
2616,1468,pKa1,11.84,a
1133,629,pKa2,9.15,a
1455,813,pKa1,13.68,a
3482,1927,pKa2,0.0,b
3285,1847,pKa2,8.63,b
7792,4815,pKa1,3.15,a
6240,3496,pKa2,2.55,b
6769,4006,pKa4,9.51,b
1436,800,pKa2,2.23,b
8010,4888,pKa1,8.7,a
8714,5303,pKa2,13.41,a
7099,4268,pKa2,10.76,a
6591,3773,pKa2,11.56,a
5399,2960,pKa7,13.64,a
7926,4836,pKa7,13.52,a
2707,1519,pKa5,6.99,b
8063,4908,pKa2,9.82,a
7490,4580,pKa2,12.34,a
3330,1869,pKa1,2.76,a
8365,5194,pKa3,8.86,b
4138,2318,pKa4,8.15,b
8550,5251,pKa2,2.61,b
1099,611,pKa2,2.74,b
2211,1239,pKa1,9.23,a
6781,4050,pKa3,5.16,a
1123,624,pKa6,13.29,a
5951,3300,pKa4,4.31,b
8429,5202,pKa1,6.49,a
7486,4574,pKa1,8.86,a
2810,1574,pKa1,10.05,a
6997,4175,pKa3,3.79,b
7826,4815,pKa35,10.45,b
3212,1811,pKa3,6.51,b
398,232,pKa1,8.05,a
7575,4639,pKa1,1.28,a
8386,5195,pKa21,13.52,a
5449,2975,pKa2,11.9,a
4469,2467,pKa1,9.96,b
3189,1800,pKa1,6.49,b
5856,3245,pKa1,11.02,a
8413,5198,pKa11,13.19,a
2297,1297,pKa1,13.75,a
7359,4466,pKa1,5.82,a
8726,5306,pKa3,5.0,b
7026,4187,pKa1,9.74,b
4291,2386,pKa3,1.22,b
8105,4927,pKa9,12.57,a
4741,2580,pKa6,11.33,a
7521,4611,pKa1,4.76,a
1178,656,pKa2,1.2,b
6281,3522,pKa1,11.51,a
2875,1603,pKa1,2.14,a
3709,2063,pKa1,4.39,a
344,198,pKa1,2.79,a
8747,5328,pKa2,13.49,a
551,316,pKa2,8.99,a
1448,808,pKa1,9.86,b
8802,5352,pKa4,9.6,a
5945,3296,pKa1,8.7,b
230,139,pKa10,13.83,a
2667,1487,pKa1,8.56,b
7323,4429,pKa9,12.76,a
5339,2878,pKa13,13.6,a
4497,2481,pKa2,12.62,a
2120,1190,pKa1,2.47,b
6730,3956,pKa4,13.7,a
4208,2354,pKa2,9.56,a
4289,2386,pKa1,8.91,a
5770,3178,pKa1,4.89,a
5179,2807,pKa10,13.2,a
5711,3133,pKa4,11.91,b
864,515,pKa4,12.0,a
221,139,pKa1,3.97,a
6718,3931,pKa1,12.91,a
7893,4831,pKa2,3.16,a
6023,3336,pKa2,1.28,b
8200,5005,pKa2,7.19,b
2386,1328,pKa3,7.29,a
2897,1614,pKa1,4.19,a
1226,679,pKa3,7.52,b
3805,2125,pKa1,11.89,a
3199,1803,pKa3,8.39,b
5803,3201,pKa3,9.94,b
6835,4116,pKa1,1.06,a
2253,1261,pKa1,4.75,a
6169,3456,pKa2,1.73,b
1650,937,pKa4,9.03,b
4178,2340,pKa2,5.72,b
289,165,pKa3,2.76,b
2246,1256,pKa1,5.83,b
7142,4319,pKa3,12.81,a
7024,4186,pKa5,10.16,b
90,66,pKa3,12.92,a
2618,1469,pKa2,13.94,a
5585,3045,pKa2,9.04,b
5515,2994,pKa24,13.74,a
332,192,pKa3,7.63,b
3586,1993,pKa1,8.21,b
6618,3802,pKa1,7.03,a
4039,2248,pKa1,12.49,a
