id,ndc_product_code,form,generic_name,product_name,route,marketing_status,active_ingredient_count
3061816,47682-932,OINTMENT,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate",Medi-First Plus Triple Antibiotic,TOPICAL,OTC monograph final,3
3057117,71205-584,TABLET,PHENAZOPYRIDINE HYDROCHLORIDE,Good Neighbor Pharmacy Urinary Pain Relief,ORAL,Unapproved drug other,1
2961032,68071-3062,TABLET,Phendimetrazine Tartrate,Phendimetrazine Tartrate,ORAL,ANDA,1
2987764,52817-346,"TABLET, EXTENDED RELEASE",bupropion hydrochloride,buPROpion HydrochlorideXL,ORAL,ANDA,1
2950016,50090-4920,"INJECTION, SOLUTION",Testosterone Cypionate,Testosterone Cypionate,INTRAMUSCULAR,ANDA,1
3028158,13630-0043,SPRAY,"Avobenzone, Octisalate, and Octocrylene",UltaSPF 15,TOPICAL,OTC monograph final,3
2940128,0615-8121,TABLET,Sulfamethoxazole and Trimethoprim,Sulfamethoxazole and Trimethoprim,ORAL,ANDA,2
2948302,0615-8326,"TABLET, DELAYED RELEASE",Divalproex Sodium,Divalproex Sodium,ORAL,ANDA,1
2971480,16110-246,"TABLET, COATED",sarecycline hydrochloride,Seysara,ORAL,NDA,1
3000722,13668-720,TABLET,Rosuvastatin Calcium,Rosuvastatin Calcium,ORAL,ANDA,1
3015786,0132-0214,"CAPSULE, GELATIN COATED",Simethicone,PHAZYME,ORAL,OTC MONOGRAPH FINAL,1
2948900,0904-6538,TABLET,"Butalbital, Acetaminophen and Caffeine","Butalbital, Acetaminophen and Caffeine",ORAL,ANDA,3
3027743,72982-1901,CREAM,"methyl salicylate, menthol, camphor, capsaicin cream",Pain Relief Cream Extra Strength,TOPICAL,OTC monograph not final,4
2939245,43538-300,OINTMENT,mupirocin,CENTANY,TOPICAL,NDA,1
2962604,50090-1648,TABLET,ciprofloxacin,ciprofloxacin,ORAL,ANDA,1
3075990,81555-301,SHAMPOO,Salicylic Acid,Confiche Anti-Hair LossShampoo,TOPICAL,unapproved drug other,1
2986573,0085-1417,CAPSULE,Temozolomide,TEMODAR,ORAL,NDA,1
3057518,0363-5523,PATCH,Ultra Thin Corn Removers,Salicylic Acid,TOPICAL,OTC monograph final,1
3002221,50607-5700,CREAM,First aid and Burn,First aid and Burn,TOPICAL,OTC monograph final,2
