id,property_type_id,property_type_symbol,struct_id,value,reference_id,reference_type,source
4115,1,BA,1999,90.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
409,4,EoM,583,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
370,2,BDDCS,559,4.0,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
4709,3,CL,156,30.65,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7577,3,CL,3574,10.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7718,3,CL,4167,1.53,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8796,2,BDDCS,2300,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
8155,9,S,284,87.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
6497,8,Vd,1903,0.073,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4897,8,Vd,385,0.27,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3450,2,BDDCS,3072,3.0,2899,JOURNAL ARTICLE,hosey2016_mapping.tsv
1980,2,BDDCS,2708,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7666,5,fu,4118,0.01,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8014,8,Vd,4903,15.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2884,7,MRTD,1822,0.2272355407,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
6588,5,fu,1990,0.05,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5298,8,Vd,758,0.73,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4141,1,BA,2078,93.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
687,2,BDDCS,926,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3261,7,MRTD,3880,0.2254920006,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
5616,6,t_half,1043,2.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7266,3,CL,2706,0.27,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5716,8,Vd,1176,6.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1099,4,EoM,1524,0.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4835,5,fu,279,0.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6618,3,CL,2029,6.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2057,4,EoM,2808,92.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
738,9,S,1003,112.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6670,5,fu,2079,0.84,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7212,5,fu,2663,0.21,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1086,4,EoM,1511,0.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6534,3,CL,1945,0.86,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8105,6,t_half,5253,1.34,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
611,2,BDDCS,816,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
93,4,EoM,163,65.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1988,2,BDDCS,2712,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1074,2,BDDCS,1497,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
345,2,BDDCS,541,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2429,7,MRTD,529,30.88739967,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
869,4,EoM,1188,99.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
