id,pmid,doi,document_id,type,authors,title,isbn10,url,journal,volume,issue,dp_year,pages
3045,33058042.0,10.1007/s40265-020-01418-5,,JOURNAL ARTICLE,Al-Salama ZT,Imlifidase: first approval,,,Drugs,80,17,2020.0,1859-1864
627,,,EMEA/H/C/003995,DRUG LABEL,,,,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/003995/WC500217100.pdf,,,,2016.0,
593,,,BLA:761034,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/761034s000lbl.pdf,,,,2016.0,
3241,,,NDA:215310,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/215310s000lbl.pdf,,,,2021.0,
165,,,BLA:103764,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2001/basnova032301LB.pdf,,,,2001.0,
3528,29302194.0,10.2147/JEP.S146034,,JOURNAL ARTICLE,"Jamil K, Pappas SC, Devarakonda KR",In vitro binding and receptor-mediated activity of terlipressin at vasopressin receptors V1 and V2,,,J Exp Pharmacol,10,,2018.0,1-7
3662,,,NDA:214373,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214373s000lbl.pdf,,,,2023.0,
567,1278093.0,,,JOURNAL ARTICLE,Taurog A,The mechanism of action of the thioureylene antithyroid drugs.,,,Endocrinology,98,4,1976.0,1031-46
87,12388666.0,10.1124/jpet.102.039867,,JOURNAL ARTICLE,,Differential actions of antiparkinson agents at multiple classes of monoaminergic receptor. I. A multivariate analysis of the binding profiles of 14 drugs at 21 native and cloned human receptor subtypes.,,,J Pharmacol Exp Ther,,,2002.0,
97,23393163.0,10.1124/mol.112.081935,,JOURNAL ARTICLE,,Vesnarinone suppresses TNFalpha mRNA expression by inhibiting valosin-containing protein,,,Mol Pharmacol,83,5,2013.0,
2751,32149769.0,10.1097/CM9.0000000000000797,,JOURNAL ARTICLE,"Fan HH, Wang LQ, Liu WL, An XP, Liu ZD, He XQ, Song LH, Tong YG",Repurposing of clinically approved drugs for treatment of coronavirus disease 2019 in a 2019-novel coronavirus (2019-nCoV) related coronavirus model,,,Chin Med J,,,2020.0,
3249,,,BLA:761177,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/761177Orig1s000lbl.pdf,,,,2021.0,
2742,,,NDA:212273,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212273s000lbl.pdf,,,,2019.0,
