id,text,label_id,code,title
28030495,"8 USE IN SPECIFIC POPULATIONS. Pregnancy: Divalproex sodium extended-release tablets can cause congenital malformations including neural tube defects and decreased IQ. 5.2, 5.3, 8.1) Pediatric: Children under the age of two years are at considerably higher risk of fatal hepatotoxicity 5.1, 8.4) Geriatric: Reduce starting dose; increase dosage more slowly; monitor fluid and nutritional intake, and somnolence 5.14, 8.5) Pregnancy: Divalproex sodium extended-release tablets can cause congenital malformations including neural tube defects and decreased IQ. 5.2, 5.3, 8.1) Pediatric: Children under the age of two years are at considerably higher risk of fatal hepatotoxicity 5.1, 8.4) Geriatric: Reduce starting dose; increase dosage more slowly; monitor fluid and nutritional intake, and somnolence 5.14, 8.5) 8.1 Pregnancy. Pregnancy Category for epilepsy and for manic episodes associated with bipolar disorder [see Warnings and Precautions 5.2, 5.3) ]. Pregnancy Category for prophylaxis of migraine headaches [see CONTRAINDICATIONS 4) ].Pregnancy RegistryTo collect information on the effects of in utero exposure to divalproex sodium delayed-release tablets, physicians should encourage pregnant patients taking divalproex sodium delayed-release tablets to enroll in the North American Antiepileptic Drug (NAAED) Pregnancy Registry. This can be done by calling toll free 1-888-233-2334, and must be done by the patients themselves. Information on the registry can be found at the website, http://www.aedpregnancyregistry.org/. Fetal Risk SummaryAll pregnancies have background risk of birth defects (about 3%), pregnancy loss (about 15%), or other adverse outcomes regardless of drug exposure. Maternal valproate use during pregnancy for any indication increases the risk of congenital malformations, particularly neural tube defects, but also malformations involving other body systems (e.g., craniofacial defects, cardiovascular malformations, hypospadias, limb malformations). The risk of major structural abnormalities is greatest during the first trimester; however, other serious developmental effects can occur with valproate use throughout pregnancy. The rate of congenital malformations among babies born to epileptic mothers who used valproate during pregnancy has been shown to be about four times higher than the rate among babies born to epileptic mothers who used other anti-seizure monotherapies [see Warnings and Precautions 5.3) ]. Several published epidemiological studies have indicated that children exposed to valproate in utero have lower IQ scores than children exposed to either another antiepileptic drug in utero or to no antiepileptic drugs in utero [see Warnings and Precautions 5.3) ]. An observational study has suggested that exposure to valproate products during pregnancy may increase the risk of autism spectrum disorders. In this study, children born to mothers who had used valproate products during pregnancy had 2.9 times the risk (95% confidence interval [CI]: 1.7 to 4.9) of developing autism spectrum disorders compared to children born to mothers not exposed to valproate products during pregnancy. The absolute risks for autism spectrum disorders were 4.4% (95% CI: 2.6% to 7.5%) in valproate-exposed children and 1.5% (95% CI: 1.5% to 1.6%) in children not exposed to valproate products. Because the study was observational in nature, conclusions regarding causal association between in utero valproate exposure and an increased risk of autism spectrum disorder cannot be considered definitive. In animal studies, offspring with prenatal exposure to valproate had structural malformations similar to those seen in humans and demonstrated neurobehavioral deficits.Clinical ConsiderationsNeural tube defects are the congenital malformation most strongly associated with maternal valproate use. The risk of spina bifida following in utero valproate exposure is generally estimated as to 2%, compared to an estimated general population risk for spina bifida of about 0.06 to 0.07% (6 to in 10,000 births). Valproate can cause decreased IQ scores in children whose mothers were treated with valproate during pregnancy. Because of the risks of decreased IQ, neural tube defects, and other fetal adverse events, which may occur very early in pregnancy: Valproate should not be administered to woman of childbearing potential unless the drug is essential to the management of her medical condition. This is especially important when valproate use is considered for condition not usually associated with permanent injury or death (e.g., migraine). Valproate is contraindicated during pregnancy in women being treated for prophylaxis of migraine headaches. Valproate should not be used to treat women with epilepsy or bipolar disorder who are pregnant or who plan to become pregnant unless other treatments have failed to provide adequate symptom control or are otherwise unacceptable. In such women, the benefits of treatment with valproate during pregnancy may still outweigh the risks. When treating pregnant woman or woman of childbearing potential, carefully consider both the potential risks and benefits of treatment and provide appropriate counseling. To prevent major seizures, women with epilepsy should not discontinue valproate abruptly, as this can precipitate status epilepticus with resulting maternal and fetal hypoxia and threat to life. Even minor seizures may pose some hazard to the developing embryo or fetus. However, discontinuation of the drug may be considered prior to and during pregnancy in individual cases if the seizure disorder severity and frequency do not pose serious threat to the patient. Available prenatal diagnostic testing to detect neural tube and other defects should be offered to pregnant women using valproate. Evidence suggests that folic acid supplementation prior to conception and during the first trimester of pregnancy decreases the risk for congenital neural tube defects in the general population. It is not known whether the risk of neural tube defects or decreased IQ in the offspring of women receiving valproate is reduced by folic acid supplementation. Dietary folic acid supplementation both prior to conception and during pregnancy should be routinely recommended for patients using valproate. Pregnant women taking valproate may develop clotting abnormalities including thrombocytopenia, hypofibrinogenemia, and/or decrease in other coagulation factors, which may result in hemorrhagic complications in the neonate including death [see Warnings and Precautions 5.8) ]. If valproate is used in pregnancy, the clotting parameters should be monitored carefully in the mother. If abnormal in the mother, then these parameters should also be monitored in the neonate. Patients taking valproate may develop hepatic failure [see BOXED WARNING and Warnings and Precautions 5.1) ]. Fatal cases of hepatic failure in infants exposed to valproate in utero have also been reported following maternal use of valproate during pregnancy. Hypoglycemia has been reported in neonates whose mothers have taken valproate during pregnancy. DataHumanThere is an extensive body of evidence demonstrating that exposure to valproate in utero increases the risk of neural tube defects and other structural abnormalities. Based on published data from the CDCs National Birth Defects Prevention Network, the risk of spina bifida in the general population is about 0.06 to 0.07%. The risk of spina bifida following in utero valproate exposure has been estimated to be approximately to 2%. The NAAED Pregnancy Registry has reported major malformation rate of to 11% in the offspring of women exposed to an average of 1,000 mg/day of valproate monotherapy during pregnancy. These data show up to five-fold increased risk for any major malformation following valproate exposure in utero compared to the risk following exposure in utero to other antiepileptic drugs taken in monotherapy. The major congenital malformations included cases of neural tube defects, cardiovascular malformations, craniofacial defects (e.g., oral clefts, craniosynostosis), hypospadias, limb malformations (e.g., clubfoot, polydactyly), and malformations of varying severity involving other body systems. Published epidemiological studies have indicated that children exposed to valproate in utero have lower IQ scores than children exposed to either another antiepileptic drug in utero or to no antiepileptic drugs in utero. The largest of these studies is prospective cohort study conducted in the United States and United Kingdom that found that children with prenatal exposure to valproate (n=62) had lower IQ scores at age (97 [95% C.I. 94 to 101]) than children with prenatal exposure to the other anti-epileptic drug monotherapy treatments evaluated: lamotrigine (108 [95% C.I. 105 to 110]), carbamazepine (105 [95% C.I. 102 to 108]) and phenytoin (108 [95% C.I. 104 to 112]). It is not known when during pregnancy cognitive effects in valproate-exposed children occur. Because the women in this study were exposed to antiepileptic drugs throughout pregnancy, whether the risk for decreased IQ was related to particular time period during pregnancy could not be assessed. Although all of the available studies have methodological limitations, the weight of the evidence supports causal association between valproate exposure in utero and subsequent adverse effects on cognitive development. There are published case reports of fatal hepatic failure in offspring of women who used valproate during pregnancy.AnimalIn developmental toxicity studies conducted in mice, rats, rabbits, and monkeys, increased rates of fetal structural abnormalities, intrauterine growth retardation, and embryo-fetal death occurred following treatment of pregnant animals with valproate during organogenesis at clinically relevant doses (calculated on body surface area basis). Valproate induced malformations of multiple organ systems, including skeletal, cardiac, and urogenital defects. In mice, in addition to other malformations, fetal neural tube defects have been reported following valproate administration during critical periods of organogenesis, and the teratogenic response correlated with peak maternal drug levels. Behavioral abnormalities (including cognitive, locomotor, and social interaction deficits) and brain histopathological changes have also been reported in mice and rat offspring exposed prenatally to clinically relevant doses of valproate.. Neural tube defects are the congenital malformation most strongly associated with maternal valproate use. The risk of spina bifida following in utero valproate exposure is generally estimated as to 2%, compared to an estimated general population risk for spina bifida of about 0.06 to 0.07% (6 to in 10,000 births). Valproate can cause decreased IQ scores in children whose mothers were treated with valproate during pregnancy. Because of the risks of decreased IQ, neural tube defects, and other fetal adverse events, which may occur very early in pregnancy: Valproate should not be administered to woman of childbearing potential unless the drug is essential to the management of her medical condition. This is especially important when valproate use is considered for condition not usually associated with permanent injury or death (e.g., migraine). Valproate is contraindicated during pregnancy in women being treated for prophylaxis of migraine headaches. Valproate should not be used to treat women with epilepsy or bipolar disorder who are pregnant or who plan to become pregnant unless other treatments have failed to provide adequate symptom control or are otherwise unacceptable. In such women, the benefits of treatment with valproate during pregnancy may still outweigh the risks. When treating pregnant woman or woman of childbearing potential, carefully consider both the potential risks and benefits of treatment and provide appropriate counseling. To prevent major seizures, women with epilepsy should not discontinue valproate abruptly, as this can precipitate status epilepticus with resulting maternal and fetal hypoxia and threat to life. Even minor seizures may pose some hazard to the developing embryo or fetus. However, discontinuation of the drug may be considered prior to and during pregnancy in individual cases if the seizure disorder severity and frequency do not pose serious threat to the patient. Available prenatal diagnostic testing to detect neural tube and other defects should be offered to pregnant women using valproate. Evidence suggests that folic acid supplementation prior to conception and during the first trimester of pregnancy decreases the risk for congenital neural tube defects in the general population. It is not known whether the risk of neural tube defects or decreased IQ in the offspring of women receiving valproate is reduced by folic acid supplementation. Dietary folic acid supplementation both prior to conception and during pregnancy should be routinely recommended for patients using valproate. Pregnant women taking valproate may develop clotting abnormalities including thrombocytopenia, hypofibrinogenemia, and/or decrease in other coagulation factors, which may result in hemorrhagic complications in the neonate including death [see Warnings and Precautions 5.8) ]. If valproate is used in pregnancy, the clotting parameters should be monitored carefully in the mother. If abnormal in the mother, then these parameters should also be monitored in the neonate. Patients taking valproate may develop hepatic failure [see BOXED WARNING and Warnings and Precautions 5.1) ]. Fatal cases of hepatic failure in infants exposed to valproate in utero have also been reported following maternal use of valproate during pregnancy. Hypoglycemia has been reported in neonates whose mothers have taken valproate during pregnancy. 8.3 Nursing Mothers. Valproate is excreted in human milk. Caution should be exercised when valproate is administered to nursing woman.. 8.4 Pediatric Use. Experience has indicated that pediatric patients under the age of two years are at considerably increased risk of developing fatal hepatotoxicity, especially those with the aforementioned conditions [see BOXED WARNING and Warnings and Precautions 5.1) ]. When valproate is used in this patient group, it should be used with extreme caution and as sole agent. The benefits of therapy should be weighed against the risks. Above the age of years, experience in epilepsy has indicated that the incidence of fatal hepatotoxicity decreases considerably in progressively older patient groups. Younger children, especially those receiving enzyme inducing drugs, will require larger maintenance doses to attain targeted total and unbound valproate concentrations. Pediatric patients (i.e., between months and 10 years) have 50% higher clearances expressed on weight (i.e., mL/min/kg) than do adults. Over the age of 10 years, children have pharmacokinetic parameters that approximate those of adults.The variability in free fraction limits the clinical usefulness of monitoring total serum valproic acid concentration. Interpretation of valproic acid concentrations in children should include consideration of factors that affect hepatic metabolism and protein binding.Pediatric Clinical TrialsDivalproex sodium delayed-release tablets were studied in seven pediatric clinical trials.Two of the pediatric studies were double-blinded placebo-controlled trials to evaluate the efficacy of divalproex sodium extended-release tablets for the indications of mania (150 patients aged 10 to 17 years, 76 of whom were on divalproex sodium extended-release tablets) and migraine (304 patients aged 12 to 17 years, 231 of whom were on divalproex sodium extended-release tablets). Efficacy was not established for either the treatment of migraine or the treatment of mania. The most common drug-related adverse reactions (reported >5% and twice the rate of placebo) reported in the controlled pediatric mania study were nausea, upper abdominal pain, somnolence, increased ammonia, gastritis and rash.The remaining five trials were long term safety studies. Two six-month pediatric studies were conducted to evaluate the long-term safety of divalproex sodium extended-release tablets for the indication of mania (292 patients aged 10 to 17 years). Two twelve-month pediatric studies were conducted to evaluate the long-term safety of divalproex sodium extended-release tablets for the indication of migraine (353 patients aged 12 to 17 years). One twelve-month study was conducted to evaluate the safety of divalproex sodium delayed-release sprinkle capsules in the indication of partial seizures (169 patients aged to 10 years).In these seven clinical trials, the safety and tolerability of divalproex sodium delayed-release tablets in pediatric patients were shown to be comparable to those in adults [see ADVERSE REACTIONS 6) ]. Juvenile Animal ToxicologyIn studies of valproate in immature animals, toxic effects not observed in adult animals included retinal dysplasia in rats treated during the neonatal period (from postnatal day 4) and nephrotoxicity in rats treated during the neonatal and juvenile (from postnatal day 14) periods. The no-effect dose for these findings was less than the maximum recommended human dose on mg/m2 basis.. 8.5 Geriatric Use. No patients above the age of 65 years were enrolled in double-blind prospective clinical trials of mania associated with bipolar illness. In case review study of 583 patients, 72 patients (12%) were greater than 65 years of age. higher percentage of patients above 65 years of age reported accidental injury, infection, pain, somnolence, and tremor. Discontinuation of valproate was occasionally associated with the latter two events. It is not clear whether these events indicate additional risk or whether they result from preexisting medical illness and concomitant medication use among these patients.A study of elderly patients with dementia revealed drug related somnolence and discontinuation for somnolence [see Warnings and Precautions 5.14) ]. The starting dose should be reduced in these patients, and dosage reductions or discontinuation should be considered in patients with excessive somnolence [see Dosage and Administration 2.5) ]. There is insufficient information available to discern the safety and effectiveness of valproate for the prophylaxis of migraines in patients over 65.The capacity of elderly patients (age range: 68 to 89 years) to eliminate valproate has been shown to be reduced compared to younger adults (age range: 22 to 26 years) [see Clinical Pharmacology 12.3) ]. 8.6 Effect of Disease. Liver Disease[(see BOXED WARNING, CONTRAINDICATIONS (4), WARNINGS AND PRECAUTIONS 5) and Clinical Pharmacology 12.3) ]. Liver disease impairs the capacity to eliminate valproate.",5a04842a-c10a-83ac-e053-2991aa0a0a42,43684-0,USE IN SPECIFIC POPULATIONS SECTION
29050675,For external use only.When using this product: Keep out of eyes. Do not ingest.,4708c3ec-1a8e-4ffe-a2c1-bd3c2e8465fa,34071-1,WARNINGS SECTION
28789890,"9.1 Controlled Substance Hydromorphone hydrochloride suppositories contain hydromorphone, Schedule II controlled substance.",bec32a94-4b79-4bd4-b000-45e9030d3106,34085-1,CONTROLLED SUBSTANCE SECTION
28082816,"INDICATIONS AND USAGE. Edema. Furosemide tablets are indicated in adults and pediatric patients for the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and renal disease, including the nephrotic syndrome. Furosemide tablets are particularly useful when an agent with greater diuretic potential is desired.. Hypertension. Oral furosemide may be used in adults for the treatment of hypertension alone or in combination with other antihypertensive agents. Hypertensive patients who cannot be adequately controlled with thiazides will probably also not be adequately controlled with furosemide alone.",2e9928cb-0105-4552-9d41-260de8934a64,34067-9,INDICATIONS & USAGE SECTION
28169185,"Drug Interactions: When administered concomitantly with midodrine hydrochloride, cardiac glycosides may enhance or precipitate bradycardia, A.V. block or arrhythmia.The risk of hypertension increases with concomitant administration of drugs that increase blood pressure (phenylephrine, pseudoephedrine, ephedrine, dihydroergotamine, thyroid hormones, or droxidopa). Avoid concomitant use of drugs that increase blood pressure. If concomitant use cannot be avoided, monitor blood pressure closely.Avoid use of MAO inhibitors or linezolid with midodrine.Midodrine hydrochloride has been used in patients concomitantly treated with salt-retaining steroid therapy (i.e., fludrocortisone acetate), with or without salt supplementation. The potential for supine hypertension should be carefully monitored in these patients and may be minimized by either reducing the dose of fludrocortisone acetate or decreasing the salt intake prior to initiation of treatment with midodrine hydrochloride Alpha-adrenergic blocking agents, such as prazosin, terazosin, and doxazosin, can antagonize the effects of midodrine hydrochloride.",c41f7ec2-a3d7-4ff0-b51d-feda49717e7b,34073-7,DRUG INTERACTIONS SECTION
28343023,"CLINICAL PHARMACOLOGY. Mechanism of Action. Lidocaine hydrochloride stabilizes the neuronal membrane by inhibiting the ionic fluxes required for the initiation and conduction of impulses thereby effecting local anesthetic action.. Hemodynamics. Excessive blood levels may cause changes in cardiac output, total peripheral resistance, and mean arterial pressure. With central neural blockade these changes may be attributable to block of autonomic fibers, direct depressant effect of the local anesthetic agent on various components of the cardiovascular system, and/or the beta-adrenergic receptor stimulating action of epinephrine when present. The net effect is normally modest hypotension when the recommended dosages are not exceeded.. Pharmacokinetics and Metabolism. Information derived from diverse formulations, concentrations and usages reveals that lidocaine hydrochloride is completely absorbed following parenteral administration, its rate of absorption depending, for example, upon various factors such as the site of administration and the presence or absence of vasoconstrictor agent. Except for intravascular administration, the highest blood levels are obtained following intercostal nerve block and the lowest after subcutaneous administration. The plasma binding of lidocaine hydrochloride is dependent on drug concentration, and the fraction bound decreases with increasing concentration. At concentrations of to mcg of free base per mL 60 to 80 percent of lidocaine hydrochloride is protein bound. Binding is also dependent on the plasma concentration of the alpha-1-acid glycoprotein. Lidocaine hydrochloride crosses the blood-brain and placental barriers, presumably by passive diffusion. Lidocaine hydrochloride is metabolized rapidly by the liver, and metabolites and unchanged drug are excreted by the kidneys. Biotransformation includes oxidative N-dealkylation, ring hydroxylation, cleavage of the amide linkage, and conjugation. N-dealkylation, major pathway of biotransformation, yields the metabolites monoethylglycinexylidide and glycinexylidide. The pharmacological/toxicological actions of these metabolites are similar to, but less potent than, those of lidocaine hydrochloride. Approximately 90% of lidocaine hydrochloride administered is excreted in the form of various metabolites, and less than 10% is excreted unchanged. The primary metabolite in urine is conjugate of 4-hydroxy-2,6-dimethylaniline. The elimination half-life of lidocaine hydrochloride following an intravenous bolus injection is typically 1.5 to hours. Because of the rapid rate at which lidocaine hydrochloride is metabolized, any condition that affects liver function may alter lidocaine hydrochloride kinetics. The half-life may be prolonged two-fold or more in patients with liver dysfunction. Renal dysfunction does not affect lidocaine hydrochloride kinetics but may increase the accumulation of metabolites. Factors such as acidosis and the use of CNS stimulants and depressants affect the CNS levels of lidocaine hydrochloride required to produce overt systemic effects. Objective adverse manifestations become increasingly apparent with increasing venous plasma levels above mcg free base per mL. In the rhesus monkey arterial blood levels of 18 to 21 mcg/mL have been shown to be threshold for convulsive activity.",32513e8b-2a81-436e-8da2-439c1dcbf116,34090-1,CLINICAL PHARMACOLOGY SECTION
29258676,"Ask doctor or pharmacist before use if you are. taking the prescription blood thinning medicine warfarin, because bleeding or bruising may occur.",8349d8f8-d210-377a-e053-2a91aa0a0233,50568-5,OTC - ASK DOCTOR/PHARMACIST SECTION
29572323,When using this product. avoid contact with eyes.,06f4ba4a-ceaf-4154-abf0-76ce2f1b89f6,50567-7,OTC - WHEN USING SECTION
28148906,"DRUG ABUSE AND DEPENDENCE. Controlled Substance Class. Buspirone hydrochloride tablets are not controlled substance.. Physical and Psychological Dependence. In human and animal studies, buspirone has shown no potential for abuse or diversion and there is no evidence that it causes tolerance, or either physical or psychological dependence. Human volunteers with history of recreational drug or alcohol usage were studied in two double-blind clinical investigations. None of the subjects were able to distinguish between buspirone hydrochloride tablets and placebo. By contrast, subjects showed statistically significant preference for methaqualone and diazepam. Studies in monkeys, mice, and rats have indicated that buspirone lacks potential for abuse.Following chronic administration in the rat, abrupt withdrawal of buspirone did not result in the loss of body weight commonly observed with substances that cause physical dependency.Although there is no direct evidence that buspirone hydrochloride tablets cause physical dependence or drug-seeking behavior, it is difficult to predict from experiments the extent to which CNS-active drug will be misused, diverted, and/or abused once marketed. Consequently, physicians should carefully evaluate patients for history of drug abuse and follow such patients closely, observing them for signs of buspirone hydrochloride tablets misuse or abuse (e.g., development of tolerance, incrementation of dose, drug-seeking behavior).",ea4fc29e-35f6-43ca-aeb1-f323b2d926f9,42227-9,DRUG ABUSE AND DEPENDENCE SECTION
28184747,"4 CONTRAINDICATIONS. 1.Divalproex sodium extended-release tablets should not be administered to patients with hepatic disease or significant hepatic dysfunction [seeWarnings and Precautions (5.1) ].2.Divalproex sodium extended-release tablets are contraindicated in patients known to have mitochondrial disorders caused by mutations in mitochondrial DNA polymerase (POLG; e.g., Alpers-Huttenlocher Syndrome) and children under two years of age who are suspected of having POLG-related disorder [see Warnings and Precautions (5.1)].3.Divalproex sodium extended-release tablets are contraindicated in patients with known hypersensitivity to the drug. [see Warnings and Precautions (5.12) ].4.Divalproex sodium extended-release tablets are contraindicated in patients with known urea cycle disorders [see Warnings and Precautions (5.6) ].5.Divalprex sodium extended-release tablets are contraindicated for use in prophylaxis of migraine headaches in pregnant women [see Warnings and Precautions (5.3) and Use in Specific Populations (8.1) ]. 6.For use in prophylaxis of migraine headaches: Divalproex sodium extended-release tablets are contraindicated in women who are pregnant and in women of childbearing potential who are not using effective contraception [see Warnings and Precautions (5.2, 5.3, 5.4) and Use in Specific Populations (8.1) ].. 1.Divalproex sodium extended-release tablets should not be administered to patients with hepatic disease or significant hepatic dysfunction [seeWarnings and Precautions (5.1) ].. 2.Divalproex sodium extended-release tablets are contraindicated in patients known to have mitochondrial disorders caused by mutations in mitochondrial DNA polymerase (POLG; e.g., Alpers-Huttenlocher Syndrome) and children under two years of age who are suspected of having POLG-related disorder [see Warnings and Precautions (5.1)].. 3.Divalproex sodium extended-release tablets are contraindicated in patients with known hypersensitivity to the drug. [see Warnings and Precautions (5.12) ].. 4.Divalproex sodium extended-release tablets are contraindicated in patients with known urea cycle disorders [see Warnings and Precautions (5.6) ].. 5.Divalprex sodium extended-release tablets are contraindicated for use in prophylaxis of migraine headaches in pregnant women [see Warnings and Precautions (5.3) and Use in Specific Populations (8.1) ]. 6.For use in prophylaxis of migraine headaches: Divalproex sodium extended-release tablets are contraindicated in women who are pregnant and in women of childbearing potential who are not using effective contraception [see Warnings and Precautions (5.2, 5.3, 5.4) and Use in Specific Populations (8.1) ].. 8.Hepatic disease or significant hepatic dysfunction (4, 5.1) 9.Known mitochondrial disorders caused by mutations in mitochondrial DNA polymerase (POLG) (4, 5.1)10.Suspected POLG-related disorder in children under two years of age (4, 5.1)11.Known hypersensitivity to the drug (4, 5.12)12.Urea cycle disorders (4, 5.6)13.Pregnant patients treated for prophylaxis of migraine headaches (4, 8.1)14.Prophylaxis of migraine headaches: Pregnant women, women of childbearing potential not using effective contraception (4, 8.1). 8.Hepatic disease or significant hepatic dysfunction (4, 5.1) 9.Known mitochondrial disorders caused by mutations in mitochondrial DNA polymerase (POLG) (4, 5.1). 10.Suspected POLG-related disorder in children under two years of age (4, 5.1). 11.Known hypersensitivity to the drug (4, 5.12). 12.Urea cycle disorders (4, 5.6). 13.Pregnant patients treated for prophylaxis of migraine headaches (4, 8.1). 14.Prophylaxis of migraine headaches: Pregnant women, women of childbearing potential not using effective contraception (4, 8.1).",46bb2b1d-3d81-42a5-be6d-315a3eb3e5ef,34070-3,CONTRAINDICATIONS SECTION
