struct_id,atc_code,id
844,N02AC74,938
5329,G02CX05,4958
658,C10AB08,715
5446,L04AA50,5059
5091,L04AA28,4773
3578,P01BA07,3643
4180,A07AA12,3831
4902,G04BD14,4572
1239,R03AL11,1452
2819,N03AG04,3324
2245,A01AC04,2640
2346,C01BA51,2761
4790,D08AX07,4453
1273,M03AC02,1480
2070,J01MA18,2470
946,N06DA53,1061
4595,A02AA03,4296
4660,A03BB02,4324
5149,G03GA08,4803
4363,N01AB02,4083
5330,L01XX66,4959
1907,N06AF02,2262
3824,N05CA12,3694
4906,C09DB09,4578
1095,G03AA01,1252
1980,H01CB02,2349
3611,H03AA04,3655
5327,L01EN01,4956
2796,C02CA06,3289
5500,R03DX11,5101
348,S01CA05,389
4247,S02AA07,3925
4352,S01AX05,4068
4109,A04AD10,3765
1786,C07FX03,2090
1728,N02AC52,2014
1832,D07XC03,2164
5405,L01FX15,5026
4868,J05AX13,4545
4923,L01FF01,4597
968,G03AC10,1083
4801,L01EC02,4463
5003,A10AB01,4691
5293,H01CC53,4926
1676,N01BB59,1947
4703,L01XA04,4364
1239,R03AK09,1446
449,N05CA03,495
1579,S01HA07,1833
1552,L04AA13,1797
4833,A10BH06,4511
65,S01EB09,43
3521,N04BD02,3626
1765,N07BB04,2062
2807,S01AA28,3310
2730,C05AX05,3225
1388,H02AB09,1591
3851,M01AE14,3697
5016,C10AX14,4705
4545,B03AA08,4230
183,C10BX18,199
935,R05CB16,1047
2406,C10BX05,2855
1225,R03BA05,1422
1065,L01XX11,1199
1848,A03FA09,2186
4290,B05XA05,3982
2270,C01BA02,2677
1593,N07BC04,1849
5289,L01EC03,4921
1449,V08AB11,1662
3839,C09CA05,3695
1400,N05BB51,1610
1028,A01AD01,1155
2489,M03AB01,2947
1579,R02AD02,1832
2522,J01ED06,2984
2199,R03AC08,2603
842,N07XX59,933
1385,C09DX03,1577
1615,M02AA31,1875
2552,D11AH01,3011
4537,V09XX04,4222
141,L01XX03,131
1539,J05AF05,1768
1110,G03AC08,1268
4548,D07CB05,4235
617,R06AA56,674
1637,L01XX10,1895
1546,H01CB03,1784
1276,D11AX02,1482
4192,N07XX08,3849
3343,P03AA03,3564
2977,J02AX04,3401
2647,C10AX03,3126
2198,L01DB08,2602
5057,A10AB06,4742
810,C02LA03,888
4149,J01DH04,3793
4540,B03AA10,4225
2006,J01CF04,2390
2583,C09DB04,3036
171,N02BB53,159
209,L01XX35,235
2514,J01EE01,2974
2321,A03AX07,2729
1082,G03AB05,1236
4562,N06AX19,4257
696,C10AB10,769
4880,L03AX13,4558
4163,N07XX07,3807
1949,J01XE51,2304
1482,L01CE02,1695
5137,L03AB13,4794
2662,P01AA30,3141
630,C01BG07,690
1559,L02AE51,1801
666,A09AB04,728
1836,R03DC03,2173
2733,C03AB06,3228
2682,M04AA02,3165
1746,J05AA01,2032
1208,S01CA07,1399
2873,N05CF01,3386
603,M03BB72,658
2607,G03EA02,3070
5141,S01XA13,4799
458,A03BB01,499
5278,L02BB05,4911
901,R06AA11,1013
1218,N05CD01,1409
1369,N05CA16,1556
4964,L01FX05,4649
1922,C08CA55,2276
2875,N05AX11,3388
3995,C01EB22,3729
541,J01DD09,581
4741,J04AK05,4404
1885,A01AB10,2228
2539,J01CR04,3001
4427,H05BA03,4152
2642,R01AC06,3121
668,A02BD06,733
1786,C07FB13,2089
2142,V03AB36,2543
1918,N02AA04,2269
2696,V04CA01,3175
4174,J05AR21,3823
4200,A12CC01,3865
1519,J01GB04,1738
1659,G03AA17,1918
4166,G03XB02,3812
5060,M02AA29,4745
4659,N02BB72,4323
1910,C04AE02,2265
2152,N03AB52,2560
3277,G01AX16,3534
725,N02AJ07,805
2845,A10BF03,3359
973,G04CA52,1089
1118,L04AA18,1276
4371,V09EX03,4089
5067,L01XG03,4750
1572,G03AC03,1819
192,A02BD15,217
412,G01AC06,453
1475,R03BB01,1685
2245,D07BA01,2645
305,C03EA13,345
2587,J01CA17,3041
5306,L01EX13,4939
4637,S01JA02,4315
5009,H01AC03,4699
2039,A03AB03,2431
2510,D06BA06,2964
3369,S01GA01,3577
900,R05DA11,1012
4930,V04CJ01,4611
4993,A02BD14,4679
1043,N02CA52,1176
1997,J01XD03,2379
2335,P02CX01,2749
74,N02BA01,70
5323,L01XX67,4952
1950,S02AA02,2310
838,D03AX03,929
1358,S01XA14,1548
5074,C10AX08,4756
1522,M01AA06,1741
1137,M04AA03,1293
1704,N05BC51,1974
886,N02AJ01,998
2446,L04AA10,2911
34,J05AF06,9
2835,C10AD52,3343
1252,V06DC02,1463
4689,C02LG03,4346
5215,J05AP58,4854
2190,A03AA30,2596
2733,C03AA06,3227
2725,S02CA04,3222
802,J01AA01,884
2544,L01EX01,3005
5243,J05AP57,4879
4925,A01AD08,4600
