id,struct_id,drug_class_id
4540,2422,7735
4301,1209,7712
1542,1892,5236
513,71,4207
12052,4878,7710
4711,2637,7754
4305,2391,7712
3717,4486,7412
1735,2001,5429
484,988,4178
490,2146,4184
1259,1879,4953
3701,4466,7396
1588,1099,5282
163,4223,7747
236,4220,3930
2893,2538,6587
2053,2291,5747
3298,1468,6993
3447,4202,7142
4226,2376,7709
2734,3292,6428
3225,176,6920
1037,3664,4731
4511,668,7735
1869,991,5563
1841,3257,5535
2140,3023,5834
240,4224,3934
4022,4789,7659
2528,1228,6222
3217,1452,6912
2215,483,5909
2384,569,6078
2509,2470,6203
2328,2717,6022
4695,732,7710
2361,1208,6055
2144,1348,5838
4193,1523,7709
448,2021,4142
4648,824,7736
3473,4144,7168
885,3817,4579
1557,1812,5251
2089,619,5783
3677,4425,7372
4532,2279,7735
3481,4150,7176
4364,1285,7718
3497,4168,7192
3102,1030,6797
4768,1548,7755
262,906,3956
1970,808,5664
1393,2617,5087
1564,3527,5258
2926,1769,6620
3659,4408,7354
2327,1609,6021
3270,730,6965
1800,1886,5494
4565,659,7737
3276,1221,6971
2523,3336,6217
3132,3184,6827
401,2131,4095
2000,2064,5694
4475,2620,7729
3748,4526,7443
2648,2575,6342
1956,3449,5650
1647,418,5341
1878,3646,5572
1521,892,5215
4289,2740,7715
3164,1240,6859
4495,4189,7733
3436,4193,7131
4479,1497,7729
4599,1612,7737
2731,1881,6425
4427,2561,7720
802,1257,4496
3260,254,6955
2402,983,6096
1622,3642,5316
4592,1437,7737
2849,3548,6543
2322,1889,6016
3625,4373,7320
1560,1965,5254
697,3433,4391
2158,3659,5852
3422,2433,7117
2617,1998,6311
1527,3022,5221
23141,4882,9696
1417,3996,5111
1582,1734,5276
1437,486,5131
3126,257,6821
145,4865,7740
2338,1297,6032
1898,78,5592
449,2664,4143
4239,2562,7709
2298,1525,5992
200,2295,7750
1381,1507,5075
192,2320,7749
2642,1869,6336
2291,2108,5985
527,359,4221
1408,2276,5102
4052,4849,7689
3057,551,6752
4265,2377,7714
4794,784,7756
4072,4545,7698
1951,659,5645
2822,2306,6516
1778,3416,5472
3888,4610,7525
3876,4597,7513
2845,3526,6539
2441,3768,6135
1360,3761,5054
730,512,4424
2371,3165,6065
2044,3855,5738
338,2148,4032
3341,3542,7036
4608,1932,7737
2728,3248,6422
1905,940,5599
3873,4594,7510
1730,3325,5424
335,195,4029
4795,812,7756
1559,3345,5253
2520,969,6214
2356,402,6050
1604,1238,5298
4580,960,7737
477,323,4171
3369,2977,7064
1236,3832,4930
2020,3891,5714
4602,4382,7737
1993,1210,5687
4731,1601,7754
1002,430,4696
4654,2267,7736
1213,1852,4907
1085,1656,4779
204,2591,7750
2576,2560,6270
4046,4843,7683
3282,2088,6977
4490,30,7732
467,3426,4161
4307,2597,7712
3051,2455,6746
23139,4119,7709
1061,2238,4755
442,3775,4136
4449,2377,7725
696,2700,4390
616,355,4310
1071,900,4765
184,180,7749
4621,2359,7737
2505,533,6199
1009,1027,4703
849,171,4543
3747,4524,7442
1766,3557,5460
3986,4726,7623
4593,1482,7737
2128,922,5822
3351,4106,7046
1474,520,5168
1851,231,5545
3655,4404,7350
2222,734,5916
2249,2557,5943
855,1875,4549
3113,119,6808
2536,726,6230
4456,1728,7723
2681,467,6375
3371,1358,7066
4369,644,7717
2347,631,6041
4753,1569,7755
932,3054,4626
1997,3162,5691
2278,342,5972
1927,978,5621
4286,2403,7715
3761,4540,7456
3082,3259,6777
2571,2528,6265
1382,3424,5076
3553,4299,7248
1090,3906,4784
3213,3072,6908
1566,1426,5260
732,1941,4426
1857,1299,5551
2285,3222,5979
1625,691,5319
2587,1178,6281
4552,4337,7737
3063,321,6758
2276,968,5970
2092,571,5786
689,2166,4383
4050,4847,7687
141,2439,7743
1961,2468,5655
678,2125,4372
4755,2717,7755
4413,1209,7720
2375,147,6069
3145,771,6840
890,489,4584
2046,3144,5740
936,3601,4630
2621,1462,6315
3097,3790,6792
416,3755,4110
2840,918,6534
4199,1635,7709
3559,4308,7254
1280,622,4974
2546,464,6240
316,2819,4010
1152,1971,4846
919,1575,4613
3423,994,7118
2950,4117,6645
302,1334,3996
4589,1414,7737
3936,4676,7573
2120,2828,5814
4194,1527,7709
4813,153,7740
3837,4805,3878
2931,3820,6625
4453,989,7723
1933,390,5627
4470,2366,7726
3106,559,6801
12058,4882,7735
270,1533,3964
2735,2423,6429
1550,182,5244
1497,3496,5191
1715,818,5409
3073,2101,6768
2687,305,6381
3358,2042,7053
4293,3521,7715
2942,2193,6636
675,3088,4369
3633,4381,7328
1658,2408,5352
4184,1353,7709
568,1691,4262
2268,677,5962
2272,762,5966
656,3298,4350
2998,1580,6693
3419,515,7114
3976,4711,7613
2318,278,6012
196,1763,7740
