struct_id,prod_id,strength
1103,646572,200MG
1612,647694,20MG
270,665802,15%
4199,667842,8MEQ
1920,653206,EQ 2MG BASE
2152,654653,100MG PROMPT
1528,647765,150MG
2054,664095,EQ 20MG BASE
4198,681190,5GM/100ML;220MG/100ML;450MG/100ML
4198,678937,3.5%;21MG/100ML;128MG/100ML;234MG/100ML
1765,685516,100MG;4MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
1385,648963,10MG;12.5MG
52,675409,650MG
954,669749,EQ 1MG BASE
1751,687369,17.5MG/0.35ML (17.5MG/0.35ML)
1264,649326,100MG
361,664789,75MG
2270,658078,250MG
4340,685625,EQ 25MG BASE;EQ 15MG BASE
1567,651727,25MG;100MG
4201,639177,18.4MG/100ML;4.25GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML
824,641375,"0.1%;EQ 3.5MG BASE/GM;10,000 UNITS/GM"
1572,687063,0.03MG/24HR;0.12MG/24HR
1264,672163,100MG
2029,657199,325MG;5MG
192,642599,400MG/5ML;EQ 57MG BASE/5ML
2514,643147,200MG/5ML;40MG/5ML
1980,650850,EQ 0.2MG BASE/ML
4209,645211,EQ 5MG BASE
2392,669062,EQ 4.5MG BASE
4200,679690,26MG/100ML;1.5GM/100ML;15MG/100ML;560MG/100ML;390MG/100ML
841,649318,3.75MG;3.75MG;3.75MG;3.75MG
663,650539,EQ 20MG BASE
195,675458,1.875MG;1.875MG;1.875MG;1.875MG
1232,659068,EQ 100MG BASE/VIAL
2405,649716,EQ 4MG BASE
4133,650330,150MG/15ML (10MG/ML)
1790,679892,250MG
1386,651519,10MG;200MG
1774,676949,50MG/5ML
1650,643484,EQ 50MG BASE
1540,650888,200MG
1385,656122,25MG;25MG
751,645272,10MG
1813,686515,EQ 55MG BASE
4857,654934,3MG
939,685483,20MG/0.5ML (40MG/ML)
4253,651858,17GM/SCOOPFUL
625,677531,50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
841,639882,1.25MG;1.25MG;1.25MG;1.25MG
4265,641469,EQ 0.1% BASE
1388,655964,1%
