id,term,type
GO:0033313,meiotic cell cycle checkpoint,P
GO:1905069,allantois development,P
GO:0032947,protein complex scaffold,F
GO:0097027,ubiquitin-protein transferase activator activity,F
GO:0003962,cystathionine gamma-synthase activity,F
GO:0055017,cardiac muscle tissue growth,P
GO:0005276,vesicular hydrogen:amino acid antiporter activity,F
GO:0030241,skeletal muscle myosin thick filament assembly,P
GO:0061580,colon epithelial cell migration,P
GO:0033561,regulation of water loss via skin,P
GO:0008901,ferredoxin hydrogenase activity,F
GO:1900195,positive regulation of oocyte maturation,P
GO:0008135,"translation factor activity, RNA binding",F
GO:0050185,phosphatidylinositol deacylase activity,F
GO:0086001,cardiac muscle cell action potential,P
GO:0009452,7-methylguanosine RNA capping,P
GO:0033169,histone H3-K9 demethylation,P
GO:0043416,regulation of skeletal muscle tissue regeneration,P
GO:0071586,CAAX-box protein processing,P
GO:0071333,cellular response to glucose stimulus,P
GO:0009816,"defense response to bacterium, incompatible interaction",P
GO:0099003,vesicle-mediated transport in synapse,P
GO:0043806,keto acid formate lyase activity,F
GO:0099518,vesicle cytoskeletal trafficking,P
GO:0019828,aspartic-type endopeptidase inhibitor activity,F
GO:0048701,embryonic cranial skeleton morphogenesis,P
GO:0003955,NAD(P)H dehydrogenase (quinone) activity,F
GO:1900142,negative regulation of oligodendrocyte apoptotic process,P
GO:0000454,snoRNA guided rRNA pseudouridine synthesis,P
GO:0038156,interleukin-3-mediated signaling pathway,P
GO:0004341,gluconolactonase activity,F
GO:0004722,protein serine/threonine phosphatase activity,F
GO:0035428,hexose transmembrane transport,P
GO:0046724,oxalic acid secretion,P
GO:1902977,mitotic DNA replication preinitiation complex assembly,P
GO:1903599,positive regulation of mitophagy,P
GO:0018343,protein farnesylation,P
GO:0086100,endothelin receptor signaling pathway,P
GO:0035716,chemokine (C-C motif) ligand 12 binding,F
GO:0000435,positive regulation of transcription from RNA polymerase II promoter by galactose,P
GO:0035116,embryonic hindlimb morphogenesis,P
GO:0006544,glycine metabolic process,P
GO:0070779,D-aspartate import,P
GO:0070842,aggresome assembly,P
GO:0043609,regulation of carbon utilization,P
GO:0002718,regulation of cytokine production involved in immune response,P
GO:0022829,wide pore channel activity,F
GO:0015291,secondary active transmembrane transporter activity,F
GO:0009954,proximal/distal pattern formation,P
GO:0004731,purine-nucleoside phosphorylase activity,F
GO:0003906,DNA-(apurinic or apyrimidinic site) lyase activity,F
GO:0034970,histone H3-R2 methylation,P
GO:0030815,negative regulation of cAMP metabolic process,P
GO:0009435,NAD biosynthetic process,P
GO:0098531,"transcription factor activity, direct ligand regulated sequence-specific DNA binding",F
GO:0031764,type 1 galanin receptor binding,F
GO:0031333,negative regulation of protein complex assembly,P
GO:0004689,phosphorylase kinase activity,F
GO:0045077,negative regulation of interferon-gamma biosynthetic process,P
GO:1903361,protein localization to basolateral plasma membrane,P
GO:0002218,activation of innate immune response,P
GO:1904234,positive regulation of aconitate hydratase activity,P
GO:0071171,site-specific DNA replication termination at RTS1 barrier,P
GO:0051164,L-xylitol metabolic process,P
GO:0099645,neurotransmitter receptor localization to postsynaptic specialization membrane,P
GO:0004592,pantoate-beta-alanine ligase activity,F
GO:0042149,cellular response to glucose starvation,P
GO:0018633,dimethyl sulfide monooxygenase activity,F
GO:0097708,intracellular vesicle,C
GO:0034219,carbohydrate transmembrane transport,P
GO:0035038,female pronucleus assembly,P
GO:0018742,epoxide hydrolase B activity,F
GO:0016493,C-C chemokine receptor activity,F
GO:0043990,histone H2A-S1 phosphorylation,P
GO:0090149,mitochondrial membrane fission,P
GO:0033599,regulation of mammary gland epithelial cell proliferation,P
GO:0015450,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,F
GO:0032479,regulation of type I interferon production,P
GO:0090729,toxin activity,F
GO:0051301,cell division,P
GO:0080058,protein deglutathionylation,P
GO:0099509,regulation of presynaptic cytosolic calcium ion concentration,P
GO:0039663,membrane fusion involved in viral entry into host cell,P
GO:0031167,rRNA methylation,P
GO:0061383,trabecula morphogenesis,P
GO:0003680,AT DNA binding,F
GO:0006085,acetyl-CoA biosynthetic process,P
GO:0004939,beta-adrenergic receptor activity,F
GO:0035066,positive regulation of histone acetylation,P
GO:0031313,extrinsic component of endosome membrane,C
GO:0050830,defense response to Gram-positive bacterium,P
GO:0009617,response to bacterium,P
GO:2000279,negative regulation of DNA biosynthetic process,P
GO:0036369,transcription factor catabolic process,P
GO:1903515,calcium ion transport from cytosol to endoplasmic reticulum,P
GO:0009696,salicylic acid metabolic process,P
GO:0007212,dopamine receptor signaling pathway,P
GO:0034508,centromere complex assembly,P
GO:0015501,glutamate:sodium symporter activity,F
GO:0021869,forebrain ventricular zone progenitor cell division,P
GO:0008295,spermidine biosynthetic process,P
GO:0071105,response to interleukin-11,P
GO:0001106,RNA polymerase II transcription corepressor activity,F
GO:1905237,response to cyclosporin A,P
GO:1904062,regulation of cation transmembrane transport,P
GO:0070723,response to cholesterol,P
GO:1990745,EARP complex,C
GO:0099012,neuronal dense core vesicle membrane,C
GO:0035659,"Wnt signaling pathway involved in wound healing, spreading of epidermal cells",P
GO:0006661,phosphatidylinositol biosynthetic process,P
GO:0071934,thiamine transmembrane transport,P
GO:2000107,negative regulation of leukocyte apoptotic process,P
GO:0002926,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation,P
GO:0034472,snRNA 3'-end processing,P
GO:0042136,neurotransmitter biosynthetic process,P
GO:0032076,negative regulation of deoxyribonuclease activity,P
GO:1903893,positive regulation of ATF6-mediated unfolded protein response,P
GO:0002945,cyclin K-CDK13 complex,C
GO:0035998,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process",P
GO:2000464,positive regulation of astrocyte chemotaxis,P
GO:0000802,transverse filament,C
GO:2000642,negative regulation of early endosome to late endosome transport,P
GO:0010001,glial cell differentiation,P
GO:0033137,negative regulation of peptidyl-serine phosphorylation,P
GO:0010086,embryonic root morphogenesis,P
GO:0005924,cell-substrate adherens junction,C
GO:0008616,queuosine biosynthetic process,P
GO:0019645,anaerobic electron transport chain,P
GO:0001922,B-1 B cell homeostasis,P
GO:0080009,mRNA methylation,P
GO:0001556,oocyte maturation,P
GO:0060456,positive regulation of digestive system process,P
GO:0006020,inositol metabolic process,P
GO:0050803,regulation of synapse structure or activity,P
GO:0033539,fatty acid beta-oxidation using acyl-CoA dehydrogenase,P
GO:0021688,cerebellar molecular layer formation,P
GO:0047433,branched-chain-2-oxoacid decarboxylase activity,F
GO:0097626,low-affinity L-arginine transmembrane transporter activity,F
GO:0010710,regulation of collagen catabolic process,P
GO:0005602,complement component C1 complex,C
GO:0003334,keratinocyte development,P
GO:0043149,stress fiber assembly,P
GO:0018011,N-terminal peptidyl-alanine methylation,P
GO:0060503,bud dilation involved in lung branching,P
GO:0071638,negative regulation of monocyte chemotactic protein-1 production,P
GO:0004373,glycogen (starch) synthase activity,F
GO:0004974,leukotriene receptor activity,F
GO:0150012,positive regulation of neuron projection arborization,P
GO:0099186,structural constituent of postsynapse,F
GO:0072560,type B pancreatic cell maturation,P
GO:0038143,ERBB3:ERBB2 complex,C
GO:0000444,MIS12/MIND type complex,C
GO:0005004,GPI-linked ephrin receptor activity,F
GO:0033688,regulation of osteoblast proliferation,P
GO:2000145,regulation of cell motility,P
GO:1904974,heparanase complex,C
GO:0031585,"regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity",P
GO:0007528,neuromuscular junction development,P
GO:0038180,nerve growth factor signaling pathway,P
GO:0007037,vacuolar phosphate transport,P
GO:0045737,positive regulation of cyclin-dependent protein serine/threonine kinase activity,P
GO:0003363,lamellipodium assembly involved in ameboidal cell migration,P
GO:1905448,positive regulation of mitochondrial ATP synthesis coupled electron transport,P
GO:0003176,aortic valve development,P
GO:1903135,cupric ion binding,F
GO:0001986,negative regulation of the force of heart contraction involved in baroreceptor response to increased systemic arterial blood pressure,P
GO:0050720,interleukin-1 beta biosynthetic process,P
