id,descr,category,keyword
KW-1005,"Protein which is involved in the formation, organization or maintenance of the bacterial flagellum, a long hair-like cell surface appendage. The flagellar apparatus consists of the flagellar filament made of polymerized flagellin, the hook-like structure near the cell surface and a system of rings embedded in the cell enveloppe (the basal body or flagellar motor). The basal body and the hook anchor the whip-like filament to the cell surface. The flagellum is a rotating structure whose switches propels the cell through a liquid medium.",Biological process,Bacterial flagellum biogenesis
KW-0380,"Protein which, if defective, causes hyperlipidemia, a condition characterized by the elevation of lipids in the bloodstream. There are different types of hyperlipidemias: type I (lipoprotein lipase deficiency), IIa (hypercholesterolemia; LDL receptor deficiency), IIb (combined hyperlipidemia), III (dysbetalipoproteinemia), IV (hypertriglyceridemia) and V (mixed hyperlipidemia).",Disease,Hyperlipidemia
KW-0498,"Protein involved in mitosis, the nuclear division in eukaryotic cells involving the exact duplication and separation of the chromosome threads so that each daughter nucleus carries a chromosome complement identical to that of the parent nucleus. Mitosis is divided into four substages: prophase, metaphase, anaphase and telophase.",Biological process,Mitosis
KW-0357,"Protein containing at least one heparan sulfate, a highly sulfated glycosaminoglycan, closely related to heparin, which consists of repeating units of disaccharides composed of iduronic acid, glucosamine and N-acetylglucosamine.",PTM,Heparan sulfate
KW-1157,"Protein involved in cap snatching, a process in which a cellular mRNA is cleaved few nucleotides after the 5'cap. The resulting 10- to 13-nucleotides long capped fragment serve as primer for the initiation of viral mRNA synthesis. Cap snatching is used by negative stranded RNA virus which do not encode a guanylyl transferase, like influenza or hantaviruses.",Biological process,Cap snatching
KW-0030,"Enzyme that activates an amino acid for translation by forming an aminoacyladenylate intermediate and then links this activated amino acid to the corresponding tRNA molecule (amino acid-tRNA, aminoacyl-tRNA). In general, a specific aminoacyl-tRNA synthase is available for each amino acid.",Molecular function,Aminoacyl-tRNA synthetase
KW-0840,Protein which dilates the caliber of blood vessels.,Molecular function,Vasodilator
KW-0162,"Protein component of the chylomicrons or involved in their catabolism. Chylomicrons are the largest lipoprotein complexes with the lowest protein-to-lipid ratio. They are present in the blood or lymph and transport exogenous (dietary) cholesterol, triacylglycerols and other lipids from the intestine to the liver or to the adipose tissue.",Cellular component,Chylomicron
KW-0765,Protein which is posttranslationally modified by the attachment of at least one sulfate group to a tyrosine residue. Serine and threonine may also serve as sulfate group acceptors.,PTM,Sulfation
KW-0175,"Protein which contains at least one coiled coil domain, a type of secondary structure composed of two or more alpha helices which entwine to form a cable structure. In proteins, the helical cables serve a mechanical role in forming stiff bundles of fibres.",Domain,Coiled coil
