target_id,component_id
3412,1657
5473,1860
2580,2761
1870,1141
3452,7143
4139,22606
7090,14362
360,2739
2716,2469
698,2723
3555,22406
4518,9838
2559,2598
3495,90
3456,810
727,1330
570,2560
3518,563
1864,964
1854,1871
3602,22455
2759,234
498,2091
554,617
398,2337
910,1411
5443,2792
4541,20376
2255,1696
131,1124
1643,910
2907,2770
3416,21897
2045,1685
2929,1617
572,1351
2513,1903
2867,916
2244,271
1722,1559
219,23509
5537,6355
1060,1474
1992,656
2841,1421
3495,68
2344,2998
2982,1202
134,492
1907,1076
197,1606
283,1004
2228,2036
2531,2273
2359,1938
3691,17414
2792,603
2906,2445
563,1055
813,1733
711,2574
2497,2702
3902,22586
1796,1466
2262,2831
3495,85
497,2123
3405,10341
2845,2668
683,2263
2858,1273
6046,11592
5390,1309
315,293
887,322
1422,2039
2204,1965
6772,4872
5294,23669
3605,22458
2917,286
1954,1910
3861,3187
5383,1286
6269,2728
2018,450
2815,144
3480,2240
2162,410
1761,2323
3614,22466
3683,10897
3456,813
3429,2208
2980,1202
4118,22809
3530,22382
691,1316
3483,12844
3570,22423
4228,5306
2152,1357
1852,928
2325,2389
2824,1040
2731,202
3875,22290
2867,917
893,2809
1680,1516
73,574
5491,5774
164,802
2416,47
5132,2784
538,2557
592,2009
3728,14339
346,1483
3539,22390
2288,2131
599,1524
1848,223
2613,1745
400,2338
897,276
5303,2462
236,177
2815,164
5504,18600
1716,1226
6058,24086
3408,1054
2356,1948
110,1258
7074,10911
438,1754
4249,203
196,1607
5284,453
56,2617
2760,202
4563,7785
6029,3297
1731,1094
2452,1706
4137,23414
5955,24043
4122,22813
5145,676
2144,457
3591,22442
3667,210
171,31
2847,733
1344,2759
2762,582
5007,8505
735,1644
2887,2378
3495,100
2733,205
1090,1595
2498,308
5452,1707
5364,18599
348,1449
365,1366
4502,23635
1537,1403
4158,21907
3462,11443
77,206
434,1187
2914,1008
3456,576
6003,2706
3625,22476
1885,227
3489,222
2978,3031
55,674
2556,2773
3993,22663
3606,22459
6264,2508
3677,16854
2895,1185
2073,2943
5527,18364
1634,2643
5986,940
2762,585
2862,59
2788,242
2755,1407
2284,2366
2626,2054
411,2369
4067,22701
2722,1107
2734,202
3496,2626
463,1582
4152,11426
1535,2256
6026,24070
3959,22693
4108,19175
2863,2639
2482,997
5009,206
3886,22564
1968,312
5314,689
759,842
774,401
1896,466
2512,2198
760,1633
5477,16920
40,2230
2784,566
2789,16
5450,292
5415,18336
2855,743
329,699
3458,21992
953,1567
64,2160
2743,2395
3412,2147
730,669
1741,1925
2177,2892
4132,23409
1874,1045
2377,1363
211,2033
4522,887
2789,10
2871,2308
5009,200
2327,1714
2835,2331
4372,921
1944,349
184,615
3588,22439
2816,293
2002,1373
2903,2728
2747,1652
1717,1238
444,2509
1026,2368
4514,6325
123,2008
2400,1912
1882,1021
2791,235
1534,2099
2805,205
601,2380
5009,211
2494,2028
431,2664
3675,8362
2929,1611
4369,17663
2940,3015
6771,24748
2627,1327
3412,1510
2864,2548
3704,22534
2755,1406
2293,1105
1810,965
3420,748
153,475
993,2634
2547,1014
3438,12120
2867,913
2055,2340
352,1086
254,2526
717,2314
7083,24957
532,872
3400,16962
2489,2434
2844,2356
57,1962
2730,612
3412,1033
5964,24047
2209,2874
2468,1256
2815,137
4400,4840
3495,72
3975,22649
5265,23660
2777,701
3495,76
1684,2189
3726,22551
3518,572
5245,23645
2575,841
2835,2333
2786,234
2240,2835
1364,1913
6561,10392
390,1305
456,2716
827,2309
1250,2665
2166,2654
699,763
2471,2001
815,1756
3827,22612
231,816
3715,3258
710,408
86,1298
2759,236
180,1540
2279,1854
2535,2235
290,1199
5376,1242
3412,1977
2455,346
4545,12873
2759,246
2523,1637
4250,418
1418,527
3398,19467
3600,1858
2803,1198
2540,1822
2819,504
2836,2425
187,182
2919,43
2598,2699
2275,1698
2509,564
2838,716
2849,2817
5987,15101
3022,10594
4381,23626
5271,322
1066,2591
4236,10373
2860,735
2749,799
5433,1593
6261,24443
3572,22425
3723,22550
844,1898
2799,942
4507,17270
3512,10332
1480,2873
867,2688
4914,468
5308,643
3433,2794
2534,2839
5287,470
3730,14342
4520,23507
225,4
5522,18330
2859,954
2766,415
4925,16142
4378,23623
1787,1230
2873,867
3640,22491
1699,1731
2331,1750
6266,2661
3543,22394
5340,23679
1771,1097
1952,315
