id,go_id,component_id
1222455,GO:0005737,4509
1440470,GO:0046983,13835
1340833,GO:0007165,16081
1177707,GO:0043196,1109
1287685,GO:0003777,10967
1486847,GO:0051928,11546
1365857,GO:0045944,18322
1264631,GO:0070062,8960
1431719,GO:0002316,8503
1475549,GO:0005886,5657
1397907,GO:0008270,22546
1428343,GO:0031124,6384
1195382,GO:0005980,2468
1205348,GO:0034354,3145
1412130,GO:0003084,1188
1416801,GO:0046677,1800
1375440,GO:0043209,19272
1172648,GO:0005737,760
1478293,GO:0003723,7168
1203236,GO:0007067,3028
1214487,GO:0005096,3886
1425978,GO:0098780,4427
1281855,GO:0030425,10434
1249600,GO:0021516,7396
1378824,GO:0009952,19625
1408864,GO:0004834,934
1309354,GO:0035094,13226
1266260,GO:0005094,9055
1413452,GO:0005244,1276
1425477,GO:0035579,4149
1334158,GO:0005001,15516
1443023,GO:0000981,15528
1241977,GO:0032570,6685
1320306,GO:0042803,14322
1375039,GO:0005737,19228
1358257,GO:0043066,17635
1497371,GO:0005794,16973
1448783,GO:0046872,19323
1469956,GO:0043312,3091
1185318,GO:0004674,1626
1232340,GO:0031965,5519
1309000,GO:0007420,13214
1285408,GO:0016327,10743
1231664,GO:0000166,5463
1469351,GO:0002726,3054
1263834,GO:0051439,8864
1288792,GO:0016525,11080
1419650,GO:0030148,2373
1224361,GO:0070131,4670
1312300,GO:0048015,13423
1478651,GO:0035091,7337
1229671,GO:0072011,5297
1224302,GO:0001822,4667
1221519,GO:0005737,4443
1351807,GO:0045499,17092
1485763,GO:0016021,10851
1265964,GO:0048593,9041
1434095,GO:0005654,9911
1497785,GO:1990000,17130
1276985,GO:0048706,10080
1452813,GO:0006272,21816
1390540,GO:0045944,20842
1378396,GO:0030991,19549
1264059,GO:0005789,8885
1365888,GO:0030054,18325
1218424,GO:0046933,4211
1372283,GO:0034130,18853
1417585,GO:0016021,1865
1186210,GO:0005730,1680
1245199,GO:0016020,7016
1380959,GO:0031647,19822
1247802,GO:0006306,7235
1402300,GO:0071385,227
1506619,GO:0016020,3106
1422567,GO:0010288,2743
1167876,GO:0008083,465
1336066,GO:0005096,15679
1212934,GO:0035646,3792
1429988,GO:0031072,7271
1473397,GO:1904878,4478
1370349,GO:0007179,18719
1398313,GO:0010739,22393
1502172,GO:0019899,19410
1248736,GO:0006955,7304
1307807,GO:0006783,13115
1453366,GO:0055085,21862
1213559,GO:0008203,3838
1417192,GO:0060158,1858
1322737,GO:0009790,14528
1334079,GO:0005001,15513
1184374,GO:0000187,1524
1410538,GO:0048385,1045
1294463,GO:0038202,11798
1453520,GO:0008134,21882
1482705,GO:1904659,9546
1271021,GO:0007283,9580
1483356,GO:0005634,9802
1502969,GO:0099011,19934
1374698,GO:0005634,19197
1412771,GO:0005829,1243
1178616,GO:0071549,1164
1239882,GO:0005789,6464
1183783,GO:0005813,1484
1412400,GO:0048015,1213
1397538,GO:0005248,22604
1330464,GO:0016020,15251
1404258,GO:0042802,481
1432532,GO:0007186,8932
1170641,GO:0045765,624
1297999,GO:0005813,12194
1165199,GO:0008270,288
1328685,GO:0000165,15019
1483892,GO:0000981,9970
1212949,GO:0048490,3793
1409454,GO:0003677,970
1284880,GO:0032454,10654
1303159,GO:0005829,12743
1190605,GO:0016021,2099
1178551,GO:0005215,1162
1197686,GO:0009411,2641
1364142,GO:0006959,18135
1472379,GO:0097192,4074
1164240,GO:0046872,252
1405976,GO:0060548,637
1427041,GO:0007159,5272
1383668,GO:0033178,20042
1395277,GO:0031649,22642
1237050,GO:0005788,6146
1443854,GO:0016032,15937
1287563,GO:0016887,10960
1317989,GO:0008156,14119
1507515,GO:0061630,12733
1453451,GO:0005344,21873
1322136,GO:0008270,14481
1451832,GO:0005737,21700
1495305,GO:0000381,15899
1410100,GO:0016705,1011
1411904,GO:0005768,1169
1305682,GO:0005737,12959
1283208,GO:0043231,10546
1447519,GO:0070039,18430
