id,tdkey_id,component_id
201385,KW-0413,14393
5711,KW-0808,451
217142,KW-0716,15893
112550,KW-1185,5551
7258,KW-0024,550
18376,KW-1185,1322
249211,KW-0621,19158
182833,KW-0225,12788
154161,KW-0687,9898
259810,KW-0732,20197
250546,KW-0391,19282
201168,KW-0621,14376
255655,KW-1185,19803
228386,KW-0809,17041
277754,KW-0407,21633
7469,KW-0493,566
231517,KW-0472,17333
24746,KW-0106,1839
187274,KW-0493,13180
209734,KW-0025,15171
219662,KW-0687,16155
176301,KW-0234,12157
249104,KW-0202,19148
142389,KW-0025,8737
111076,KW-0539,5388
109585,KW-1185,5265
92074,KW-0582,3470
130983,KW-0547,7501
255070,KW-0547,19741
127416,KW-0067,7157
12196,KW-0597,903
7644,KW-0903,579
95153,KW-0168,3779
266729,KW-0238,20963
244353,KW-0736,18645
180193,KW-1185,12526
154779,KW-0621,9959
229388,KW-0444,17127
170868,KW-0547,11607
11919,KW-0808,883
262944,KW-0677,20631
90145,KW-0378,3301
110394,KW-1003,5326
199572,KW-0564,14231
172915,KW-0025,11801
15520,KW-0675,1128
295093,KW-0963,21768
254297,KW-1133,19656
2458,KW-0539,219
180147,KW-0904,12522
257832,KW-0802,20006
190141,KW-0227,13454
123963,KW-0539,6817
154170,KW-0965,9899
80586,KW-0670,2576
19032,KW-0418,1365
91736,KW-0276,3438
116364,KW-0002,6000
143056,KW-0488,8807
299699,KW-0963,22307
22202,KW-0067,1625
255683,KW-1185,19806
169306,KW-1185,11468
91790,KW-0677,3442
192453,KW-0472,13657
177321,KW-0242,12255
303767,KW-0375,10052
24246,KW-0963,1765
235065,KW-0238,17668
127981,KW-0677,7213
149970,KW-0339,9491
18729,KW-0130,1344
103328,KW-0964,4521
25413,KW-0406,1905
264999,KW-0805,20816
294738,KW-0044,21734
132353,KW-0677,7616
119585,KW-0597,6315
101373,KW-1185,4337
252132,KW-0025,19425
97072,KW-0342,3962
82766,KW-0682,2717
289761,KW-0002,16532
19708,KW-0002,1422
241312,KW-0675,18327
19528,KW-0436,1408
189701,KW-0805,13420
169781,KW-0597,11508
94647,KW-0677,3721
161865,KW-1185,10645
2345,KW-0732,211
146278,KW-0496,9140
131804,KW-0597,7566
152611,KW-0436,9749
89924,KW-0276,3282
287749,KW-0539,13541
27108,KW-1185,2060
132286,KW-0181,7608
102479,KW-0333,4441
88223,KW-0597,3121
222157,KW-0597,16408
248738,KW-0025,19119
202667,KW-0865,14501
142505,KW-0539,8748
120335,KW-1185,6386
301866,KW-1003,3115
81269,KW-0413,2627
258686,KW-0621,20088
284270,KW-0963,8974
197740,KW-0716,14062
268040,KW-0539,21075
210126,KW-0181,15233
206369,KW-0181,14840
214321,KW-0342,15640
294251,KW-0378,21692
299030,KW-0449,22208
207320,KW-0378,14935
107643,KW-0325,4991
226170,KW-0325,16826
141604,KW-1185,8657
225583,KW-0812,16767
258216,KW-0181,20045
113916,KW-1133,5702
132572,KW-0181,7641
100543,KW-1185,4260
214371,KW-0813,15643
290747,KW-0460,17812
239279,KW-0181,18116
14278,KW-1133,1040
234925,KW-0621,17655
102350,KW-0812,4426
238982,KW-1013,18087
204468,KW-1185,14663
217573,KW-0007,15932
289983,KW-0887,16838
142087,KW-0238,8709
254324,KW-1185,19660
165865,KW-0181,11033
263135,KW-0479,20654
240435,KW-0770,18224
303741,KW-0010,9880
107303,KW-0181,4948
264964,KW-0025,20813
99975,KW-1133,4222
165508,KW-0181,11000
22655,KW-0675,1661
173540,KW-0378,11875
21789,KW-0326,1586
191770,KW-1003,13607
224404,KW-0472,16655
294839,KW-0547,21742
284738,KW-0702,9679
127856,KW-0181,7201
38,KW-0181,6
77118,KW-0479,2353
83498,KW-1185,2772
267806,KW-0804,21055
264628,KW-0002,20785
204496,KW-0181,14666
116967,KW-0844,6073
101113,KW-1133,4313
243792,KW-0181,18598
90006,KW-0225,3288
11767,KW-0472,872
201723,KW-0812,14420
243919,KW-1186,18610
291926,KW-0072,19414
223785,KW-0687,16584
217548,KW-0025,15930
110661,KW-0963,5346
171807,KW-1133,11701
8714,KW-1133,647
111253,KW-1185,5418
227618,KW-0449,16965
86190,KW-0472,2967
261573,KW-0621,20392
128750,KW-1185,7283
94920,KW-1185,3758
91200,KW-0539,3387
149301,KW-1003,9421
253152,KW-0245,19518
228269,KW-0732,17027
266294,KW-1185,20926
109975,KW-0325,5294
131062,KW-0966,7508
144831,KW-0677,8982
209071,KW-0539,15100
147840,KW-1015,9296
81842,KW-0181,2657
292051,KW-0547,19599
193562,KW-0181,13739
170178,KW-0002,11546
27507,KW-0181,2099
115867,KW-0472,5959
260030,KW-0181,20223
246552,KW-0433,18853
278552,KW-0002,814
291629,KW-0770,18973
209487,KW-0026,15140
187318,KW-1003,13184
21805,KW-0181,1591
221755,KW-0378,16376
147754,KW-0160,9288
171847,KW-0007,11709
298501,KW-0002,22145
4137,KW-0682,334
24452,KW-0472,1788
164505,KW-0539,10925
81502,KW-0181,2638
205060,KW-0378,14718
121442,KW-0716,6521
250863,KW-0181,19316
293509,KW-0523,21364
265219,KW-1185,20833
262884,KW-0805,20625
177973,KW-0025,12325
162860,KW-0225,10776
117040,KW-1133,6078
217887,KW-1185,15961
170536,KW-0256,11576
149787,KW-0235,9470
171987,KW-0677,11720
12228,KW-0472,905
277656,KW-1133,21621
281495,KW-0963,5140
144908,KW-0636,8991
303931,KW-0653,10627
83093,KW-0488,2740
206952,KW-1133,14899
143849,KW-0025,8880
302267,KW-0225,4114
88879,KW-0621,3181
92553,KW-0621,3512
282292,KW-0804,6231
218447,KW-0564,16024
223723,KW-0689,16575
150542,KW-0181,9556
29084,KW-0025,2220
303589,KW-0479,9303
178023,KW-0333,12328
8547,KW-0325,637
303134,KW-0539,7403
183263,KW-1185,12816
132285,KW-0112,7608
246804,KW-0812,18877
95217,KW-0832,3784
158589,KW-0519,10346
254123,KW-0181,19635
95590,KW-0802,3823
165463,KW-0181,10996
274879,KW-0186,22378
248871,KW-1133,19128
2808,KW-0628,241
106891,KW-0225,4905
291772,KW-0539,19238
92137,KW-0040,3475
136624,KW-0963,8007
20497,KW-0411,1480
205869,KW-0446,14794
146386,KW-0863,9153
292449,KW-0597,20092
136319,KW-0221,7976
161916,KW-0025,10649
204290,KW-0256,14649
175038,KW-0007,12048
286749,KW-0968,12159
11521,KW-0832,853
233355,KW-0225,17501
225021,KW-0181,16713
