prodid,appl_type,appl_no,trade_name,applicant,active_ingredients_count
661,N,125-730,Purina Liquid Dog Wormer,Farnam Companies Inc.,1
1287,A,200-212,Albac / Robenz,Zoetis Inc.,2
1147,N,141-463,onsior,Elanco US Inc.,1
433,N,065-461,Anacetin Tablets,Cronus Pharma Specialities India Private Limited,1
1428,A,200-424,Heifermax /  Optaflexx  /  Rumensin / Tylan,Elanco US Inc.,4
1113,N,141-417,CORAXIS,Elanco US Inc.,1
76,N,011-885,Azium Tablets 0.25 mg,Intervet Inc.,1
1267,A,200-176,Prazitech,Bimeda Animal Health Limited,1
1264,A,200-165,Sulfadimethoxine Concentrated Solution 12.5%,Cronus Pharma Specialities India Private Limited,1
1573,A,200-649,Actogain and Monovet and Tylovet and MGA,Huvepharma EOOD,4
383,N,055-091,Amoxi-Inject (Dogs and Cats),Zoetis Inc.,1
303,N,046-724,Gentocin Solution,Intervet Inc.,1
112,N,013-663,Cocciprol,Phibro Animal Health Corp.,1
49,N,010-987,"Butazolidin Bolus, Butazolidin Tablets",Intervet Inc.,1
1036,N,141-301,Topmax plus Coban,Elanco US Inc.,2
1329,A,200-275,Medalone Cream,Med-Pharmex Inc.,1
1180,N,141-519,ProHeart 12,Zoetis Inc.,1
1098,N,141-397,None (Med Gas),Air Products and Chemicals Inc.,2
580,N,106-964,Apralan,Elanco US Inc.,1
1541,A,200-596,Tilmovet 90 and Rumensin 90,Huvepharma EOOD,2
823,N,140-886,Heartgard Chewables For Dogs,Boehringer lngelheim Animal Health USA Inc.,1
454,N,091-192,Renografin-76,Zoetis Inc.,2
1395,A,200-366,"Carprofen Caplets, Novox Caplets",Dechra Veterinary Products LLC,1
1341,A,200-297,Ivermectin Chewable Tablets,Cronus Pharma Specialities India Private Limited,1
256,N,041-665,Tranvet Chewable Tablets (20 mg),Zoetis Inc.,1
1354,A,200-315,"Lincomycin 100, Lincomycin 25, Lincomycin 300, Lincomycin Injection 100, Lincomycin Injection 25, Lincomycin Injection 300",Sparhawk Laboratories Inc.,1
985,N,141-234,Optaflexx / Rumensin / MGA,Elanco US Inc.,3
879,N,141-052,Optimmune,Intervet Inc.,1
1422,A,200-414,Formacide-B,B.L. Mitchell Inc.,1
1009,N,141-266,Posatex Otic Suspension,Intervet Inc.,3
159,N,031-944,Dynamyxin Injectable,Zoetis Inc.,1
305,N,046-780,Phen-Buta Vet Injection,Bimeda Animal Health Limited,1
1461,A,200-481,OvaMed,Bimeda Animal Health Limited,1
1081,N,141-373,None (Med Gas),Messer Canada Inc.,2
265,N,042-888,"Banminth, Strongid",Zoetis Inc.,1
1403,A,200-376,Sulfamed-G,Bimeda Animal Health Limited,1
422,N,065-270,Polyotic Oblets,Zoetis Inc.,1
1135,N,141-446,None (Med Gas),Strata Medical Innovations,2
367,N,055-069,Orbenin DC,Intervet Inc.,1
703,N,132-105,"Benzelmin Equine Anthelmic Paste, Synanthic Oral Paste",Zoetis Inc.,1
232,N,039-417,Deccox,Zoetis Inc.,1
900,N,141-083,Avatec / Baciferm,Zoetis Inc.,2
1487,A,200-523,SulfaMed,Bimeda Animal Health Limited,1
1525,A,200-576,Gentamicin Sulfate Ophthalmic Solution,Akorn Animal Health Inc.,1
108,N,013-407,Equizole Horse Wormer,Boehringer lngelheim Animal Health USA Inc.,1
195,N,034-705,Equipoise,Zoetis Inc.,1
1366,A,200-330,Animax Cream,Fougera Pharmaceuticals Inc.,4
1211,A,200-031,DI-METHOX,Huvepharma EOOD,1
812,N,140-857,Equestrolin,Virbac AH Inc.,1
276,N,044-611,Talwin-V Sterile Aqueous Injection,Zoetis Inc.,1
1480,A,200-512,Triamulox,Zoetis Inc.,1
304,N,046-746,Happy Jack Worm Capsules,Happy Jack Inc.,1
168,N,033-157,Spectam Scour Halt,Huvepharma EOOD,1
576,N,105-093,Tribrissen 24% Injection,Intervet Inc.,2
1453,A,200-466,SparMectin Plus Clorsulon,Sparhawk Laboratories Inc.,2
890,N,141-069,First Guard Sterile Powder,Zoetis Inc.,1
495,N,095-183,Conofite Cream 2%,Intervet Inc.,1
934,N,141-156,Amprol / BMD,Zoetis Inc.,2
662,N,125-797,Nitrofurazone Dressing,Cronus Pharma Specialities India Private Limited,1
1030,N,141-291,VETORYL CAPSULES,"Dechra, Ltd.",1
1242,A,200-118,Neomycin Oral Solution,Huvepharma EOOD,1
162,N,032-702,PromAce Tablets,Boehringer lngelheim Animal Health USA Inc.,1
1378,A,200-346,"Component TE-200 with Tylan, Component TE-H with Tylan, Component TE-IH with Tylan",Elanco US Inc.,3
707,N,132-427,Fura-Zone,Squire Laboratories Inc.,1
878,N,141-051,ProHeart,Zoetis Inc.,1
1274,A,200-185,GEN-GARD,Huvepharma EOOD,1
481,N,093-107,Albon S.R. (Sustained Release),Zoetis Inc.,1
92,N,012-559,Azium Solution,Intervet Inc.,1
61,N,011-482,"Vetame Injectable, Vetame Tablets",Zoetis Inc.,1
1270,A,200-180,Ampicillin Trihydrate,HQ Specialty Pharma Corp.,1
293,N,046-109,L-S 50 Water Soluble Powder,Zoetis Inc.,2
9,N,006-602,"A-H-Tablets 100 mg, A-H-Tablets 25 mg",Intervet Inc.,1
1153,N,141-470,Stafac and Avatec,Phibro Animal Health Corp.,2
202,N,035-455,"Erythro-36 Dry, Gallimycin-36 Dry",Bimeda Animal Health Limited,1
1061,N,141-342,Alfaxan Multidose,Jurox Pty. Ltd.,1
1202,N,141-551,Zenalpha,"Dechra, Ltd.",2
766,N,138-995,MGA and Tylan,Zoetis Inc.,2
833,N,140-915,Interceptor,Elanco US Inc.,1
109,N,013-461,"Amprol Hi-E, Amprol Plus",Huvepharma EOOD,2
1130,N,141-441,IVERHART MAX Chew,Virbac AH Inc.,3
664,N,125-961,"Re-Sorb, Vytrate",Zoetis Inc.,6
1553,A,200-621,SwineMate,Aurora Pharmaceutical Inc.,1
482,N,093-483,Spectam Injectable,Elanco US Inc.,1
373,N,055-076,"Albaplex 3x Tablets, Albaplex Tablets",Zoetis Inc.,2
725,N,135-468,"Carbigran 25, Nicarbazin",Elanco US Inc.,1
1367,A,200-332,Butorphic Injection,Akorn Animal Health Inc.,1
1358,A,200-319,Acepromazine Maleate Injection,Elanco US Inc.,1
962,N,141-207,Advocin Sterile Injectable Solution,Zoetis Inc.,1
645,N,120-299,Mitaban Liquid Concentrate,Zoetis Inc.,1
1579,A,200-655,Pulmotil and Monovet,Huvepharma EOOD,2
532,N,099-150,BMD and Coyden 25,Huvepharma EOOD,2
573,N,104-493,Filaribits Chewable Tablets,Zoetis Inc.,1
1273,A,200-184,Chanazine,Chanelle Pharmaceuticals Manufacturing Ltd.,1
809,N,140-853,BMD / Monteban,Zoetis Inc.,2
141,N,030-315,E-SE,Intervet Inc.,2
203,N,035-456,Gallimycin-36 Sterile,Bimeda Animal Health Limited,1
269,N,043-141,Thibenzole 300 Medicated,Boehringer lngelheim Animal Health USA Inc.,1
680,N,128-517,Pet-Dec,Zoetis Inc.,1
1046,N,141-321,Trifexis,Elanco US Inc.,2
597,N,110-048,Valbazen,Zoetis Inc.,1
718,N,134-644,Denagard Soluble Antibiotic,Elanco US Inc.,1
1095,N,141-394,None (Med Gas),"Aspen Air, US Corp",2
1601,A,200-681,Carprofen Tablets,Dechra Veterinary Products LLC,1
1546,A,200-610,Placadine,Modern Veterinary Therapeutics LLC,1
409,N,065-123,Tetracycline Soluble Powder,Zoetis Inc.,1
