prodid,struct_id
147,824
1026,2241
1159,1582
280,5603
1357,3972
614,1561
691,824
837,2245
667,1950
403,2481
229,1561
382,192
387,192
365,198
500,2755
1058,5579
1487,2501
385,890
1468,518
1309,2726
263,1519
247,2468
1303,1493
1476,3972
322,5550
1624,5532
1309,1977
1315,5562
1352,1561
1055,5569
547,1787
543,5622
307,4290
1283,3972
197,953
820,2726
1380,3972
1162,1582
440,4246
659,873
1515,5611
984,5580
1606,5611
706,354
270,2999
319,5580
1257,2041
488,1561
713,4265
1407,1582
1367,454
86,2726
736,1787
649,5595
678,824
719,5633
873,5600
401,2245
1445,5576
936,5579
1251,2958
110,5561
427,4459
924,2041
885,5543
1010,835
433,589
102,1579
1106,4235
413,589
424,2082
1617,5559
124,2468
1161,5615
839,5196
851,4247
1254,5644
660,5576
1359,3972
157,2501
682,4536
501,1650
183,4667
1628,5559
1260,4247
1512,5630
815,5611
1213,4265
158,1500
1289,5664
669,1950
1086,4235
1319,5615
419,2481
1290,3972
616,4265
776,5565
83,2726
1059,2968
1142,5656
1081,4235
974,5286
598,1650
1314,912
195,5631
1594,5674
1185,281
937,5565
784,5603
515,1641
129,5619
1300,2611
1318,2501
1011,5524
790,2611
231,5576
1503,555
236,1331
625,1582
1174,5558
481,2501
1104,5660
172,5668
1280,678
575,5580
934,281
1453,3972
764,5576
1474,518
742,5553
1153,5565
1465,1676
581,2500
131,1204
1548,5286
591,912
15,962
1036,5580
701,2755
946,624
1232,624
1317,1523
479,2999
632,1057
1231,281
1425,1857
274,2501
1042,5542
132,4962
958,5672
838,5586
553,2501
141,3613
1457,5545
284,5670
789,3957
605,4274
545,2999
930,5572
725,5586
255,624
1044,5673
1277,4265
46,2626
84,1770
119,2621
899,961
1287,5613
1331,2999
378,198
1349,5545
80,4247
1053,1389
992,5640
633,1641
493,4247
221,4265
704,5668
901,5569
1517,5611
269,2621
672,1258
165,5658
1137,4536
1401,2611
6,4198
1077,4235
871,5603
664,1319
1517,5576
68,4443
866,1005
654,1950
302,5576
17,863
329,2621
989,5663
533,2042
1511,518
76,824
897,2429
252,2502
1339,1258
913,5565
225,4548
469,624
734,873
862,5539
537,3920
1238,4782
352,1363
448,4459
1451,5557
842,281
783,5663
864,5628
1087,4262
1263,5586
254,2502
175,5621
1279,2501
1071,4235
1510,4247
1285,5557
1051,5548
841,103
32,2267
1123,5605
1549,5663
753,5580
220,5602
724,5588
969,3972
374,192
451,2621
521,5580
1122,5580
1516,5642
1427,5576
727,281
1105,4251
923,5580
1078,4251
425,281
449,4459
302,2041
309,4265
96,609
1039,5591
1131,912
503,5580
1006,5573
1368,2145
1222,2041
884,5569
610,2241
225,4246
1615,835
1128,5585
842,5580
1441,2999
698,1258
1376,5628
1021,5576
1286,281
158,4247
957,624
1521,5611
1116,2666
638,5583
1112,4262
1193,299
1252,2611
1505,5628
828,1057
1262,2762
588,5565
1606,5576
275,1336
90,2188
79,5556
273,5550
1532,5580
585,5539
1187,5576
1373,3972
1634,5286
315,906
761,5586
1547,2152
651,624
1190,2402
1525,4265
721,2500
809,281
464,1561
589,575
664,4206
1311,2041
959,5579
251,2502
542,5562
1275,4265
299,281
697,3972
346,624
664,666
135,2610
1117,3972
507,2145
805,5603
688,5603
1513,5611
530,2041
491,2145
1530,5642
85,1331
1057,5643
146,824
688,5557
153,681
1096,4262
893,1765
573,873
1633,5532
1541,5580
796,3957
1233,5615
282,1258
863,2241
556,5545
679,3972
1333,719
1276,1582
1582,5580
652,2502
1243,2082
1040,5674
830,2502
1419,5576
910,2439
461,2999
1180,5286
956,2279
314,2621
670,863
1133,822
740,4265
267,170
375,198
794,5553
926,281
1410,5545
1580,5670
53,1950
1496,5565
529,4265
343,5664
384,2656
622,4274
1310,2999
747,2331
1458,5586
1631,5628
1388,624
1394,4302
1570,5611
932,281
660,5580
243,5523
1621,5646
1281,1800
1529,5543
1156,1513
639,2284
1144,5547
1045,5612
12,863
1598,5611
1186,624
975,5611
722,5582
1126,349
250,624
334,4667
1179,5547
854,1057
128,2188
300,624
534,3400
1065,1676
1463,5576
812,5570
370,1974
1448,824
1420,2468
877,454
618,2145
1138,5545
297,2331
1583,5576
1248,2041
921,281
1159,5613
1551,5630
833,5579
676,873
800,5553
396,2611
34,1058
771,5615
1167,2241
1017,5580
1521,5642
39,1048
1452,5557
145,2512
1168,5567
822,3957
248,624
115,1331
1272,4265
167,5597
579,5562
167,2188
1249,1493
1630,5559
1307,281
142,3613
1237,824
596,5642
902,281
1385,624
345,589
577,5630
938,5611
1596,5611
653,2502
604,4536
1491,5611
397,2611
1360,3972
689,2041
919,5603
596,2999
494,2041
485,2468
1095,4251
785,3972
549,1700
1417,518
460,1641
1436,3972
530,5580
778,5659
599,1058
60,4451
307,2095
1091,4262
276,3424
1606,5642
1197,1528
1335,4265
91,5642
1001,2241
1293,5642
508,2145
644,678
968,3972
782,5576
696,5671
1613,5617
430,624
405,281
323,863
735,1336
1108,4238
1378,1057
1198,5650
904,5528
1320,624
868,5569
72,4247
1575,5642
1492,5642
18,2041
694,5553
383,192
504,5565
177,5621
1154,5524
969,2241
1334,3972
1469,1676
1354,1582
1544,5532
1022,5618
205,1787
1035,5543
1034,2247
395,2611
606,824
521,5603
1313,2501
295,5664
1585,5580
737,2500
991,3972
1297,4265
48,5556
422,2611
829,2502
1443,5611
1335,719
611,3957
1215,1523
4,2502
1389,5670
7,5622
484,4213
455,851
309,354
257,1519
1496,5642
959,5587
388,192
856,4028
1564,5286
1424,354
9,962
1203,4744
1025,5662
1572,5580
760,2999
1118,3088
1209,1523
286,624
1127,5585
1145,5643
449,4347
249,2502
1571,5642
1428,5642
1067,5640
326,2041
730,1057
718,5628
1532,5611
729,454
1508,1676
1430,5642
208,5523
438,624
714,5594
1599,5611
137,2733
1157,4238
1026,3972
772,5644
349,624
1347,5648
1322,2241
1129,5543
1587,5617
932,5524
538,3920
1412,5557
746,5562
854,5636
303,4265
1387,624
409,2611
1463,5645
1574,5580
203,1048
1387,5615
1568,5611
1212,2755
104,173
1460,5576
121,73
1369,2145
1436,5666
554,2188
1154,4028
999,5286
620,281
25,2041
212,5557
1385,5580
771,281
390,2611
881,281
977,5642
813,5615
1521,5580
1272,354
700,873
1229,5603
1604,5580
1491,5642
1205,2041
1024,5576
957,5564
435,281
1493,5642
178,5602
211,5536
1092,4256
204,2621
791,2041
797,5627
1259,4265
272,5523
1298,1336
89,2245
1603,5580
1551,5647
332,5554
999,5559
1294,1561
1443,5576
1621,281
14,5622
219,2860
1217,2611
418,589
246,5642
1175,5580
864,624
294,2726
64,2145
925,281
371,2611
948,5565
482,2468
1266,4265
196,4247
1055,5579
1330,2095
148,1164
82,1048
254,624
1005,5573
75,5562
993,1579
1245,5545
234,5598
356,624
572,5654
1364,3972
339,1561
61,2742
1049,571
348,624
1023,5576
437,624
949,5604
847,5603
943,5565
1397,1582
344,2041
71,74
881,624
1034,1800
238,2468
1054,2105
1046,5579
835,5603
960,5569
1609,5646
985,5580
306,2042
855,2695
1395,518
1031,1745
978,5580
1210,2501
1580,5642
1234,4265
315,1204
373,2611
188,349
60,4247
1371,2999
1030,2746
1342,678
1515,5576
726,2477
253,2502
942,4265
720,5562
1177,5568
853,3244
1332,2999
1459,5645
1459,5576
500,2500
607,5546
1132,5612
744,3244
609,1582
1185,5583
624,5590
1366,5627
1253,4265
431,2611
160,906
806,1672
63,5620
1604,5576
703,5594
194,5538
662,1950
788,5615
519,1582
1554,624
797,2726
414,589
996,624
1473,1676
1586,5611
550,1974
230,1561
408,2611
878,5286
1241,2041
12,5635
452,2041
1109,4235
734,5595
211,281
1499,678
51,2251
439,890
133,2477
354,198
1377,2468
1037,2279
1288,5670
5,5196
304,5584
1129,1832
1494,5670
406,4459
402,1974
1172,5617
255,2502
1041,5545
896,5533
443,589
1001,3972
1618,669
650,4536
1598,5580
137,824
1204,2999
1501,2958
1221,2041
296,2501
813,624
535,2726
1597,5611
293,1582
1608,5532
406,4213
902,5646
1574,5642
468,624
1173,5568
860,192
764,5642
1229,5615
1085,4251
1306,1582
252,624
1333,4265
1148,5585
1482,5557
834,5628
168,2468
335,2145
795,526
42,1877
889,5532
1547,2095
577,5647
1517,5580
777,1561
844,5583
602,5594
1062,5632
564,1561
838,281
156,5661
1155,5553
472,624
1069,4235
807,2726
1287,281
757,624
617,2041
1389,624
862,2241
1020,281
1023,5580
891,2302
1023,5645
241,5639
1103,4262
